callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
RYR13HD,EIENA,EPMO,EIDW,50400,60168,51420,60879,17.0,11.85,56.0,66.0,57.0,67.0
AFL2344,RA89063,UUEE,EDDC,34500,43128,35580,43646,18.0,8.633333333333333,38.0,47.0,39.0,48.0
WZZ5SP,HALWY,LIME,LRSV,54900,61952,55860,62670,16.0,11.966666666666667,61.0,68.0,62.0,69.0
AFL2537,VQBSJ,EDDL,UUEE,34800,46142,35580,46800,13.0,10.966666666666667,38.0,51.0,39.0,52.0
AFR7332,,LFPO,LFSB,26700,31695,27300,30957,10.0,-12.3,29.0,35.0,30.0,34.0
HOP20DG,,LFSL,LFPO,21600,25957,21790,25510,3.1666666666666665,-7.45,24.0,28.0,24.0,28.0
RSC234,ECMJG,GCLP,GCFV,-10800,-8566,-10380,-8655,7.0,-1.4833333333333334,-12.0,-10.0,-12.0,-10.0
EZY72HB,GEZFP,EGKK,LIMC,25200,31921,25560,30726,6.0,-19.916666666666668,28.0,35.0,28.0,34.0
NTJ33S,CGIXT,ESGG,ESNN,65100,69170,65100,68341,0.0,-13.816666666666666,72.0,76.0,72.0,75.0
AFL2588,VQBVP,UUEE,EGKK,38700,51800,39600,52410,15.0,10.166666666666666,43.0,57.0,44.0,58.0
TOM8188,GFDZB,BIKF,LDSP,29700,46166,30644,46516,15.733333333333333,5.833333333333333,33.0,51.0,34.0,51.0
QTR303,A7AEI,OTHH,EFHK,82200,104206,83100,104506,15.0,5.0,91.0,115.0,92.0,116.0
EXS46E,GJZBA,LPMA,EGSS,51900,65171,52680,65296,13.0,2.0833333333333335,57.0,72.0,58.0,72.0
AFL2684,VQBAX,UUEE,EDDB,19200,28264,20520,28767,22.0,8.383333333333333,21.0,31.0,22.0,31.0
XK203US,,LFMN,LFKB,59100,61722,59940,62304,14.0,9.7,65.0,68.0,66.0,69.0
HOP30RE,,LFLW,LFPO,22200,26695,23040,27519,14.0,13.733333333333333,24.0,29.0,25.0,30.0
RYR9976,EIDWX,LIRP,LFOB,23700,29539,24360,29991,11.0,7.533333333333333,26.0,32.0,27.0,33.0
AFL2050,RA89101,UUEE,LYTV,27600,38839,29400,40134,30.0,21.583333333333332,30.0,43.0,32.0,44.0
FHLPN,,LFLC,EPSY,42600,51306,43500,51480,15.0,2.9,47.0,57.0,48.0,57.0
9HBVJ,9HBVJ,LFLB,UUWW,44400,57002,45360,57841,16.0,13.983333333333333,49.0,63.0,50.0,64.0
VLG39NQ,ECKDH,LEPA,LEBL,-11400,-8649,-11580,-9744,-3.0,-18.25,-13.0,-10.0,-13.0,-11.0
FDB8504,A6FDI,UGTB,OMDB,18000,28341,19320,28869,22.0,8.8,20.0,31.0,21.0,32.0
WZZ543,HALXV,LHBP,EBCI,18900,25568,19629,25276,12.15,-4.866666666666666,21.0,28.0,21.0,28.0
HKS356,LNOQI,ENBN,ZZZZ,21600,26807,22620,27360,17.0,9.216666666666667,24.0,29.0,25.0,30.0
SBI3355,,UUDD,UBBB,33900,43121,36480,45120,43.0,33.31666666666667,37.0,47.0,40.0,50.0
RYR1321,EIFRY,LBWN,EBCI,-21000,-10967,-19620,-10260,23.0,11.783333333333333,-24.0,-13.0,-22.0,-12.0
DHK117,GDHLG,EBBR,EDDP,82800,88031,83880,87226,18.0,-13.416666666666666,92.0,97.0,93.0,96.0
DTR34R,OYLHB,EKCH,EKRN,33300,36005,34260,35761,16.0,-4.066666666666666,37.0,40.0,38.0,39.0
RSC192,ECMOL,GCXO,GCLP,-10800,-8584,-10260,-8561,9.0,0.38333333333333336,-12.0,-10.0,-12.0,-10.0
AFL2470,VQBHM,UUEE,LFMN,25200,38465,26400,38650,20.0,3.0833333333333335,28.0,42.0,29.0,42.0
BRU948,,UMKK,UMMS,25800,29409,25500,28620,-5.0,-13.15,28.0,32.0,28.0,31.0
SXS3FZ,TCSOD,LTAI,EDDH,27300,40899,28200,39998,15.0,-15.016666666666667,30.0,45.0,31.0,44.0
EZY68KB,GEZUC,EDDB,LFPO,53400,59642,54120,59531,12.0,-1.85,59.0,66.0,60.0,66.0
BMR22AS,GRJXM,EDDR,EDDM,33600,36693,33540,36065,-1.0,-10.466666666666667,37.0,40.0,37.0,40.0
BRU851,,UMMS,EGKK,22500,32706,22920,32658,7.0,-0.8,25.0,36.0,25.0,36.0
KLM57F,PHEZC,EHAM,ENCN,71400,75803,71760,75295,6.0,-8.466666666666667,79.0,84.0,79.0,83.0
UZB201,VPBUJ,UTTT,EGLL,45300,70990,46140,71931,14.0,15.683333333333334,50.0,78.0,51.0,79.0
AMC329,9HAEQ,EDDF,LMML,69000,77799,70860,78592,31.0,13.216666666666667,76.0,86.0,78.0,87.0
HOP11EV,,LFBH,LFBI,18000,19985,18360,19993,6.0,0.13333333333333333,20.0,22.0,20.0,22.0
ASD055,,LLBG,HECA,33600,37724,34320,37588,12.0,-2.2666666666666666,37.0,41.0,38.0,41.0
TJT81MK,,LFHP,LFPO,21000,24840,21660,25717,11.0,14.616666666666667,23.0,27.0,24.0,28.0
DAH1077,,LFBO,DAOO,39900,44901,40380,44665,8.0,-3.933333333333333,44.0,49.0,44.0,49.0
ROT383R,YRASA,LROP,LFPG,40200,50038,41400,50717,20.0,11.316666666666666,44.0,55.0,46.0,56.0
BCS8166,DALEN,LPPT,LEVT,70200,74906,71520,75071,22.0,2.75,78.0,83.0,79.0,83.0
BMR62BM,GRJXL,EGHI,EDDM,35100,41477,35040,40423,-1.0,-17.566666666666666,39.0,46.0,38.0,44.0
TAY075V,OOTNN,EDDB,EBLG,78300,82523,78060,81921,-4.0,-10.033333333333333,87.0,91.0,86.0,91.0
BRU865,,UMMS,LFPG,31200,40504,32580,41891,23.0,23.116666666666667,34.0,45.0,36.0,46.0
AFR1272,,LFPG,EGPD,31200,38228,33060,40280,31.0,34.2,34.0,42.0,36.0,44.0
LOT68T,ESACI,EDDM,EETN,-15600,-6954,-14460,-7140,19.0,-3.1,-18.0,-8.0,-17.0,-8.0
NAX8402,LNDYV,ENGM,ENSB,59220,70675,60540,70969,22.0,4.9,65.0,78.0,67.0,78.0
WIF89B,LNWDG,ENVA,ENTO,75000,79417,75000,78873,0.0,-9.066666666666666,83.0,88.0,83.0,87.0
TGZ725,4LTGB,UGTB,UDYZ,37800,40188,38220,39840,7.0,-5.8,42.0,44.0,42.0,44.0
TUP952,,EDDP,UUEE,12600,22614,14400,23340,30.0,12.1,14.0,25.0,16.0,25.0
SWR173J,HBIJN,LSZH,LIRF,41400,46463,41820,45739,7.0,-12.066666666666666,46.0,51.0,46.0,50.0
RYR8SB,EIFOR,LEBL,EIDW,72900,81829,73620,81797,12.0,-0.5333333333333333,81.0,90.0,81.0,90.0
AFL2032,VPBTO,UUEE,LHBP,20400,29375,21240,29507,14.0,2.2,22.0,32.0,23.0,32.0
ETD538,A6BLL,OLBA,OMAA,40800,52425,40860,51687,1.0,-12.3,45.0,58.0,45.0,57.0
WZZ1540,HALWS,BIKF,EPWA,-720,12957,720,13747,24.0,13.166666666666666,-1.0,14.0,0.0,15.0
THY6LZ,TCJHR,LTCJ,LTBA,37200,44132,38520,44760,22.0,10.466666666666667,41.0,49.0,42.0,49.0
THY2HR,TCSBN,LTCI,LTFJ,57600,64873,57900,65040,5.0,2.783333333333333,64.0,72.0,64.0,72.0
SAS499,SERJS,ESSA,ENGM,57300,60484,58080,60653,13.0,2.816666666666667,63.0,67.0,64.0,67.0
NAX638,LNNGO,ENGM,ENBR,-10800,-7843,-10140,-7920,11.0,-1.2833333333333334,-12.0,-9.0,-12.0,-9.0
AFR1093,,LFSB,LFPG,24000,26973,23820,27665,-3.0,11.533333333333333,26.0,29.0,26.0,30.0
AFL2595,VPBZS,EDDM,UUEE,78600,89086,79260,89014,11.0,-1.2,87.0,98.0,88.0,98.0
RYR64JN,EIFTA,LIRA,EGSS,59100,67865,59640,68412,9.0,9.116666666666667,65.0,75.0,66.0,76.0
CLX797,LXVCJ,VTBS,UBBB,-39600,-13815,-34800,-8520,80.0,88.25,-44.0,-16.0,-39.0,-10.0
MEA209,,OLBA,LFPG,300,15748,2709,17557,40.15,30.15,0.0,17.0,3.0,19.0
HVK1232,,LTAN,LTAD,28800,31121,29760,31452,16.0,5.516666666666667,32.0,34.0,33.0,34.0
FDX5053,N923FD,LFSB,LFPG,-6420,-3281,-5880,-3043,9.0,3.966666666666667,-8.0,-4.0,-7.0,-4.0
WZZ973,HALYM,EYVI,EDLW,18600,25249,18929,25729,5.483333333333333,8.0,20.0,28.0,21.0,28.0
BCS133,EIEXR,LIME,EDDP,85500,90429,86100,90442,10.0,0.21666666666666667,95.0,100.0,95.0,100.0
CLX713,LXYCV,EGSS,ELLX,39900,43661,40680,43481,13.0,-3.0,44.0,48.0,45.0,48.0
DAH3023,,LTBA,DABC,5400,17159,4080,14765,-22.0,-39.9,6.0,19.0,4.0,16.0
UAL959,N659UA,EGLL,KORD,55200,86084,55860,85718,11.0,-6.1,61.0,95.0,62.0,95.0
VLG2286,ECLQK,LEBL,LEJR,39900,45406,41280,45978,23.0,9.533333333333333,44.0,50.0,45.0,51.0
AHY251,4KAZ80,UBBB,UBBN,14400,18146,14940,19140,9.0,16.566666666666666,16.0,20.0,16.0,21.0
PGT471,TCNBO,UWGG,LTFJ,5100,16749,6120,17160,17.0,6.85,5.0,18.0,6.0,19.0
RYR7223,EIFRR,LEST,LEVC,34800,39703,35220,39418,7.0,-4.75,38.0,44.0,39.0,43.0
BAW662,GBNWZ,EGLL,LCLK,43800,59976,45660,60643,31.0,11.116666666666667,48.0,66.0,50.0,67.0
LDM11C,OEHPG,GCTS,LOWG,-26100,-10238,-26400,-10882,-5.0,-10.733333333333333,-29.0,-12.0,-30.0,-13.0
AEE995,SXOBD,LTBA,LGAV,69600,75738,70260,74293,11.0,-24.083333333333332,77.0,84.0,78.0,82.0
SAS2870,OYKBP,EKCH,ENBR,72000,76699,72660,76461,11.0,-3.966666666666667,80.0,85.0,80.0,84.0
PGT4BK,TCIZD,LTFJ,LTAU,42000,46015,43260,46375,21.0,6.0,46.0,51.0,48.0,51.0
UTA715,VPBYK,UUWW,EVRA,27000,32166,28860,33426,31.0,21.0,30.0,35.0,32.0,37.0
ABY955,A6ANQ,OMSJ,UUDD,18900,37439,19500,37439,10.0,0.0,21.0,41.0,21.0,41.0
VLG62RE,ECMLE,LFPO,LIRF,51900,58633,52080,57869,3.0,-12.733333333333333,57.0,65.0,57.0,64.0
PGT381,TCCPU,URKK,LTFJ,6840,12856,7320,13080,8.0,3.7333333333333334,7.0,14.0,8.0,14.0
SWT6LC,ECJBX,LEMD,LEVC,21300,25784,22320,25222,17.0,-9.366666666666667,23.0,28.0,24.0,28.0
AEA7156,ECKYP,LEBB,LEMD,27300,30196,27420,29996,2.0,-3.3333333333333335,30.0,33.0,30.0,33.0
SAS403,OYKBL,ESSA,EKCH,29400,33470,30060,33398,11.0,-1.2,32.0,37.0,33.0,37.0
AFL2375,VPBOC,LFLL,UUEE,40200,54833,44040,58260,64.0,57.11666666666667,44.0,60.0,48.0,64.0
SBI897,,UUDD,EDDM,31200,41625,32673,42659,24.55,17.233333333333334,34.0,46.0,36.0,47.0
EZY29XT,OELKD,LIMC,LIBD,49800,54661,50880,55531,18.0,14.5,55.0,60.0,56.0,61.0
DIEAH,,EDMA,EDTD,58800,60994,57874,60324,-15.433333333333334,-11.166666666666666,65.0,67.0,64.0,67.0
RVP855,CSDVQ,LPPS,LPMA,55800,57124,56160,57124,6.0,0.0,62.0,63.0,62.0,63.0
AFR19BB,,LFPG,EDDN,55200,60357,56820,60599,27.0,4.033333333333333,61.0,67.0,63.0,67.0
SBI893,VPBTU,UUDD,LOWW,36000,44485,38014,46456,33.56666666666667,32.85,40.0,49.0,42.0,51.0
EZY67TP,GEJAR,LFLL,LIPZ,48000,52463,48360,52091,6.0,-6.2,53.0,58.0,53.0,57.0
EZY46VZ,GEZTK,LFBO,LPPR,56100,61833,56400,61586,5.0,-4.116666666666666,62.0,68.0,62.0,68.0
KZR870,P4KBE,LTBA,UATG,32100,42046,33300,42060,20.0,0.23333333333333334,35.0,46.0,37.0,46.0
