callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
BEE9KJ,GECOC,EGAC,EGPF,-9600,-6730,-9960,-7755,-6.0,-17.083333333333332,-11.0,-8.0,-12.0,-9.0
EZY36UT,GEZOW,LPMA,EGCC,-16200,-1811,-16620,-2476,-7.0,-11.083333333333334,-18.0,-3.0,-19.0,-3.0
SAS54P,OYKFD,EHAM,EKCH,49500,54157,49860,53407,6.0,-12.5,55.0,60.0,55.0,59.0
FWI570,FGOTO,LFPO,SOCA,-42000,-10495,-40560,-10204,24.0,4.85,-47.0,-12.0,-46.0,-12.0
DLH5LX,DAIUC,LIRF,EDDF,31800,39230,32820,38575,17.0,-10.916666666666666,35.0,43.0,36.0,42.0
EZY873F,GEZOF,EGKK,LGAV,45900,58010,46560,56566,11.0,-24.066666666666666,51.0,64.0,51.0,62.0
UAE225,A6EET,OMDB,KSFO,-57600,-4449,-55260,-2709,39.0,29.0,-64.0,-5.0,-62.0,-4.0
BEL94L,OOSSW,LFLL,EBBR,21900,26489,22260,26313,6.0,-2.933333333333333,24.0,29.0,24.0,29.0
EZY57QA,GEZOO,LCLK,EGKK,-20700,-1981,-20100,-1746,10.0,3.9166666666666665,-23.0,-3.0,-23.0,-2.0
ROT302P,YRBGH,EDDF,LROP,36900,45211,38340,44808,24.0,-6.716666666666667,41.0,50.0,42.0,49.0
ANE8437,ECMSL,LEIB,LEVC,62400,64793,62700,64263,5.0,-8.833333333333334,69.0,71.0,69.0,71.0
BEE9CL,GECOM,EGBB,EGPF,-11100,-6046,-10800,-7012,5.0,-16.1,-13.0,-7.0,-12.0,-8.0
SAW653,YKBAG,OSDI,HSSS,-7200,5336,6892,19071,234.86666666666667,228.91666666666666,-8.0,5.0,7.0,21.0
WZZ1DG,HALXV,EBCI,LHBP,-14100,-8059,-13440,-7956,11.0,1.7166666666666666,-16.0,-9.0,-15.0,-9.0
EZY56QY,GEZPC,LIML,LFPG,27900,32132,28140,32373,4.0,4.016666666666667,31.0,35.0,31.0,35.0
DLH9903,DILHC,EDDE,EDDW,29700,33847,30420,33793,12.0,-0.9,33.0,37.0,33.0,37.0
BAW17,GZBJC,EGLL,RKSI,-39900,-3066,-38700,-3330,20.0,-4.4,-45.0,-4.0,-43.0,-4.0
RYR90MB,EIEXF,GMMX,EGGW,-17700,-4142,-17160,-4320,9.0,-2.966666666666667,-20.0,-5.0,-20.0,-5.0
FPG777,HBJGE,LSGG,LSGS,28200,30879,28500,30156,5.0,-12.05,31.0,34.0,31.0,33.0
DLH5CM,DACNW,EDDM,LRTR,48000,52246,48060,52013,1.0,-3.8833333333333333,53.0,58.0,53.0,57.0
KLM47N,PHBXL,EHAM,LIMC,-6600,-1845,-6000,-1990,10.0,-2.4166666666666665,-8.0,-3.0,-7.0,-3.0
TVF46GW,FHTVD,LKPR,LFPO,-15000,-8046,-12900,-7702,35.0,5.733333333333333,-17.0,-9.0,-15.0,-9.0
ROT810W,YRATI,LRSV,LROP,17100,21629,17040,20472,-1.0,-19.283333333333335,19.0,24.0,18.0,22.0
EZY68LD,GEZUA,EGCC,LSGG,27000,32567,28800,34121,30.0,25.9,30.0,36.0,32.0,37.0
ROT419E,YRBGE,LRIA,LEMD,19800,34445,21540,35148,29.0,11.716666666666667,22.0,38.0,23.0,39.0
ISS7001,EIFFM,LIRN,LIEO,-11100,-7528,-10080,-7372,17.0,2.6,-13.0,-9.0,-12.0,-9.0
AFL2322,VPBUM,UUEE,EDDM,28200,38937,29820,39848,27.0,15.183333333333334,31.0,43.0,33.0,44.0
RYR6YQ,EIFOA,LIME,EDDB,-10200,-4521,-8340,-3545,31.0,16.266666666666666,-12.0,-6.0,-10.0,-4.0
AFR99MD,,LFRS,EHAM,44100,48767,44760,49159,11.0,6.533333333333333,49.0,54.0,49.0,54.0
SWR8T,HBJHL,LSZH,KORD,-43500,-9650,-42600,-9513,15.0,2.283333333333333,-49.0,-11.0,-48.0,-11.0
ETH3628,ETARJ,EBBR,VHHH,-12600,29388,-10080,29966,42.0,9.633333333333333,-14.0,32.0,-12.0,33.0
RAM459,CNCOF,GMMW,GMMN,20100,24250,20460,24010,6.0,-4.0,22.0,26.0,22.0,26.0
BGA313A,FGSTA,LFBO,EDHI,46800,55506,47100,55890,5.0,6.4,52.0,61.0,52.0,62.0
AFL2500,VPBEE,UUEE,LEMD,14700,32438,16440,34118,29.0,28.0,16.0,36.0,18.0,37.0
WIF986,LNILS,ENVD,ENKR,49200,50139,49620,50151,7.0,0.2,54.0,55.0,55.0,55.0
EZY42GB,GEZFH,EHAM,EGKK,55500,59244,55980,59044,8.0,-3.3333333333333335,61.0,65.0,62.0,65.0
CLU815,GCLBA,KIAH,EDDF,-19500,14330,-15698,16141,63.36666666666667,30.183333333333334,-22.0,15.0,-18.0,17.0
RYR1GK,EIENL,GCLP,EGSS,-15600,514,-15040,493,9.333333333333334,-0.35,-18.0,0.0,-17.0,0.0
AUA458R,OELBM,EGLL,LOWW,21600,27403,21780,27989,3.0,9.766666666666667,24.0,30.0,24.0,31.0
SWR122N,HBJVG,LSZH,ESGG,39600,46602,40080,46804,8.0,3.3666666666666667,44.0,51.0,44.0,52.0
CAL074,B18910,EHAM,RCTP,-50400,-11168,-48900,-10596,25.0,9.533333333333333,-56.0,-13.0,-55.0,-12.0
SVA3439,HZAK29,LTBA,OEJN,31200,43191,34440,44781,54.0,26.5,34.0,47.0,38.0,49.0
UAE958,A6EGD,OLBA,OMDB,36300,47579,36645,47159,5.75,-7.0,40.0,52.0,40.0,52.0
OCTNE56,44834S,LTAG,LTAG,-16200,4958,-15104,5700,18.266666666666666,12.366666666666667,-18.0,5.0,-17.0,6.0
LGL8012,LXLGN,LFPG,ELLX,32400,36505,34740,37410,39.0,15.083333333333334,36.0,40.0,38.0,41.0
KLM26M,PHEXM,EDDV,EHAM,18000,21358,18300,20885,5.0,-7.883333333333334,20.0,23.0,20.0,23.0
RYR5LA,EIEKV,LPPT,ELLX,61200,71019,61860,71276,11.0,4.283333333333333,68.0,78.0,68.0,79.0
SWR59R,HBIOM,LSZH,LFMN,42600,47372,43200,45893,10.0,-24.65,47.0,52.0,48.0,50.0
RYR32W,EIFOP,EGPF,EIDW,57300,60043,58800,61003,25.0,16.0,63.0,66.0,65.0,67.0
AZA756,EIIKL,LIRF,OIIE,-20100,-4504,-19500,-5300,10.0,-13.266666666666667,-23.0,-6.0,-22.0,-6.0
CCA834,B5932,LFPG,ZSPD,-45300,-7676,-45420,-8004,-2.0,-5.466666666666667,-51.0,-9.0,-51.0,-9.0
RYR28EN,EIEVJ,LFMK,EGSS,-12300,-5035,-10440,-3923,31.0,18.533333333333335,-14.0,-6.0,-12.0,-5.0
ADR323,S5AAO,LFPG,LJLJ,30300,35906,31380,35866,18.0,-0.6666666666666666,33.0,39.0,34.0,39.0
FPO5561,,LFPG,LFRB,1800,7216,1440,6400,-6.0,-13.6,2.0,8.0,1.0,7.0
EIN342,EIDVL,EIDW,LSZH,24600,31388,25920,31325,22.0,-1.05,27.0,34.0,28.0,34.0
STK3213,EIEHH,EGNS,EIDW,38400,40691,39060,41005,11.0,5.233333333333333,42.0,45.0,43.0,45.0
AFL2405,VPBKN,LIRF,UUEE,85800,98769,86100,97411,5.0,-22.633333333333333,95.0,109.0,95.0,108.0
MAC362,CNNMJ,LFPG,GMFF,-13200,-4007,-12180,-4526,17.0,-8.65,-15.0,-5.0,-14.0,-6.0
DAH1074,7TVJO,DAAG,LFQQ,33300,42644,34205,42919,15.083333333333334,4.583333333333333,37.0,47.0,38.0,47.0
TUI2894,DAHXE,EDDT,GCTS,29700,48017,30180,47048,8.0,-16.15,33.0,53.0,33.0,52.0
MEA217,,OLBA,EDDF,18900,34418,20311,34642,23.516666666666666,3.7333333333333334,21.0,38.0,22.0,38.0
EZY865Z,GEZOG,LFRS,LFMN,-14700,-9956,-14220,-10306,8.0,-5.833333333333333,-17.0,-12.0,-16.0,-12.0
DLH122,DAIPM,EDDF,EDDM,-13500,-10689,-12300,-10020,20.0,11.15,-15.0,-12.0,-14.0,-12.0
TFL558,PHTFC,GCLP,EHAM,-25800,-9803,-24960,-9043,14.0,12.666666666666666,-29.0,-11.0,-28.0,-11.0
AVW3800,LZMDO,LOWS,EKCH,35400,40592,36600,41480,20.0,14.8,39.0,45.0,40.0,46.0
BAW2155,GVIIF,EGKK,TBPB,-41400,-10487,-40920,-11288,8.0,-13.35,-46.0,-12.0,-46.0,-13.0
TOM32V,GFDZW,EIDW,LOWI,25200,32525,26640,33211,24.0,11.433333333333334,28.0,36.0,29.0,36.0
SAS943,OYKBA,EKCH,KORD,-29700,1517,-28920,2012,13.0,8.25,-33.0,1.0,-33.0,2.0
CNF419S,ECMLF,GCLA,GCXO,38400,40353,38640,40303,4.0,-0.8333333333333334,42.0,44.0,42.0,44.0
AEA7231,ECLFZ,LEMD,LECO,-12000,-8275,-10920,-7252,18.0,17.05,-14.0,-10.0,-13.0,-9.0
TAR789,TSIMM,EBBR,DTTA,41100,49533,42300,49551,20.0,0.3,45.0,55.0,47.0,55.0
OAL263,SXOBH,LGLM,LGAV,32100,35089,31800,33953,-5.0,-18.933333333333334,35.0,38.0,35.0,37.0
GCTCB,,EGHH,EGHH,-18000,-10200,-18120,-10920,-2.0,-12.0,-20.0,-12.0,-21.0,-13.0
RVP854,CSDVQ,LPMA,LPPS,46800,48372,47280,48372,8.0,0.0,52.0,53.0,52.0,53.0
LOT9EM,ESACE,EYVI,EPWA,50400,54361,50940,53888,9.0,-7.883333333333334,56.0,60.0,56.0,59.0
DLH727,DAIHA,ZSPD,EDDM,57300,100022,59040,101162,29.0,19.0,63.0,111.0,65.0,112.0
RYR1VG,EIDHG,LEAL,EBBR,68100,77658,68790,77876,11.5,3.6333333333333333,75.0,86.0,76.0,86.0
FIN152,OHLWI,VTSP,EFHK,17700,56206,18660,56106,16.0,-1.6666666666666667,19.0,62.0,20.0,62.0
RYR6DW,EIFZH,LICJ,LIPE,73500,78303,74040,78507,9.0,3.4,81.0,87.0,82.0,87.0
EWG1786,OEIQD,EDDM,LEPA,37200,45207,40440,46570,54.0,22.716666666666665,41.0,50.0,44.0,51.0
