callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
DLH2677,DAIZA,LICC,EDDM,50100,57076,49800,55993,-5.0,-18.05,55.0,63.0,55.0,62.0
LZB477,LZBOO,LBSF,LEBL,19800,30203,20940,30461,19.0,4.3,22.0,33.0,23.0,33.0
TAP553,CSTMW,EDDM,LPPT,67500,78025,68340,78421,14.0,6.6,75.0,86.0,75.0,87.0
DAL11,N178DN,EGLL,KMSP,-39900,-8877,-39180,-9420,12.0,-9.05,-45.0,-10.0,-44.0,-11.0
THY576,TCJVE,LTBA,HHAS,63000,77983,64320,77985,22.0,0.03333333333333333,70.0,86.0,71.0,86.0
THY2TR,TCJTM,LTBA,OLBA,-5100,816,-4440,264,11.0,-9.2,-6.0,0.0,-5.0,0.0
WZZ208,HALXN,LCLK,EPWA,65100,77412,65400,76455,5.0,-15.95,72.0,86.0,72.0,84.0
LOT409,SPLNE,EPWA,EDDL,23700,30730,24480,30701,13.0,-0.48333333333333334,26.0,34.0,27.0,34.0
AUA75,OELPC,LOWW,ZSPD,-22560,11619,-20820,12513,29.0,14.9,-26.0,12.0,-24.0,13.0
DAH1008,7TVKQ,DAAG,LFPO,63300,70446,64443,70898,19.05,7.533333333333333,70.0,78.0,71.0,78.0
NAX526,LNNGS,ENGM,ENZV,28800,31721,29640,31705,14.0,-0.26666666666666666,32.0,35.0,32.0,35.0
CXI696,TCTJI,LOWW,HEGN,30600,45084,31680,45126,18.0,0.7,34.0,50.0,35.0,50.0
KLM52X,PHBGT,EDDT,EHAM,48900,52962,48720,52828,-3.0,-2.2333333333333334,54.0,58.0,54.0,58.0
ICE450,TFISO,BIKF,EGLL,34200,43056,35580,44237,23.0,19.683333333333334,38.0,47.0,39.0,49.0
SAS214,LNRPJ,ENCN,ENGM,47100,49685,47503,49600,6.716666666666667,-1.4166666666666667,52.0,55.0,52.0,55.0
AFR86YL,FGTAS,LFPG,LIRF,-13800,-6595,-12420,-6570,23.0,0.4166666666666667,-16.0,-8.0,-14.0,-8.0
KKK7AJ,TCETN,LTBJ,LTBA,20400,24115,20947,24060,9.116666666666667,-0.9166666666666666,22.0,26.0,23.0,26.0
EWG5520,DAEWJ,EDDL,HEMA,23100,40755,24540,41578,24.0,13.716666666666667,25.0,45.0,27.0,46.0
CFSEP,CFSEP,KPBI,EGGW,39600,67020,40926,68252,22.1,20.533333333333335,44.0,74.0,45.0,75.0
AUA57,OELPB,LOWW,VHHH,-40800,-5660,-40260,-6001,9.0,-5.683333333333334,-46.0,-7.0,-45.0,-7.0
S5ICR,S5ICR,LOWW,LIRQ,39600,44400,40080,44300,8.0,-1.6666666666666667,44.0,49.0,44.0,49.0
DFNAH,,LFMD,LIMZ,36900,39797,37560,39705,11.0,-1.5333333333333334,41.0,44.0,41.0,44.0
IBE3191,ECJEI,EDDM,LEMD,40500,49891,41340,50097,14.0,3.433333333333333,45.0,55.0,45.0,55.0
HVN18,VNA890,LFPG,VVNB,-42600,-6711,-41640,-5820,16.0,14.85,-48.0,-8.0,-47.0,-7.0
AFR995,FHPJB,FAOR,LFPG,-22200,14612,-21180,15584,17.0,16.2,-25.0,16.0,-24.0,17.0
AFR463,FGZNN,FIMP,LFPG,-25200,14218,-24000,15149,20.0,15.516666666666667,-28.0,15.0,-27.0,16.0
QTR212,A7AHD,LGAV,OTHH,-22200,-6068,-22020,-7184,3.0,-18.6,-25.0,-7.0,-25.0,-8.0
JTG728,GTAWW,GCLP,ESSP,49200,69198,49740,69487,9.0,4.816666666666666,54.0,76.0,55.0,77.0
AFR26SA,FGKXG,LFPO,LFBO,36000,40480,36240,39746,4.0,-12.233333333333333,40.0,44.0,40.0,44.0
DLH756,DABYT,EDDF,VABB,41700,68019,43680,68891,33.0,14.533333333333333,46.0,75.0,48.0,76.0
CNV6281,900531,LQSA,LIRN,39900,45369,39480,43819,-7.0,-25.833333333333332,44.0,50.0,43.0,48.0
ROT419E,YRBGD,LRIA,LEMD,19800,34140,20760,34807,16.0,11.116666666666667,22.0,37.0,23.0,38.0
VLG7392,ECMBS,LEAL,DAOO,50100,52851,51120,53616,17.0,12.75,55.0,58.0,56.0,59.0
QTR8143,A7BFH,OTHH,ELLX,39300,63229,39900,62597,10.0,-10.533333333333333,43.0,70.0,44.0,69.0
RYR4322,EIDWO,EPKK,LIPE,21600,26972,21960,27217,6.0,4.083333333333333,24.0,29.0,24.0,30.0
UAL990,N26902,KSFO,LFPG,-5100,31352,801,35659,98.35,71.78333333333333,-6.0,34.0,0.0,39.0
DAH1124,,DAUB,LFPO,35700,43652,36555,43954,14.25,5.033333333333333,39.0,48.0,40.0,48.0
WZZ3EP,HALYA,LROP,EBCI,15000,25142,16266,25643,21.1,8.35,16.0,27.0,18.0,28.0
LOT23,SPLRD,EPWA,KLAX,-28800,13727,-28080,13457,12.0,-4.5,-32.0,15.0,-32.0,14.0
LOG27PR,,EGPE,EGPO,23400,25409,23760,25211,6.0,-3.3,26.0,28.0,26.0,28.0
SXS8DM,TCSOH,EDLW,LTBJ,-15300,-5278,-15600,-6000,-5.0,-12.033333333333333,-17.0,-6.0,-18.0,-7.0
CCA772,B6090,EDDF,ZGSZ,38700,76935,39000,76981,5.0,0.7666666666666667,43.0,85.0,43.0,85.0
AZA91F,EIDTK,LIRF,LEMD,-13200,-5632,-12240,-4806,16.0,13.766666666666667,-15.0,-7.0,-14.0,-6.0
FDB41J,A6FEE,LYBE,OMDB,44400,62148,44940,62002,9.0,-2.433333333333333,49.0,69.0,49.0,68.0
RYR2JE,EIEMR,EGSS,LRTR,-18600,-10132,-16860,-9251,29.0,14.683333333333334,-21.0,-12.0,-19.0,-11.0
DLH1451,DAIDJ,UUDD,EDDF,14700,26690,16288,27545,26.466666666666665,14.25,16.0,29.0,18.0,30.0
DLH090,DAIQF,EDDF,EDDL,68400,71014,68820,70462,7.0,-9.2,76.0,78.0,76.0,78.0
WZZ153,HALPU,LFOB,LRTR,29400,36847,30721,37600,22.016666666666666,12.55,32.0,40.0,34.0,41.0
ISR429,4XATI,LLSD,LLET,46800,50865,46515,49980,-4.75,-14.75,52.0,56.0,51.0,55.0
IBE31DD,ECJXV,LEMD,EDDM,-18300,-8982,-17160,-9276,19.0,-4.9,-21.0,-10.0,-20.0,-11.0
FHY415,TCFHB,LTAI,EDDK,-16200,-1420,-15060,-1340,19.0,1.3333333333333333,-18.0,-2.0,-17.0,-2.0
FGEOQ,,LFMP,LFMP,49500,54120,50400,53858,15.0,-4.366666666666666,55.0,60.0,56.0,59.0
AFR1610,FGUGB,LFPG,EDDH,-15000,-10003,-13980,-10586,17.0,-9.716666666666667,-17.0,-12.0,-16.0,-12.0
AUI894,UREMA,UMMS,UKBB,17100,20431,17820,20400,12.0,-0.5166666666666667,19.0,22.0,19.0,22.0
AFR14YZ,EIRJO,LFBZ,LFPG,37200,41784,38245,42519,17.416666666666668,12.25,41.0,46.0,42.0,47.0
RAM546,CNRGP,DRRN,GMMN,8100,20390,6960,18650,-19.0,-29.0,9.0,22.0,7.0,20.0
QTR730,A7BAI,KDFW,OTHH,-1800,47786,-240,48568,26.0,13.033333333333333,-2.0,53.0,-1.0,53.0
IBE31FC,ECKBX,LEMD,LPPT,67200,71182,67140,70649,-1.0,-8.883333333333333,74.0,79.0,74.0,78.0
CYP1011,5BDCW,LCLK,ULLI,-24600,-7053,-24180,-7490,7.0,-7.283333333333333,-28.0,-8.0,-27.0,-9.0
VIR33C,GVSXY,EGKK,TAPA,39600,69327,40560,69465,16.0,2.3,44.0,77.0,45.0,77.0
UAE26,A6ENZ,EGPF,OMDB,-11400,13268,-9360,13739,34.0,7.85,-13.0,14.0,-11.0,15.0
NAX7032,LNLNC,KFLL,ENGM,17100,44593,20992,47786,64.86666666666666,53.21666666666667,19.0,49.0,23.0,53.0
VLG81KJ,ECLVP,LFPO,LEVC,51300,57791,51600,57925,5.0,2.2333333333333334,57.0,64.0,57.0,64.0
