callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
AAL174,N785AN,KRDU,EGLL,-2100,22492,-1680,22526,7.0,0.5666666666666667,-3.0,24.0,-2.0,25.0
AHY8854,4KAZ83,UBBB,UUDD,57600,67457,58260,67517,11.0,1.0,64.0,74.0,64.0,75.0
AMX001,N438AM,MMMX,LEMD,2700,37628,4539,38942,30.65,21.9,3.0,41.0,5.0,43.0
DTR331,OYLHB,LOWS,EKCH,72000,80511,73680,81791,28.0,21.333333333333332,80.0,89.0,81.0,90.0
TAP1970,CSDJH,LPPT,LPPR,72000,76450,73020,75792,17.0,-10.966666666666667,80.0,84.0,81.0,84.0
EZY36YF,GEZIM,LFBO,LIRF,36000,41836,36000,41067,0.0,-12.816666666666666,40.0,46.0,40.0,45.0
BEE4LK,GECOM,EGBB,EGPH,25200,30096,25500,29208,5.0,-14.8,28.0,33.0,28.0,32.0
BEE5MH,GJECK,EGNT,EGHI,60000,64419,60240,63861,4.0,-9.3,66.0,71.0,66.0,70.0
IBS3950,ECMBU,LEMD,LEZL,40800,44647,41940,44410,19.0,-3.95,45.0,49.0,46.0,49.0
AZA1630,EIIMS,LIBD,LIML,41700,46936,41460,46461,-4.0,-7.916666666666667,46.0,52.0,46.0,51.0
AWC652,GPOWM,LFBO,LOWW,36900,43560,36660,42955,-4.0,-10.083333333333334,41.0,48.0,40.0,47.0
VLG20JM,ECMAX,LEGR,LEBL,-8100,-4220,-8520,-4652,-7.0,-7.2,-9.0,-5.0,-10.0,-6.0
BAW148,GMEDU,OLBA,EGLL,24300,42331,24730,45162,7.166666666666667,47.18333333333333,27.0,47.0,27.0,50.0
SVA123,HZARF,OEJN,EGCC,6300,30905,7944,32529,27.4,27.066666666666666,7.0,34.0,8.0,36.0
ABY284,A6AOL,LTFJ,OMSJ,-8700,5106,-8280,4626,7.0,-8.0,-10.0,5.0,-10.0,5.0
AUA286F,OELGL,EDDF,LOWI,49500,53139,51491,54202,33.18333333333333,17.716666666666665,55.0,59.0,57.0,60.0
DLH8YF,DAIPC,EDDM,ESGG,29700,35511,32280,37930,43.0,40.31666666666667,33.0,39.0,35.0,42.0
GMA354,GXAVB,EDDK,EGJJ,46800,54373,47161,53256,6.016666666666667,-18.616666666666667,52.0,60.0,52.0,59.0
HOP87XV,,LFML,LFQQ,30600,36602,30960,36610,6.0,0.13333333333333333,34.0,40.0,34.0,40.0
OAL323,SXDVT,LGIR,LGAV,56100,58322,55908,57920,-3.2,-6.7,62.0,64.0,62.0,64.0
AFL2328,VQBEH,UUEE,EDDM,42900,53505,43740,53791,14.0,4.766666666666667,47.0,59.0,48.0,59.0
TAY638C,OEIAZ,LFRN,EBLG,-2400,1116,-2903,483,-8.383333333333333,-10.55,-3.0,1.0,-4.0,0.0
AZQ4132,4KAZ100,UBBB,OAMS,-5400,2659,-4320,3139,18.0,8.0,-6.0,2.0,-5.0,3.0
AFR84AJ,FHBNB,LFPO,LFML,19200,24072,19440,22488,4.0,-26.4,21.0,26.0,21.0,24.0
EWG5FY,DAGWO,EDDT,EDDL,56100,59896,57000,59939,15.0,0.7166666666666667,62.0,66.0,63.0,66.0
AZA1354,EIRDF,LIPQ,LIRF,25500,29265,26040,30218,9.0,15.883333333333333,28.0,32.0,28.0,33.0
TAP1042,CSTNW,LPPT,LEBL,-11700,-5792,-10620,-5463,18.0,5.483333333333333,-13.0,-7.0,-12.0,-7.0
EZY45VT,GEZRJ,LEMG,EGPF,54000,66336,53820,65751,-3.0,-9.75,60.0,73.0,59.0,73.0
NTJ4JA,SELLO,ESSA,ESNL,-12000,-7116,-9900,-5242,35.0,31.233333333333334,-14.0,-8.0,-11.0,-6.0
CFE57J,GLCYN,EGPH,EGLC,40200,45080,40620,44461,7.0,-10.316666666666666,44.0,50.0,45.0,49.0
NGR002,5NFGU,LPAZ,DNAA,39360,59647,39600,59134,4.0,-8.55,43.0,66.0,44.0,65.0
RAM790T,CNRNV,GMMN,LFBO,24600,32333,25500,32668,15.0,5.583333333333333,27.0,35.0,28.0,36.0
TOM70M,GTAWF,BIKF,EGKK,43740,53016,44280,53153,9.0,2.283333333333333,48.0,58.0,49.0,59.0
EZY321F,GEZTH,EDDT,EDDS,50700,55564,52080,55094,23.0,-7.833333333333333,56.0,61.0,57.0,61.0
DLH8EM,DAIDT,EDDM,EDDK,20400,24479,21060,25696,11.0,20.283333333333335,22.0,27.0,23.0,28.0
AUA425L,OELWK,LOWW,LFMN,41700,48031,42540,49123,14.0,18.2,46.0,53.0,47.0,54.0
BAW38P,GCIVD,KPHX,EGLL,13200,45974,14580,48137,23.0,36.05,14.0,51.0,16.0,53.0
SAS4014,LNRRF,ENZV,ENGM,33900,36093,33939,36056,0.65,-0.6166666666666667,37.0,40.0,37.0,40.0
CSA616,OKMEK,LKPR,EHAM,21600,26748,25020,29319,57.0,42.85,24.0,29.0,27.0,32.0
BEE8AK,GFLBE,EGAC,EGBB,53700,56713,53700,56417,0.0,-4.933333333333334,59.0,63.0,59.0,62.0
BEE9DA,GPRPG,EGPH,EGBB,66900,70781,66840,69966,-1.0,-13.583333333333334,74.0,78.0,74.0,77.0
AEA6007,ECIII,LEBL,LEPA,27600,30188,27660,29045,1.0,-19.05,30.0,33.0,30.0,32.0
DAH2062,7TVKS,DAAG,EBBR,34200,43420,33969,43116,-3.85,-5.066666666666666,38.0,48.0,37.0,47.0
WZZ1AP,HALXI,LIBD,LROP,47700,52289,47940,52329,4.0,0.6666666666666666,53.0,58.0,53.0,58.0
ACA888,CFCAE,CYOW,EGLL,8700,28531,10680,31598,33.0,51.11666666666667,9.0,31.0,11.0,35.0
THY4CA,TCJGA,UKOO,LTBA,45900,50414,47100,51420,20.0,16.766666666666666,51.0,56.0,52.0,57.0
BEE7NL,GECOM,EGPH,EGBB,31200,35059,32040,35007,14.0,-0.8666666666666667,34.0,38.0,35.0,38.0
ETD86N,A6AEI,LTBA,OMAA,41400,56005,42420,55825,17.0,-3.0,46.0,62.0,47.0,62.0
RYR41UB,EIEML,LIRA,LEMD,-15000,-6858,-13500,-6040,25.0,13.633333333333333,-17.0,-8.0,-15.0,-7.0
EAV20A,S5JVA,UUWW,LCLK,16200,28489,17878,28964,27.966666666666665,7.916666666666667,18.0,31.0,19.0,32.0
BCS1928,DALEK,LFLL,LFBO,20100,23623,21180,24165,18.0,9.033333333333333,22.0,26.0,23.0,26.0
BAW2648,GGATL,EGKK,LATI,32400,41275,34020,41878,27.0,10.05,36.0,45.0,37.0,46.0
LOT755,SPLII,EPWA,UKKK,-4200,191,-2580,1064,27.0,14.55,-5.0,0.0,-3.0,1.0
BEL6CF,EIFWD,EBBR,EKBI,72000,76263,72960,76826,16.0,9.383333333333333,80.0,84.0,81.0,85.0
RYR5EQ,EIFTW,LMML,EGNM,39300,53418,39900,54817,10.0,23.316666666666666,43.0,59.0,44.0,60.0
