callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
TOM11H,GOOBA,EGBB,LFLB,22200,28143,23160,27971,16.0,-2.8666666666666667,24.0,31.0,25.0,31.0
RYR4WB,EIDCO,EDDB,LGTS,21600,29463,22260,29996,11.0,8.883333333333333,24.0,32.0,24.0,33.0
AVA120,N795AV,SKBO,EGLL,16800,53575,20261,57358,57.68333333333333,63.05,18.0,59.0,22.0,63.0
BAW245,GYMMU,EGLL,SAEZ,79800,127083,81240,127780,24.0,11.616666666666667,88.0,141.0,90.0,141.0
EZY96XZ,OEIVE,GCRR,EGKK,46800,59477,48120,59745,22.0,4.466666666666667,52.0,66.0,53.0,66.0
IBE31AK,ECMDK,EGLL,LEMD,69600,78617,70200,77270,10.0,-22.45,77.0,87.0,78.0,85.0
EZS92PD,HBJZX,LFSB,GCLP,42600,58637,42960,58681,6.0,0.7333333333333333,47.0,65.0,47.0,65.0
MSR754,SUGEJ,LEMD,HECA,49800,65856,52320,66745,42.0,14.816666666666666,55.0,73.0,58.0,74.0
THY9PK,TCJRH,LTBA,LBSF,20100,23933,22860,25646,46.0,28.55,22.0,26.0,25.0,28.0
BAW154,GMEDJ,HECA,EGLL,27300,44697,28135,44973,13.916666666666666,4.6,30.0,49.0,31.0,49.0
FIN960,OHLKE,EKCH,EFHK,69000,74389,69420,74331,7.0,-0.9666666666666667,76.0,82.0,77.0,82.0
EZY37PD,OEIJH,EGCC,LKPR,52800,60575,53580,59803,13.0,-12.866666666666667,58.0,67.0,59.0,66.0
CLX798,LXSCV,ELLX,UBBB,81000,96590,81780,96662,13.0,1.2,90.0,107.0,90.0,107.0
EZY87PB,GEZUW,EGKK,LOWS,45900,52835,46320,52040,7.0,-13.25,51.0,58.0,51.0,57.0
UAE35,A6ENF,OMDB,EGNT,12300,39709,13860,40440,26.0,12.183333333333334,13.0,44.0,15.0,44.0
BTI25K,YLBAX,EDDH,EVRA,27600,34408,28140,34216,9.0,-3.2,30.0,38.0,31.0,38.0
