callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
GMA369,GXAVB,EGJJ,EGTK,57600,60580,59460,62297,31.0,28.616666666666667,64.0,67.0,66.0,69.0
BAW239,GBYGF,EGLL,KBOS,69000,94236,70560,94562,26.0,5.433333333333334,76.0,104.0,78.0,105.0
SAS7378,LNRRA,GCTS,ENZV,52500,72355,52860,71622,6.0,-12.216666666666667,58.0,80.0,58.0,79.0
EZY51TW,OEIVS,EGKK,LFPG,60300,63457,60960,63249,11.0,-3.466666666666667,67.0,70.0,67.0,70.0
NAX36J,LNNHE,ESPA,ESSA,32400,36729,32940,36642,9.0,-1.45,36.0,40.0,36.0,40.0
AUA704K,OELDC,LKPR,LOWW,26100,28670,27240,29808,19.0,18.966666666666665,29.0,31.0,30.0,33.0
NAX1RP,LNNIE,ESSA,GCLP,32100,52255,32820,52407,12.0,2.533333333333333,35.0,58.0,36.0,58.0
EZY56VR,GEZRA,LFPO,LIML,40500,45154,42120,45964,27.0,13.5,45.0,50.0,46.0,51.0
NJE3BP,CSGLB,LIML,LMML,57600,63734,58200,63991,10.0,4.283333333333333,64.0,70.0,64.0,71.0
STK550M,GFBEF,EGMC,EGPF,66600,70687,67080,70961,8.0,4.566666666666666,74.0,78.0,74.0,78.0
VOE12KX,EIEXA,LIBD,LIPZ,57600,61737,58440,62135,14.0,6.633333333333334,64.0,68.0,64.0,69.0
TGZ682,4LTGU,LOWW,UGTB,57600,68841,58740,70020,19.0,19.65,64.0,76.0,65.0,77.0
THY1YL,TCJSM,LTBA,ESSA,42600,54384,44400,55133,30.0,12.483333333333333,47.0,60.0,49.0,61.0
DAH3017,,LTBA,DAAG,48300,61310,50580,62475,38.0,19.416666666666668,53.0,68.0,56.0,69.0
EZY36BQ,GEZDP,EGGW,LEBL,61500,69132,62820,68654,22.0,-7.966666666666667,68.0,76.0,69.0,76.0
SAS61E,EIFPB,ENBR,ENAL,56700,59211,57027,59178,5.45,-0.55,63.0,65.0,63.0,65.0
DLA7JS,IADJL,LIRQ,EDDM,56100,60120,57540,60603,24.0,8.05,62.0,66.0,63.0,67.0
SAS74G,SEREZ,ENGM,ENAL,51300,54519,51780,54384,8.0,-2.25,57.0,60.0,57.0,60.0
EWG9V,DAKNL,EDDL,EDDH,71100,73711,72780,75059,28.0,22.466666666666665,79.0,81.0,80.0,83.0
DLH948,DAISJ,EDDF,EGCC,-12600,-7192,-11700,-7077,15.0,1.9166666666666667,-14.0,-8.0,-13.0,-8.0
AEA4531,ECLYJ,LEPA,LEMH,56100,58244,56280,57788,3.0,-7.6,62.0,64.0,62.0,64.0
VLG18JC,ECMJR,EKCH,LEBL,58500,66948,58500,66953,0.0,0.08333333333333333,65.0,74.0,65.0,74.0
IBK3790,EIFHA,EKCH,LLBG,21300,36650,22140,35674,14.0,-16.266666666666666,23.0,40.0,24.0,39.0
FHSKJ,,LFPN,LFPB,67500,68313,68760,69213,21.0,15.0,75.0,75.0,76.0,76.0
ROT382W,YRBGB,LFPG,LROP,41100,51282,42540,50804,24.0,-7.966666666666667,45.0,56.0,47.0,56.0
GMA907,GSASC,EGPE,EGPF,51000,53216,52020,54079,17.0,14.383333333333333,56.0,59.0,57.0,60.0
HOP84QM,,LFML,LFQQ,69600,74762,70235,74801,10.583333333333334,0.65,77.0,83.0,78.0,83.0
RYR558,EIDHX,EIDW,EGCC,-12600,-10053,-12180,-10108,7.0,-0.9166666666666666,-14.0,-12.0,-14.0,-12.0
DLH3FN,IADJO,LIPX,EDDF,49200,53732,49620,53527,7.0,-3.4166666666666665,54.0,59.0,55.0,59.0
NAX7KC,LNDYP,ENVA,ENGM,52800,56200,54600,57131,30.0,15.516666666666667,58.0,62.0,60.0,63.0
SAA260,ZSSNG,FAOR,EDDF,65700,104966,66300,104966,10.0,0.0,73.0,116.0,73.0,116.0
GTI8828,N418MC,EDFH,OAIX,82800,105336,82500,104643,-5.0,-11.55,92.0,117.0,91.0,116.0
BEL8LQ,EIFWB,EBBR,LIPE,51300,56874,51660,56416,6.0,-7.633333333333334,57.0,63.0,57.0,62.0
SHT18V,GEUOD,EGLL,EGPD,60600,65929,61920,66330,22.0,6.683333333333334,67.0,73.0,68.0,73.0
RYR8147,EIDAI,LEIB,LEMG,51000,55427,51360,55134,6.0,-4.883333333333334,56.0,61.0,57.0,61.0
SXS5A,TCSOD,LTAI,LTFJ,63600,67880,64440,67440,14.0,-7.333333333333333,70.0,75.0,71.0,74.0
RYR5TF,EIDCR,EDDB,LROP,56100,63440,56280,62440,3.0,-16.666666666666668,62.0,70.0,62.0,69.0
OXM103,9HBOM,EDDF,EDDM,51600,53936,52200,54400,10.0,7.733333333333333,57.0,59.0,58.0,60.0
IBE32RR,ECILO,LEMD,LIPZ,54600,62788,55500,62564,15.0,-3.7333333333333334,60.0,69.0,61.0,69.0
