callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
EZS478V,HBJYN,LFMN,LFSB,58200,62234,58440,61873,4.0,-6.016666666666667,64.0,69.0,64.0,68.0
ANE8868,ECMNB,LEMD,LEXJ,41700,44680,42180,44282,8.0,-6.633333333333334,46.0,49.0,46.0,49.0
DLH66V,DACKE,EDDM,LFMN,60000,65900,62640,66947,44.0,17.45,66.0,73.0,69.0,74.0
LGL61M,LXLGE,ELLX,LIMC,20700,24851,21120,24569,7.0,-4.7,23.0,27.0,23.0,27.0
PGT6FF,TCNBA,LFLL,LTFJ,42900,53345,43080,52680,3.0,-11.083333333333334,47.0,59.0,47.0,58.0
GFA015,A9CAM,UUDD,OBBI,42600,59227,43200,59227,10.0,0.0,47.0,65.0,48.0,65.0
WIF55T,LNWII,ENVA,ENAL,49500,53237,49980,52874,8.0,-6.05,55.0,59.0,55.0,58.0
VLG2915,ECLUN,LEBL,LFBD,48900,52472,49800,52885,15.0,6.883333333333334,54.0,58.0,55.0,58.0
IBE6025,ECMKI,LEMD,SBGL,-47400,-10229,-45960,-9819,24.0,6.833333333333333,-53.0,-12.0,-52.0,-11.0
AFR25AL,FGKXI,LFPG,EHAM,26700,30917,27960,30988,21.0,1.1833333333333333,29.0,34.0,31.0,34.0
RZO377,CSTRY,LPPD,CYYZ,-21000,1582,-20340,1942,11.0,6.0,-24.0,1.0,-23.0,2.0
MHV2T,DCIRJ,EDDT,EDFM,30300,35333,30060,33857,-4.0,-24.6,33.0,39.0,33.0,37.0
RYR5DN,EIDYM,EGNX,GCRR,42300,58572,43080,58866,13.0,4.9,47.0,65.0,47.0,65.0
RYR77DZ,EIEFG,EIDW,EPRZ,25200,34612,26340,30300,19.0,-71.86666666666666,28.0,38.0,29.0,33.0
RYR28R,EIEVY,LROD,EDLV,36600,43329,36300,43945,-5.0,10.266666666666667,40.0,48.0,40.0,48.0
RYR33EJ,EIDLE,EIDW,LIME,23100,30653,24180,30935,18.0,4.7,25.0,34.0,26.0,34.0
RCH817,50033S,OMAM,ETAR,33000,60456,34577,61200,26.283333333333335,12.4,36.0,67.0,38.0,68.0
SAS58E,LNRGG,EKCH,ESSA,29100,33063,29580,33192,8.0,2.15,32.0,36.0,32.0,36.0
MEA305,T7MRA,HECA,OLBA,32400,36744,33871,37241,24.516666666666666,8.283333333333333,36.0,40.0,37.0,41.0
THY10Q,TCJZH,LTBA,UBBB,22500,31613,23880,31860,23.0,4.116666666666666,25.0,35.0,26.0,35.0
