callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
WIF31M,LNWID,ENST,ENBO,48600,51399,47880,49496,-12.0,-31.716666666666665,54.0,57.0,53.0,54.0
THY8UH,TCJGS,LTAZ,LTBA,24600,29039,25620,29520,17.0,8.016666666666667,27.0,32.0,28.0,32.0
SWR1304,HBJBA,LSGG,ULLI,32700,44293,34320,44733,27.0,7.333333333333333,36.0,49.0,38.0,49.0
BTI34V,YLBBU,EVRA,EYVI,46200,48912,47280,49685,18.0,12.883333333333333,51.0,54.0,52.0,55.0
DLH1784,DAIPF,EDDM,LTAC,36600,45951,38400,47340,30.0,23.15,40.0,51.0,42.0,52.0
DLH7XA,DAIRE,EDDF,EDDH,57600,61414,58500,61489,15.0,1.25,64.0,68.0,65.0,68.0
FIN348,OHATG,EFJO,EFHK,-14400,-10840,-13980,-10706,7.0,2.2333333333333334,-16.0,-13.0,-16.0,-12.0
DLH5EM,DAISI,EDDF,ESGG,24000,29527,24360,29278,6.0,-4.15,26.0,32.0,27.0,32.0
THY3TC,TCSBE,LTFG,LTAC,12000,15220,12120,14880,2.0,-5.666666666666667,13.0,16.0,13.0,16.0
TOM41P,GOOBG,LOWI,EGCC,37500,43559,37920,44839,7.0,21.333333333333332,41.0,48.0,42.0,49.0
THY1SL,TCJTL,LTBA,LOWW,23100,30517,24840,31193,29.0,11.266666666666667,25.0,33.0,27.0,34.0
RYR9DG,EIFIW,EIKN,EGGW,42600,46624,42720,46067,2.0,-9.283333333333333,47.0,51.0,47.0,51.0
WZZ876,HALWP,LEBL,EVRA,47400,60374,48660,60391,21.0,0.2833333333333333,52.0,67.0,54.0,67.0
AUA77S,OELGA,LOWW,LQSA,42900,46942,44520,47725,27.0,13.05,47.0,52.0,49.0,53.0
DLH510,DABYS,EDDF,SAEZ,-9000,38446,-8040,38304,16.0,-2.3666666666666667,-10.0,42.0,-9.0,42.0
QTR183,A7BDD,OTHH,LOWW,16800,37221,17760,38158,16.0,15.616666666666667,18.0,41.0,19.0,42.0
AFR56VB,FGTAQ,LFPO,LFMN,23400,28020,25620,29605,37.0,26.416666666666668,26.0,31.0,28.0,32.0
DAL16,N16065,KDTW,EGLL,-3060,20718,4380,26786,124.0,101.13333333333334,-4.0,23.0,4.0,29.0
IBE31VM,ECILO,LPPT,LEMD,35100,39683,37320,40348,37.0,11.083333333333334,39.0,44.0,41.0,44.0
EZY801C,DAIAE,EDDL,EDDT,36300,39714,37260,40325,16.0,10.183333333333334,40.0,44.0,41.0,44.0
WIF95X,LNWIF,ENGM,ENBL,-9000,-4340,-7980,-4645,17.0,-5.083333333333333,-10.0,-5.0,-9.0,-6.0
EWG9LK,DAKNL,LEPA,EDDT,59700,69177,60120,68898,7.0,-4.65,66.0,76.0,66.0,76.0
RYR5QE,EIDCJ,EGSS,EDFH,29220,33335,30660,34240,24.0,15.083333333333334,32.0,37.0,34.0,38.0
UAE96,A6EBT,LIRF,OMDB,-15300,2236,-14100,2166,20.0,-1.1666666666666667,-17.0,2.0,-16.0,2.0
VLG6236,ECMKV,LIRQ,EGGW,37500,45135,37560,44857,1.0,-4.633333333333334,41.0,50.0,41.0,49.0
RYR1KP,EIFRB,LKPR,EGSS,22800,28344,24060,30640,21.0,38.266666666666666,25.0,31.0,26.0,34.0
DLH14M,DAIDW,LEBL,EDDM,63300,70382,63660,70041,6.0,-5.683333333333334,70.0,78.0,70.0,77.0
