callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
AUA186,OELWL,EDDS,LOWW,42000,45594,42060,45267,1.0,-5.45,46.0,50.0,46.0,50.0
EWG25M,DAIZU,EGCC,EDDL,30000,35093,31740,35416,29.0,5.383333333333334,33.0,38.0,35.0,39.0
AFR83YB,FGRXB,LFPO,LFMN,63300,68110,63660,67722,6.0,-6.466666666666667,70.0,75.0,70.0,75.0
NTJ5JA,SEMEX,ESNX,ESSA,39300,44751,38940,45102,-6.0,5.85,43.0,49.0,43.0,50.0
EZY459B,GEZIM,LFLL,LFBD,46200,49855,46620,50304,7.0,7.483333333333333,51.0,55.0,51.0,55.0
EZS68AJ,HBJYB,LIBR,LSGG,44700,52545,46800,53813,35.0,21.133333333333333,49.0,58.0,52.0,59.0
NAX343E,LNNHE,EKCH,LQSA,34800,42527,35400,41880,10.0,-10.783333333333333,38.0,47.0,39.0,46.0
DLA2DM,IADJL,EDDM,LIMF,62700,66437,63960,67600,21.0,19.383333333333333,69.0,73.0,71.0,75.0
NAK401,FGEVL,LFOK,LFPM,34200,36490,36009,38069,30.15,26.316666666666666,38.0,40.0,40.0,42.0
DCAPB,DCAPB,EDDS,EDDM,57600,58842,56760,58146,-14.0,-11.6,64.0,65.0,63.0,64.0
RYR1XD,EIFTK,EDDN,LIME,22800,26664,23220,26526,7.0,-2.3,25.0,29.0,25.0,29.0
IBK2860,EIFVV,EGKK,ESSA,-11100,-1664,-8160,-765,49.0,14.983333333333333,-13.0,-2.0,-10.0,-1.0
GSW3018,HBJOI,LSZH,LWSK,47700,54193,48300,53061,10.0,-18.866666666666667,53.0,60.0,53.0,58.0
RYR96SZ,EIDCW,EBCI,EKCH,21300,26455,21960,26503,11.0,0.8,23.0,29.0,24.0,29.0
BHL261,LNOIC,ZZZZ,ZZZZ,52200,53230,53100,53230,15.0,0.0,58.0,59.0,59.0,59.0
LOT68T,ESACD,EDDM,EETN,-15600,-7067,-15060,-7740,9.0,-11.216666666666667,-18.0,-8.0,-17.0,-9.0
CSN345,B5967,ZBAA,EHAM,59400,96476,63000,99477,60.0,50.016666666666666,66.0,107.0,70.0,110.0
ACA57,CFRSR,OMDB,CYYZ,71700,118593,75480,121764,63.0,52.85,79.0,131.0,83.0,135.0
RCH335,70044B,KPSM,ETAR,18000,48117,20153,48120,35.88333333333333,0.05,20.0,53.0,22.0,53.0
AFR22AC,FGRXM,LFPG,LFBO,26100,32891,30240,33919,69.0,17.133333333333333,29.0,36.0,33.0,37.0
THY90A,TCJMJ,LTBJ,LTBA,57900,61403,58980,61920,18.0,8.616666666666667,64.0,68.0,65.0,68.0
KLM14Y,PHEZH,ESGG,EHAM,66900,71604,67080,71421,3.0,-3.05,74.0,79.0,74.0,79.0
SRR6497,OYSRH,LIPE,EDDK,-11100,-6364,-10140,-5776,16.0,9.8,-13.0,-8.0,-12.0,-7.0
BAW1306,GEUYD,EGPH,EGPD,46200,48912,47100,48782,15.0,-2.1666666666666665,51.0,54.0,52.0,54.0
RAM481B,CNRGN,GMAD,GMMH,61200,67257,63240,68536,34.0,21.316666666666666,68.0,74.0,70.0,76.0
UAE27,A6ENJ,OMDB,EGPF,12000,38035,15060,46711,51.0,144.6,13.0,42.0,16.0,51.0
