callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
XK351GA,FGRPY,LFML,LFKC,24600,28368,24780,27944,3.0,-7.066666666666666,27.0,31.0,27.0,31.0
CCM130,FGRPJ,LFKJ,LFLL,31200,35961,31380,35912,3.0,-0.8166666666666667,34.0,39.0,34.0,39.0
HOP46UA,,LFBD,LFLL,55800,59203,56640,60315,14.0,18.533333333333335,62.0,65.0,62.0,67.0
KTB686,ESPJR,EETN,EEKE,56100,58917,55980,57720,-2.0,-19.95,62.0,65.0,62.0,64.0
FDX26,N858FD,KMEM,EDDK,79200,108248,84240,112688,84.0,74.0,88.0,120.0,93.0,125.0
IBK6687,EIFHL,EFHK,LEPA,38400,51732,39120,51385,12.0,-5.783333333333333,42.0,57.0,43.0,57.0
CPA676,BLRP,LLBG,VHHH,-42300,-9595,-41880,-10239,7.0,-10.733333333333333,-47.0,-11.0,-47.0,-12.0
BCS2213,GNPTY,EGGW,EGNX,7800,10014,8280,9745,8.0,-4.483333333333333,8.0,11.0,9.0,10.0
EZY9003,OEIVR,LJLJ,LIMC,75600,79024,75600,78376,0.0,-10.8,84.0,87.0,84.0,87.0
NAX36J,LNNIB,ESPA,ESSA,29700,34446,30120,33893,7.0,-9.216666666666667,33.0,38.0,33.0,37.0
RSC192,ECMNN,GCXO,GCLP,72000,74209,72120,73872,2.0,-5.616666666666666,80.0,82.0,80.0,82.0
UAE28,A6EPS,EGPF,OMDB,47700,72728,48300,72481,10.0,-4.116666666666666,53.0,80.0,53.0,80.0
VLG18LX,ECMFM,LEMD,LEBL,58500,62344,59820,63408,22.0,17.733333333333334,65.0,69.0,66.0,70.0
EWG27B,OEIQA,LFMN,LOWW,68400,73794,69060,73899,11.0,1.75,76.0,81.0,76.0,82.0
UPEM008,UPEM008,UACC,LSZH,27900,50784,28440,50761,9.0,-0.38333333333333336,31.0,56.0,31.0,56.0
AUA2658,OELDB,LDDU,LOWG,24000,27729,24420,27728,7.0,-0.016666666666666666,26.0,30.0,27.0,30.0
KLM646,PHBHM,KJFK,EHAM,81000,106311,82020,105172,17.0,-18.983333333333334,90.0,118.0,91.0,116.0
ICL922,4XICB,KATL,EBLG,-39600,-11166,-38580,-10163,17.0,16.716666666666665,-44.0,-13.0,-43.0,-12.0
EIN27G,EIDVE,EGBB,EIDW,71100,75343,71040,73843,-1.0,-25.0,79.0,83.0,78.0,82.0
AFL2415,VQBOI,LIMC,UUEE,-5100,6288,-4548,6840,9.2,9.2,-6.0,6.0,-6.0,7.0
LOG42BS,,EGPL,EGPO,28200,29832,28800,29832,10.0,0.0,31.0,33.0,32.0,33.0
IBK6504,EIFVP,GCTS,EDDB,29400,47237,29760,46521,6.0,-11.933333333333334,32.0,52.0,33.0,51.0
SEH2202,SXJOY,LGAV,LGSR,36600,39363,37380,39390,13.0,0.45,40.0,43.0,41.0,43.0
FIN51G,OHATM,EFHK,EFJO,25800,29377,26040,29203,4.0,-2.9,28.0,32.0,28.0,32.0
AEE612,SXDND,LGAV,LFPG,37500,48069,38940,48817,24.0,12.466666666666667,41.0,53.0,43.0,54.0
VLG22NJ,ECHQL,LEBL,LEZL,74100,79417,74700,79006,10.0,-6.85,82.0,88.0,83.0,87.0
ABW393,VQBLR,UUEE,EDDF,85800,95853,86400,95853,10.0,0.0,95.0,106.0,96.0,106.0
LGL704,LXLGS,GCLP,ELLX,58800,73826,59580,74571,13.0,12.416666666666666,65.0,82.0,66.0,82.0
TVF78FG,FGZHY,LPPR,LPMA,48000,54841,48360,54465,6.0,-6.266666666666667,53.0,60.0,53.0,60.0
AUA677V,OELGN,LOWW,LDZA,54900,58155,55368,57874,7.8,-4.683333333333334,61.0,64.0,61.0,64.0
UPS257,N325UP,LEMD,EDDK,74400,82135,74700,81858,5.0,-4.616666666666666,82.0,91.0,83.0,90.0
DLH94C,DACNK,LFBO,EDDM,58800,65061,59220,64425,7.0,-10.6,65.0,72.0,65.0,71.0
AZA7PX,EIDTH,LIRF,LIBD,70800,73916,71820,74391,17.0,7.916666666666667,78.0,82.0,79.0,82.0
SRR6529,OYSRL,EIDW,EDDK,72600,78537,74300,80321,28.333333333333332,29.733333333333334,80.0,87.0,82.0,89.0
BAW729,GEUPB,LSGG,EGLL,40200,45120,40680,45895,8.0,12.916666666666666,44.0,50.0,45.0,50.0
PGT6BL,TCDCF,LTBJ,LTFJ,24600,28319,25260,28379,11.0,1.0,27.0,31.0,28.0,31.0
WIF35C,LNWIG,ENVD,ENTC,42600,47383,41940,45787,-11.0,-26.6,47.0,52.0,46.0,50.0
KLM767,PHAKD,TNCB,EHAM,85200,117428,85800,117428,10.0,0.0,94.0,130.0,95.0,130.0
NPT12B,GJMCO,EGNX,EGPH,-1800,1103,-1080,1359,12.0,4.266666666666667,-2.0,1.0,-2.0,1.0
GMI1050,DAGER,ELLX,LSZH,22500,25426,21900,24135,-10.0,-21.516666666666666,25.0,28.0,24.0,26.0
EZS52YJ,HBJXB,LSGG,LICC,14700,21769,15000,21307,5.0,-7.7,16.0,24.0,16.0,23.0
VIR46Z,GVLUV,KJFK,EGLL,-3600,21869,-2460,21242,19.0,-10.45,-4.0,24.0,-3.0,23.0
SRK11B,HBIZB,EDDT,LSZB,64800,70287,66060,70542,21.0,4.25,72.0,78.0,73.0,78.0
THY348,TCJVD,LTBA,UCFM,-19800,-1553,-18900,-900,15.0,10.883333333333333,-22.0,-2.0,-21.0,-1.0
YZR7471,B2437,ZLXY,EHAM,85560,121480,85920,121240,6.0,-4.0,95.0,134.0,95.0,134.0
