callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
DLH2EV,DAIBB,EDDM,LROP,72300,78979,72600,78338,5.0,-10.683333333333334,80.0,87.0,80.0,87.0
GMI3109,DASTC,LEMG,EDDG,28500,39480,29880,39551,23.0,1.1833333333333333,31.0,43.0,33.0,43.0
AEA058,ECMOM,SBGR,LEMD,61800,96584,62400,96584,10.0,0.0,68.0,107.0,69.0,107.0
AUI720,URPSC,LTBA,UKOO,72600,77235,74040,77280,24.0,0.75,80.0,85.0,82.0,85.0
HNL05B,PHEUE,EHKD,EHKH,45900,48164,46620,48284,12.0,2.0,51.0,53.0,51.0,53.0
ELY2366,4XEKO,LHBP,LLBG,30000,40912,31680,42360,28.0,24.133333333333333,33.0,45.0,35.0,47.0
KAC104,9KAOK,EGLL,OKBK,39900,59742,41460,60914,26.0,19.533333333333335,44.0,66.0,46.0,67.0
BAW04A,GBNLP,EGLL,KJFK,43800,70314,45300,70594,25.0,4.666666666666667,48.0,78.0,50.0,78.0
DLH72K,DAISV,LEVC,EDDF,16500,25008,17040,24347,9.0,-11.016666666666667,18.0,27.0,18.0,27.0
EWG7001,DAIZU,EDDM,EDDH,70800,75487,71460,74972,11.0,-8.583333333333334,78.0,83.0,79.0,83.0
SWR1175,OELGQ,EDDS,LSZH,61800,64130,63240,65244,24.0,18.566666666666666,68.0,71.0,70.0,72.0
EZY73YQ,GEZRO,EGKK,LEPA,61200,68815,63180,69758,33.0,15.716666666666667,68.0,76.0,70.0,77.0
HNL05A,PHEUE,EHKD,EHKP,18000,19856,18712,20139,11.866666666666667,4.716666666666667,20.0,22.0,20.0,22.0
EWG4EC,DABQA,LOWS,EDDL,52500,57084,52020,56423,-8.0,-11.016666666666667,58.0,63.0,57.0,62.0
SXS7FX,TCSNZ,LTAI,EDDM,25200,36934,25860,36019,11.0,-15.25,28.0,41.0,28.0,40.0
EXS2166,GGDFE,LEDA,EGNX,30600,37408,31020,38056,7.0,10.8,34.0,41.0,34.0,42.0
AFL122,VQBBG,UUEE,KJFK,-25800,8922,-24900,9056,15.0,2.2333333333333334,-29.0,9.0,-28.0,10.0
RYR22QY,EIEBO,LIBD,EDSB,69360,76987,69960,76703,10.0,-4.733333333333333,77.0,85.0,77.0,85.0
THY140,TCJTK,LTBA,OERK,63000,77439,64680,78316,28.0,14.616666666666667,70.0,86.0,71.0,87.0
N972EU,,LIMB,LIMB,46800,55860,47820,50122,17.0,-95.63333333333334,52.0,62.0,53.0,55.0
PGT9TN,TCCPN,LTBJ,LTFJ,73500,77337,74940,78177,24.0,14.0,81.0,85.0,83.0,86.0
WZZ4EN,GWUKC,LHBP,EGGW,67920,76576,68820,77538,15.0,16.033333333333335,75.0,85.0,76.0,86.0
BAW97A,GYMML,EGLL,KIAH,-38700,-2847,-37260,-2402,24.0,7.416666666666667,-43.0,-4.0,-42.0,-3.0
CXI795,TCTJI,HEGN,EDDT,10800,27906,11160,27390,6.0,-8.6,12.0,31.0,12.0,30.0
IBE2625,ECMOY,LEBL,KBOS,-32100,-976,-31200,-1275,15.0,-4.983333333333333,-36.0,-2.0,-35.0,-2.0
OAL3SR,SXDVJ,LGAV,LGSR,8100,10524,8940,10570,14.0,0.7666666666666667,9.0,11.0,9.0,11.0
RYR50JP,EIDWJ,EVRA,EGSS,-17100,-8024,-16440,-8191,11.0,-2.783333333333333,-19.0,-9.0,-19.0,-10.0
BEE8NG,GECOA,EGBB,EGPD,63600,68640,64380,68346,13.0,-4.9,70.0,76.0,71.0,75.0
DLH2PH,DAIZC,EDDM,EKCH,63900,69047,64740,69405,14.0,5.966666666666667,71.0,76.0,71.0,77.0
DLH5TT,DAIUB,EDDF,ESSA,30000,37203,31080,37095,18.0,-1.8,33.0,41.0,34.0,41.0
RYR30CH,EIDYE,LEXJ,GCTS,71820,83796,72060,83349,4.0,-7.45,79.0,93.0,80.0,92.0
UAL4,N37018,EGLL,KIAH,-40800,-6565,-39720,-6750,18.0,-3.0833333333333335,-46.0,-8.0,-45.0,-8.0
EWG7KH,DAGWZ,EDDL,EDDC,60600,64420,61080,64166,8.0,-4.233333333333333,67.0,71.0,67.0,71.0
THY6393,TCJDS,LTBA,LIMC,-10800,-999,-9240,-249,26.0,12.5,-12.0,-2.0,-11.0,-1.0
RAM523T,CNRGH,GMMN,GABS,-7500,3941,-6960,3881,9.0,-1.0,-9.0,4.0,-8.0,4.0
AUA56H,OELBX,LSZH,LOWW,20400,24781,21540,25553,19.0,12.866666666666667,22.0,27.0,23.0,28.0
NAX2GX,LNNGT,ENGM,ENDU,42000,47808,42900,48332,15.0,8.733333333333333,46.0,53.0,47.0,53.0
SCW177E,SEDSR,ESMS,ESSB,45600,49408,46080,49357,8.0,-0.85,50.0,54.0,51.0,54.0
HYP001,9HAMF,LFBD,LFMN,-8100,-4295,-8580,-4822,-8.0,-8.783333333333333,-9.0,-5.0,-10.0,-6.0
EXS67W,GGDFT,EGNX,LSGG,30300,35878,31080,35940,13.0,1.0333333333333334,33.0,39.0,34.0,39.0
MSA1836,IADLW,LICG,LICT,59400,61535,59040,60782,-6.0,-12.55,66.0,68.0,65.0,67.0
AFR87XY,FGKXS,LFBO,LFPG,27000,32103,27060,31030,1.0,-17.883333333333333,30.0,35.0,30.0,34.0
ELY336,4XEHE,EHAM,LLBG,70200,84539,73200,86353,50.0,30.233333333333334,78.0,93.0,81.0,95.0
AFR008,FGSPU,LFPG,KJFK,-24600,2746,-24180,2946,7.0,3.3333333333333335,-28.0,3.0,-27.0,3.0
TAP584G,CSTTX,LPPT,EDDK,-18000,-7921,-17460,-8190,9.0,-4.483333333333333,-20.0,-9.0,-20.0,-10.0
AZA540,EIEIB,LIRF,ULLI,36600,48130,37920,48956,22.0,13.766666666666667,40.0,53.0,42.0,54.0
TVF64DJ,FGZHU,GMAD,LFPO,34020,45255,34380,45065,6.0,-3.1666666666666665,37.0,50.0,38.0,50.0
ETH3717,ETARI,EBLG,HAAB,37500,58883,38880,59543,23.0,11.0,41.0,65.0,43.0,66.0
KLM512,PHAON,GLRB,EHAM,83100,106742,83698,106740,9.966666666666667,-0.03333333333333333,92.0,118.0,92.0,118.0
RYR1C,EIDCI,EHEH,LEGE,26820,33299,27780,33245,16.0,-0.9,29.0,36.0,30.0,36.0
MDF036,,LGAV,LGTS,5400,9675,4860,8075,-9.0,-26.666666666666668,6.0,10.0,5.0,8.0
MDF036P,,LGTS,LGAV,10800,15069,9360,12228,-24.0,-47.35,12.0,16.0,10.0,13.0
RYR663,EIDPP,EGBB,EIDW,26100,29827,27240,30016,19.0,3.15,29.0,33.0,30.0,33.0
CRL927,FGTUI,TFFR,LFPO,82800,110498,83520,110618,12.0,2.0,92.0,122.0,92.0,122.0
WOW815,TFNEO,EGKK,BIKF,-15600,-4952,-15180,-5801,7.0,-14.15,-18.0,-6.0,-17.0,-7.0
NAX44L,LNNIC,ESPA,ESSA,60600,65581,62160,66418,26.0,13.95,67.0,72.0,69.0,73.0
VIR46Z,GVNYC,KJFK,EGLL,82800,107514,84060,106674,21.0,-14.0,92.0,119.0,93.0,118.0
NAX7001,LNLNN,ENGM,KJFK,63000,89175,64393,89530,23.216666666666665,5.916666666666667,70.0,99.0,71.0,99.0
BEL5CF,EIFWE,EBBR,EKBI,38700,42892,39060,42693,6.0,-3.316666666666667,43.0,47.0,43.0,47.0
NAX775,LNNGY,ENVA,ENGM,63600,67179,65220,67982,27.0,13.383333333333333,70.0,74.0,72.0,75.0
BAW34,GZBKF,WMKK,EGLL,-31800,15173,-31020,15602,13.0,7.15,-36.0,16.0,-35.0,17.0
POKER46,99100,OKAS,LTAG,14400,25939,15000,25939,10.0,0.0,16.0,28.0,16.0,28.0
