callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
THY6UQ,TCJLS,LBSF,LTBA,53400,57821,52980,56040,-7.0,-29.683333333333334,59.0,64.0,58.0,62.0
THY6358,TCJCI,LTBA,VABB,-24000,-2323,-22920,-2443,18.0,-2.0,-27.0,-3.0,-26.0,-3.0
LOT8312,ESACB,UKBB,EETN,46200,53126,46140,51660,-1.0,-24.433333333333334,51.0,59.0,51.0,57.0
DLA36CE,IADJU,EDDM,LIPZ,58800,62022,60060,62478,21.0,7.6,65.0,68.0,66.0,69.0
UKL4050,URCAJ,LUKK,LZIB,51300,59931,52500,59547,20.0,-6.4,57.0,66.0,58.0,66.0
EXS94NY,GJZBE,LIRF,EGBB,37500,48807,41100,49294,60.0,8.116666666666667,41.0,54.0,45.0,54.0
RSJ9660,RA89053,GABS,LMML,61200,76757,63263,78139,34.38333333333333,23.033333333333335,68.0,85.0,70.0,86.0
KLM57A,PHBXH,EHAM,EGLL,50100,53334,51360,54582,21.0,20.8,55.0,59.0,57.0,60.0
UAE96,A6ENN,LIRF,OMDB,72300,91947,72840,91300,9.0,-10.783333333333333,80.0,102.0,80.0,101.0
FIN85,OHLWD,EFHK,ZBAA,-31200,-6209,-30900,-6430,5.0,-3.683333333333333,-35.0,-7.0,-35.0,-8.0
SAS4616,EIFPO,EGPD,ENZV,60600,64063,60780,63638,3.0,-7.083333333333333,67.0,71.0,67.0,70.0
FCB327,5BDCZ,EGLL,LCLK,58800,75754,60540,76425,29.0,11.183333333333334,65.0,84.0,67.0,84.0
HOP507R,,LIMC,LFLL,59400,62138,60360,63189,16.0,17.516666666666666,66.0,69.0,67.0,70.0
CWG25,N125GH,KHOU,LDDU,82800,122527,83400,122527,10.0,0.0,92.0,136.0,92.0,136.0
AFL2316,VPBII,UUEE,EDDB,59700,68968,60300,68648,10.0,-5.333333333333333,66.0,76.0,67.0,76.0
BPA2221,EIFSJ,LATI,LIMC,54300,59894,54840,59894,9.0,0.0,60.0,66.0,60.0,66.0
UPS219,N317UP,LFPG,EDDK,73500,77800,73980,76515,8.0,-21.416666666666668,81.0,86.0,82.0,85.0
DLH92T,DAILE,LEBL,EDDM,26700,33224,27060,32765,6.0,-7.65,29.0,36.0,30.0,36.0
AAL141,N750AN,EGLL,KJFK,-19800,5612,-18780,5478,17.0,-2.2333333333333334,-22.0,6.0,-21.0,6.0
VLG3419,ECLAB,LEMD,LEIB,34200,38139,35520,38171,22.0,0.5333333333333333,38.0,42.0,39.0,42.0
LMJ456,CSRRC,LFPB,DNMM,34200,55458,34740,55810,9.0,5.866666666666666,38.0,61.0,38.0,62.0
EZY35HC,GEZII,EHAM,LHBP,55500,62981,55320,61743,-3.0,-20.633333333333333,61.0,69.0,61.0,68.0
VLG3260,ECMEL,LEBB,GCXO,50700,60959,52260,62049,26.0,18.166666666666668,56.0,67.0,58.0,68.0
BAW631,GEUYD,LGAV,EGLL,18000,30624,21000,32648,50.0,33.733333333333334,20.0,34.0,23.0,36.0
AZA1488,EIIMW,LIPX,LIRF,48300,52066,47820,50692,-8.0,-22.9,53.0,57.0,53.0,56.0
N777GX,,LFBA,LFPN,52200,60434,54720,61539,42.0,18.416666666666668,58.0,67.0,60.0,68.0
TVF30GM,FHTVB,LEZL,LFPO,26400,33565,27540,34483,19.0,15.3,29.0,37.0,30.0,38.0
EZY21MH,OEIVF,EGPF,EGGD,28500,32331,29280,32570,13.0,3.9833333333333334,31.0,35.0,32.0,36.0
WIF05P,LNWDJ,ENBR,ENTO,20100,23864,19982,22629,-1.9666666666666666,-20.583333333333332,22.0,26.0,22.0,25.0
SEGVI,,ESOW,ESOW,56400,60300,55980,59312,-7.0,-16.466666666666665,62.0,67.0,62.0,65.0
PGT25Y,TCNBF,LTFJ,LTAU,63600,67625,65520,68645,32.0,17.0,70.0,75.0,72.0,76.0
KLM1183,PHEZZ,EHAM,ESSL,-16680,-10782,-15780,-10791,15.0,-0.15,-19.0,-12.0,-18.0,-12.0
JFA37B,LXJFU,LFPB,LSGC,59400,63629,59280,62899,-2.0,-12.166666666666666,66.0,70.0,65.0,69.0
OEGRA,OEGRA,LFPB,LSZR,53400,57415,54360,57600,16.0,3.0833333333333335,59.0,63.0,60.0,64.0
ISR442,4XATH,LLET,LLBG,67500,71195,67080,70174,-7.0,-17.016666666666666,75.0,79.0,74.0,77.0
DAL132,N507DN,KDTW,EHAM,-13140,13260,-12120,13275,17.0,0.25,-15.0,14.0,-14.0,14.0
EZY206P,GEZUM,EDDT,LIRF,54600,62355,55260,62262,11.0,-1.55,60.0,69.0,61.0,69.0
LOT152,SPLWA,LLBG,EPWA,10200,24987,11220,24454,17.0,-8.883333333333333,11.0,27.0,12.0,27.0
THY5CV,TCSAJ,LTAC,LTCS,18600,22244,19860,23220,21.0,16.266666666666666,20.0,24.0,22.0,25.0
AAR542,HL7640,EDDF,RKSI,60600,96197,62040,96869,24.0,11.2,67.0,106.0,68.0,107.0
PGT4JK,TCADP,LLBG,LTFJ,45300,52568,45960,52224,11.0,-5.733333333333333,50.0,58.0,51.0,58.0
N288DG,N288DG,KTEB,LIML,1800,28660,3240,29788,24.0,18.8,2.0,31.0,3.0,33.0
AHO665A,DASAP,LFMN,UUWW,27000,39120,28440,39870,24.0,12.5,30.0,43.0,31.0,44.0
AFL2114,RA89106,UUEE,EETN,54300,59750,54900,59820,10.0,1.1666666666666667,60.0,66.0,61.0,66.0
TAP9346,OYRUE,LPPT,EKBI,53100,65426,53640,64773,9.0,-10.883333333333333,59.0,72.0,59.0,71.0
BMR6KJ,GRJXK,ETNL,EDDS,50400,54463,50700,54742,5.0,4.65,56.0,60.0,56.0,60.0
LXDEC,LXDEC,LIML,LFPB,67200,71736,68700,72635,25.0,14.983333333333333,74.0,79.0,76.0,80.0
AAW452,5AONB,HLLB,DTTA,-3600,2303,677,5934,71.28333333333333,60.516666666666666,-4.0,2.0,0.0,6.0
GES252,ECMRL,LEVC,ETSI,51300,58782,51300,57985,0.0,-13.283333333333333,57.0,65.0,57.0,64.0
THY3QL,TCJGY,LYPG,LTBA,65100,70917,65460,70320,6.0,-9.95,72.0,78.0,72.0,78.0
ANE2191,ECLJS,EBBR,LEIB,23700,32528,23760,31331,1.0,-19.95,26.0,36.0,26.0,34.0
ANE64MH,ECMLO,LEMD,LFBO,19500,23810,20580,23972,18.0,2.7,21.0,26.0,22.0,26.0
NAX2NU,LNDYF,ENGM,EIDW,32400,39830,36480,43807,68.0,66.28333333333333,36.0,44.0,40.0,48.0
PGT816,TCCPK,LTFJ,ORER,72900,80539,75060,81799,36.0,21.0,81.0,89.0,83.0,90.0
CNF419S,ECIZO,GCLA,GCXO,35100,36973,35340,36973,4.0,0.0,39.0,41.0,39.0,41.0
BCS6761,DALEQ,LEMD,LPPR,53100,57119,54000,58296,15.0,19.616666666666667,59.0,63.0,60.0,64.0
SPGMD,,EPML,EPLB,59400,70530,59700,63361,5.0,-119.48333333333333,66.0,78.0,66.0,70.0
TAP1037,CSTTG,LEBL,LPPT,57000,63038,58020,63567,17.0,8.816666666666666,63.0,70.0,64.0,70.0
DIKKY,DIKKY,ESMQ,EBAW,42000,49832,41820,49350,-3.0,-8.033333333333333,46.0,55.0,46.0,54.0
BEE39Y,GECOP,EGCC,EGAC,53400,57059,54900,57120,25.0,1.0166666666666666,59.0,63.0,61.0,63.0
MAC112,CNNMM,EBBR,GMMN,63000,74954,64500,74965,25.0,0.18333333333333332,70.0,83.0,71.0,83.0
RYR21TW,EIFZJ,LEPA,EGNX,-17100,-8877,-16200,-8440,15.0,7.283333333333333,-19.0,-10.0,-18.0,-10.0
DNC112,ECKKOME,GCXO,GCLA,55860,57246,55860,57128,0.0,-1.9666666666666666,62.0,63.0,62.0,63.0
AFL2500,VQBKS,UUEE,LEMD,13500,30532,13980,31587,8.0,17.583333333333332,15.0,33.0,15.0,35.0
MLD173,ERAXV,LUKK,UUDD,15000,21078,15060,20469,1.0,-10.15,16.0,23.0,16.0,22.0
IBK1600,EIFYB,EGPH,KSWF,-28200,-2638,-27660,-3211,9.0,-9.55,-32.0,-3.0,-31.0,-4.0
AIC140,VTANL,LLBG,VIDP,72900,91803,74700,92703,30.0,15.0,81.0,102.0,83.0,103.0
CAO1032,B2096,EDDF,ZBAA,66000,96657,66360,97282,6.0,10.416666666666666,73.0,107.0,73.0,108.0
AVA011,N791AV,LEMD,SKBO,55500,89925,56940,90268,24.0,5.716666666666667,61.0,99.0,63.0,100.0
CSDGW,CSDGW,GMTT,LPPR,54000,58917,55020,59823,17.0,15.1,60.0,65.0,61.0,66.0
ADR37Z,9ABTD,LSZH,LJLJ,67500,70748,68160,71639,11.0,14.85,75.0,78.0,75.0,79.0
SVR2801,VPBTZ,ULLI,UGTB,11100,22274,11092,21660,-0.13333333333333333,-10.233333333333333,12.0,24.0,12.0,24.0
CFE8751,GLCYH,EGLC,LFPO,30900,35245,31260,34194,6.0,-17.516666666666666,34.0,39.0,34.0,37.0
EWG9JW,OKMEK,EHAM,EDDM,71100,75542,72197,76442,18.283333333333335,15.0,79.0,83.0,80.0,84.0
KFE037,9HBCP,EBBR,LFPB,61200,63919,61860,64211,11.0,4.866666666666666,68.0,71.0,68.0,71.0
SAS650,ECMLC,EDDH,EKCH,51000,53928,51720,53725,12.0,-3.3833333333333333,56.0,59.0,57.0,59.0
RYR26CP,EIENA,LEBL,LPPR,57300,63921,58380,63747,18.0,-2.9,63.0,71.0,64.0,70.0
EZY568D,GEZAG,LFBO,LFPO,18900,23369,19320,23003,7.0,-6.1,21.0,25.0,21.0,25.0
