callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
THY714E,TCLOG,LTBA,OPLA,62700,82250,63780,82130,18.0,-2.0,69.0,91.0,70.0,91.0
THY6550,TCJDP,OPKC,LTBA,68100,88088,67680,87064,-7.0,-17.066666666666666,75.0,97.0,75.0,96.0
IBS3918,ECJLI,LEMD,LEPA,19500,24419,20580,23881,18.0,-8.966666666666667,21.0,27.0,22.0,26.0
WIF968,LNWII,ENVD,ENBS,54600,55795,54420,55261,-3.0,-8.9,60.0,61.0,60.0,61.0
VLG395X,ECMXG,LEVC,LEPA,75600,78898,76080,78066,8.0,-13.866666666666667,84.0,87.0,84.0,86.0
OAL570,SXDGC,LGTS,LGIR,12900,17029,13320,17216,7.0,3.1166666666666667,14.0,18.0,14.0,19.0
TVF66VW,FGZHB,LICJ,LFPO,65100,72893,65340,73346,4.0,7.55,72.0,80.0,72.0,81.0
TAM8064,PTMUJ,SBGR,LEMD,5100,37532,6300,38496,20.0,16.066666666666666,5.0,41.0,7.0,42.0
DLH772,DAIGT,EDDF,VTBS,72000,111518,73320,111569,22.0,0.85,80.0,123.0,81.0,123.0
LXA24Y,LXDEA,LIRS,LIMC,52800,55636,55200,58607,40.0,49.516666666666666,58.0,61.0,61.0,65.0
AFL2516,VQBEJ,UUEE,LEBL,-48900,-32922,-48000,-32439,15.0,8.05,-55.0,-37.0,-54.0,-37.0
EIN66M,EICVC,EIDW,LOWW,18000,27569,18067,26557,1.1166666666666667,-16.866666666666667,20.0,30.0,20.0,29.0
THY5JB,TCJPC,LTBA,LBSF,17100,21514,18900,21984,30.0,7.833333333333333,19.0,23.0,21.0,24.0
EZY51TZ,GEZBI,LEMD,EGGP,51600,60157,53460,60527,31.0,6.166666666666667,57.0,66.0,59.0,67.0
EZS51CL,HBJYE,EHAM,LFSB,55800,60302,58015,61791,36.916666666666664,24.816666666666666,62.0,67.0,64.0,68.0
OKDSI,,LKHK,LKHK,22500,33900,22500,35077,0.0,19.616666666666667,25.0,37.0,25.0,38.0
