callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
BKK1A,GFBLK,LFMN,EDVE,39600,46810,40579,47024,16.316666666666666,3.566666666666667,44.0,52.0,45.0,52.0
EZY24GH,GEZIT,LIRF,EGKK,31800,40096,33240,40651,24.0,9.25,35.0,44.0,36.0,45.0
OOTMI,,EBAW,LFAT,33300,40870,33900,39178,10.0,-28.2,37.0,45.0,37.0,43.0
SWR23C,HBJHI,KJFK,LSGG,84300,112444,85080,111124,13.0,-22.0,93.0,124.0,94.0,123.0
AFL320,VPBDE,UUEE,VRMM,73500,104032,74460,104392,16.0,6.0,81.0,115.0,82.0,115.0
ETI927K,SELLU,ESSV,ESSB,47700,49981,48000,49828,5.0,-2.55,53.0,55.0,53.0,55.0
WRC7663,URWRI,UKBB,HEGN,34800,47675,36060,48610,21.0,15.583333333333334,38.0,52.0,40.0,54.0
TCX9GT,GTCDL,EGGD,GCTS,23400,39339,24060,39372,11.0,0.55,26.0,43.0,26.0,43.0
SAS613,ECMLC,EKCH,LSGG,22800,30209,24060,30515,21.0,5.1,25.0,33.0,26.0,33.0
EZY14HN,GEZWY,LEBL,EDDB,30600,39878,32160,40044,26.0,2.7666666666666666,34.0,44.0,35.0,44.0
DLH8JV,DACNV,EPBY,EDDF,46200,51274,46560,51577,6.0,5.05,51.0,56.0,51.0,57.0
VLG37LW,ECJSY,LIMC,EHAM,64800,70027,65640,70312,14.0,4.75,72.0,77.0,72.0,78.0
THY9LV,TCJHA,LTBA,LTCS,38100,44552,39780,45138,28.0,9.766666666666667,42.0,49.0,44.0,50.0
BAW269,GXLEI,EGLL,KLAX,54600,93324,57540,95232,49.0,31.8,60.0,103.0,63.0,105.0
AFR65JB,FGKXH,LFPG,ENGM,42000,49004,44220,50420,37.0,23.6,46.0,54.0,49.0,56.0
MAC382,CNNMI,LEPA,GMMW,3900,8400,4020,8328,2.0,-1.2,4.0,9.0,4.0,9.0
TAP921D,CSTPW,LSZH,LPPR,57600,66339,58620,67075,17.0,12.266666666666667,64.0,73.0,65.0,74.0
EZY37UA,GEZTT,EGCC,EDDB,66900,72491,67860,73037,16.0,9.1,74.0,80.0,75.0,81.0
IBE6841,ECLFS,LEMD,SAEZ,78300,123696,80220,124286,32.0,9.833333333333334,87.0,137.0,89.0,138.0
TRA614V,PHHZG,EHAM,LEAL,36600,45683,37980,46576,23.0,14.883333333333333,40.0,50.0,42.0,51.0
NAX9PD,LNNIJ,ESSA,ENBR,62100,66847,63240,67311,19.0,7.733333333333333,69.0,74.0,70.0,74.0
RYR62TB,EIGDR,LIPE,LIBD,64800,68833,65640,69136,14.0,5.05,72.0,76.0,72.0,76.0
BAW2278,GYMMS,KOAK,EGKK,-6300,29388,-1320,33496,83.0,68.46666666666667,-7.0,32.0,-2.0,37.0
VJT453,9HVCB,LFMN,EGLF,15000,21375,15360,21900,6.0,8.75,16.0,23.0,17.0,24.0
BMR76MH,GRJXM,EDDL,EGGD,66300,72198,68280,72715,33.0,8.616666666666667,73.0,80.0,75.0,80.0
ICE342,TFISR,BIKF,EFHK,27000,38337,27240,38192,4.0,-2.4166666666666665,30.0,42.0,30.0,42.0
WZZ146,HALXB,LEMD,LROP,-14100,-1223,-12480,-1071,27.0,2.533333333333333,-16.0,-2.0,-14.0,-2.0
RA64010,RA64010,EGSS,UUWW,51600,62723,52260,62650,11.0,-1.2166666666666666,57.0,69.0,58.0,69.0
IBE2100,ECLUL,LEMD,LEBL,68400,72608,71400,74386,50.0,29.633333333333333,76.0,80.0,79.0,82.0
AEE950,SXDNA,LGAV,OEJN,-13200,-2448,-13080,-3028,2.0,-9.666666666666666,-15.0,-3.0,-15.0,-4.0
WIF583,LNWFS,ENBR,ENCN,20100,24724,20880,23536,13.0,-19.8,22.0,27.0,23.0,26.0
EZY63RX,GEZOM,EHAM,LOWW,41400,47042,41400,46139,0.0,-15.05,46.0,52.0,46.0,51.0
TRA1041,PHHSJ,LGKP,EHAM,34500,48184,35280,48574,13.0,6.5,38.0,53.0,39.0,53.0
ITOPX,ITOPX,LIPY,LSGG,28800,32902,29040,33103,4.0,3.35,32.0,36.0,32.0,36.0
NAX631,LNDYC,ENBR,ENGM,51600,54870,52627,54886,17.116666666666667,0.26666666666666666,57.0,60.0,58.0,60.0
KLM1285,YRFKA,EHAM,EGPH,45600,50664,46848,50826,20.8,2.7,50.0,56.0,52.0,56.0
ICABD,ICABD,LIRA,LIPQ,63600,67737,63900,67198,5.0,-8.983333333333333,70.0,75.0,71.0,74.0
TRA5237,PHHSI,EHAM,LKPR,73680,78554,75000,78316,22.0,-3.966666666666667,81.0,87.0,83.0,87.0
AUA779M,OELDB,LOWW,LWSK,29400,34644,30887,34729,24.783333333333335,1.4166666666666667,32.0,38.0,34.0,38.0
MARIE,MARIE,EGGP,EGBB,57600,59044,58440,59702,14.0,10.966666666666667,64.0,65.0,64.0,66.0
ELB902,SXEMJ,LGTS,UUEE,-6000,3897,-5118,4980,14.7,18.05,-7.0,4.0,-6.0,5.0
KLM1118,PHBXS,ESSA,EHAM,66000,72438,65880,72211,-2.0,-3.783333333333333,73.0,80.0,73.0,80.0
THT8,FOLOV,KLAX,LFPG,-13200,24969,-11100,26721,35.0,29.2,-15.0,27.0,-13.0,29.0
BEE9YT,GECOB,EGPH,EGHI,64800,70036,65700,71170,15.0,18.9,72.0,77.0,73.0,79.0
QTR270,A7AHI,LCLK,OTHH,-22200,-8203,-21960,-8814,4.0,-10.183333333333334,-25.0,-10.0,-25.0,-10.0
AZA1574,EIDSV,LIML,LIEE,-13500,-8924,-12660,-8965,14.0,-0.6833333333333333,-15.0,-10.0,-15.0,-10.0
SCW270L,SEMKK,ESSB,ESNU,56700,61301,57840,62422,19.0,18.683333333333334,63.0,68.0,64.0,69.0
WIF562,LNWFP,ENBR,ENKB,19500,23843,19888,22970,6.466666666666667,-14.55,21.0,26.0,22.0,25.0
NAX760,LNNGS,ENGM,ENVA,51600,55013,52980,55137,23.0,2.066666666666667,57.0,61.0,58.0,61.0
RYR23NV,EIESL,EGCC,EGAA,56400,59659,57480,59712,18.0,0.8833333333333333,62.0,66.0,63.0,66.0
EXS23Y,GGDFY,LEBL,EGNM,39600,48439,42000,49200,40.0,12.683333333333334,44.0,53.0,46.0,54.0
DLH61W,DAINI,EDDF,LEBB,-17100,-9845,-13800,-7204,55.0,44.016666666666666,-19.0,-11.0,-16.0,-9.0
SHT7U,GEUUH,EGPF,EGLL,72900,76661,73080,76251,3.0,-6.833333333333333,81.0,85.0,81.0,84.0
KLM30Y,PHEXU,EDDL,EHAM,45900,49080,46920,48895,17.0,-3.0833333333333335,51.0,54.0,52.0,54.0
FXP502P,YRFVL,LIRF,LIBD,63000,67564,64320,67929,22.0,6.083333333333333,70.0,75.0,71.0,75.0
TAP552,CSTTB,LPPT,EDDM,-20400,-9762,-19140,-9665,21.0,1.6166666666666667,-23.0,-11.0,-22.0,-11.0
THY9LA,TCJPH,LTFG,LTBA,600,4721,120,3360,-8.0,-22.683333333333334,0.0,5.0,0.0,3.0
DLH7PL,DACNH,EDDF,EDDG,69600,72167,70620,72599,17.0,7.2,77.0,80.0,78.0,80.0
DAH3019,,LTBA,DAAG,3600,16659,5160,16573,26.0,-1.4333333333333333,4.0,18.0,5.0,18.0
TVP7108,SPTVZ,EPWA,HEGN,-15600,-732,-13860,201,29.0,15.55,-18.0,-1.0,-16.0,0.0
UPS1,N577UP,VHHH,EDDK,-52200,-7928,-51000,-7009,20.0,15.316666666666666,-58.0,-9.0,-57.0,-8.0
LOT98,SPLRB,RKSI,EPWA,6900,43155,8820,44879,32.0,28.733333333333334,7.0,47.0,9.0,49.0
AZA1743,EIIMN,LIML,LICC,69900,75734,70560,75898,11.0,2.7333333333333334,77.0,84.0,78.0,84.0
OAL358,SXDGF,LGAV,LGSR,51300,53587,52020,53626,12.0,0.65,57.0,59.0,57.0,59.0
FIN3A,OHATI,EFKI,EFJY,39000,41654,39060,41427,1.0,-3.783333333333333,43.0,46.0,43.0,46.0
FIN5RG,OHATM,EFHK,EETN,39000,40539,39180,40527,3.0,-0.2,43.0,45.0,43.0,45.0
THY17L,TCJFO,LTFH,LTFJ,66000,70267,66540,70140,9.0,-2.1166666666666667,73.0,78.0,73.0,77.0
AFR406,FGZNI,LFPG,SCEL,78000,129600,79440,129568,24.0,-0.5333333333333333,86.0,144.0,88.0,143.0
EZY1357,GEZOY,LSGG,EHAM,68100,73353,68760,72864,11.0,-8.15,75.0,81.0,76.0,80.0
AFL107,VQBQB,KLAX,UUEE,-3300,38533,-1920,38733,23.0,3.3333333333333335,-4.0,42.0,-3.0,43.0
AEE711,SXDGQ,LEBL,LGAV,35400,45562,36780,45880,23.0,5.3,39.0,50.0,40.0,50.0
