callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
NJE807M,CSDXI,LFMN,LFPB,51000,55609,51840,56103,14.0,8.233333333333333,56.0,61.0,57.0,62.0
PRW9639,YLPSF,EETN,ESSA,37800,40721,38940,41786,19.0,17.75,42.0,45.0,43.0,46.0
RYR26NY,EIGDV,EPSY,EGSS,-15900,-7752,-15120,-7331,13.0,7.016666666666667,-18.0,-9.0,-17.0,-9.0
PWF30,DCAWA,ETSI,EDVE,18900,22606,19260,22258,6.0,-5.8,21.0,25.0,21.0,24.0
BAW133,GZBKL,EGLL,OEJN,-12300,8770,-11220,8246,18.0,-8.733333333333333,-14.0,9.0,-13.0,9.0
TWI562,TCTLB,OIIE,LTAI,-18600,-7267,-19200,-8820,-10.0,-25.883333333333333,-21.0,-9.0,-22.0,-10.0
SHT8H,GEUXJ,EGLL,EGPH,58800,62983,60180,63518,23.0,8.916666666666666,65.0,69.0,66.0,70.0
OAL241S,SXOBF,LGSM,LGAV,15900,18859,16260,18554,6.0,-5.083333333333333,17.0,20.0,18.0,20.0
PVG695P,ECLZO,LEMD,LPPT,38400,42431,39720,43081,22.0,10.833333333333334,42.0,47.0,44.0,47.0
SVA115,HZAK19,OEJN,EGLL,36600,58106,38326,59659,28.766666666666666,25.883333333333333,40.0,64.0,42.0,66.0
MAC438,CNNMJ,LTFJ,GMMN,-10200,8088,-9780,7497,7.0,-9.85,-12.0,8.0,-11.0,8.0
SEH052,SXFOR,LGAV,LGNX,17100,19629,17550,19206,7.5,-7.05,19.0,21.0,19.0,21.0
LOG9PY,,EGPB,EGPH,30300,35279,30180,34610,-2.0,-11.15,33.0,39.0,33.0,38.0
CNF703L,ECJEV,GCLP,GCRR,23100,25554,23280,25239,3.0,-5.25,25.0,28.0,25.0,28.0
BAW22C,GZBJG,KBWI,EGLL,5100,29265,6360,29680,21.0,6.916666666666667,5.0,32.0,7.0,32.0
LGL8362,LXLQA,LSGG,ELLX,22500,26254,22980,25768,8.0,-8.1,25.0,29.0,25.0,28.0
AZA1723,EIRDN,LIML,LICC,48600,54693,50100,55611,25.0,15.3,54.0,60.0,55.0,61.0
