callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
DLH7N,DAILT,EDDM,EDDT,16200,19534,17760,20594,26.0,17.666666666666668,18.0,21.0,19.0,22.0
AAL734,N280AY,KPHL,EGCC,3600,26536,5100,26494,25.0,-0.7,4.0,29.0,5.0,29.0
MLD832,ERAXM,EIDW,LUKK,-1200,12047,-2223,9480,-17.05,-42.78333333333333,-2.0,13.0,-3.0,10.0
VLG61YM,ECMLM,LIRF,LEBL,-17700,-4534,-8880,-3832,147.0,11.7,-20.0,-6.0,-10.0,-5.0
RYR33WH,EIFTG,LIME,EDDF,-12900,-8868,-12600,-9888,5.0,-17.0,-15.0,-10.0,-14.0,-11.0
KLM1697,PHHSD,EHAM,LPPT,68100,77685,69600,78530,25.0,14.083333333333334,75.0,86.0,77.0,87.0
TAR463,TSIOL,LFLL,DTMB,-21600,-12089,-16560,-10484,84.0,26.75,-24.0,-14.0,-19.0,-12.0
EZY78NG,GEZEG,LEMD,EGKK,39000,46133,40800,47593,30.0,24.333333333333332,43.0,51.0,45.0,52.0
WZZ586,HALWY,LRCL,EBCI,54600,62600,56580,63861,33.0,21.016666666666666,60.0,69.0,62.0,70.0
AAR541,HL7635,RKSI,EDDF,10800,50864,12300,52826,25.0,32.7,12.0,56.0,13.0,58.0
THY95N,TCJFI,LTAI,LTAC,24600,28178,26340,28680,29.0,8.366666666666667,27.0,31.0,29.0,31.0
WIF34A,LNWIL,ENSH,ENAN,48600,50723,49260,50855,11.0,2.2,54.0,56.0,54.0,56.0
UAE2QF,A6EOJ,OMDB,EDDL,37200,59877,38700,61134,25.0,20.95,41.0,66.0,43.0,67.0
BEE2CW,GFBEG,EGFF,EGPH,61200,64617,61800,65485,10.0,14.466666666666667,68.0,71.0,68.0,72.0
CFE3AC,GLCYT,EGLC,EDDT,45600,50821,46020,50636,7.0,-3.0833333333333335,50.0,56.0,51.0,56.0
KLM30G,PHEXD,LIMF,EHAM,35700,40988,36840,41755,19.0,12.783333333333333,39.0,45.0,40.0,46.0
OAL353,SXDVK,LGSR,LGAV,20400,22258,20220,21823,-3.0,-7.25,22.0,24.0,22.0,24.0
BAW879,GEUUU,ULLI,EGLL,45300,56636,45406,57528,1.7666666666666666,14.866666666666667,50.0,62.0,50.0,63.0
EZY83LG,GEZOM,LFML,EGGW,52800,58737,53160,59355,6.0,10.3,58.0,65.0,59.0,65.0
ADR569,S5AAY,LKPR,LJLJ,28800,32522,29640,32611,14.0,1.4833333333333334,32.0,36.0,32.0,36.0
IBK5670,EIFHN,LEBL,LLBG,21000,36069,22500,35460,25.0,-10.15,23.0,40.0,25.0,39.0
WZZ112,HALXK,EPGD,ENTO,14400,19126,14520,18277,2.0,-14.15,16.0,21.0,16.0,20.0
EWG7PY,DAIZT,EGLL,EDDL,59700,64158,61320,64699,27.0,9.016666666666667,66.0,71.0,68.0,71.0
IBS3715,ECLUS,EGKK,LEMD,36600,44217,39420,46235,47.0,33.63333333333333,40.0,49.0,43.0,51.0
SWR135G,HBJVE,LSZH,LIMC,39600,42496,40740,42673,19.0,2.95,44.0,47.0,45.0,47.0
KKK1682,TCABL,LTBA,UATE,-15000,-3819,-14520,-4620,8.0,-13.35,-17.0,-5.0,-17.0,-6.0
TVF21GR,FGZHP,LPPT,LFPO,65100,73895,66180,73768,18.0,-2.1166666666666667,72.0,82.0,73.0,81.0
AEA194,ECMMY,SKBO,LEMD,4500,37611,5602,38514,18.366666666666667,15.05,5.0,41.0,6.0,42.0
RYR91QF,EIGDS,EBBR,EDDB,-15000,-10203,-12540,-8794,41.0,23.483333333333334,-17.0,-12.0,-14.0,-10.0
WZZ961,HALPQ,LIRA,LROP,-17100,-10377,-16080,-10558,17.0,-3.0166666666666666,-19.0,-12.0,-18.0,-12.0
LLC686W,LYSPF,EYVI,GCTS,16200,38498,18026,38977,30.433333333333334,7.983333333333333,18.0,42.0,20.0,43.0
AFR47KB,FGKXT,LEBL,LFPG,62700,68890,63120,68771,7.0,-1.9833333333333334,69.0,76.0,70.0,76.0
EZY14PV,GEZRH,EGPF,EGAA,69000,71091,69900,71699,15.0,10.133333333333333,76.0,78.0,77.0,79.0
THY686,TCJZF,LTBA,HDAM,74400,91966,75120,91356,12.0,-10.166666666666666,82.0,102.0,83.0,101.0
EWG460,DAKNV,EDDK,EGLL,23100,27150,25380,29241,38.0,34.85,25.0,30.0,28.0,32.0
AZA4CW,IBIKA,LIRN,LIRF,33900,38506,35280,37713,23.0,-13.216666666666667,37.0,42.0,39.0,41.0
EWG2TL,DABAF,EDDT,EDDK,34800,37674,35139,37791,5.65,1.95,38.0,41.0,39.0,41.0
RYR443,EIFOF,EGCC,EIDW,41700,45234,42540,45364,14.0,2.1666666666666665,46.0,50.0,47.0,50.0
RYR92MN,EIDHV,LIPQ,EGSS,74700,81413,76620,83060,32.0,27.45,83.0,90.0,85.0,92.0
RYR44JW,EIFOT,EPKT,EGSS,48000,55539,48720,55716,12.0,2.95,53.0,61.0,54.0,61.0
EZY35EJ,GEZAA,EDDH,EGPH,60000,65889,61200,66462,20.0,9.55,66.0,73.0,68.0,73.0
THY3KA,TCJIZ,LTBA,OIIE,23100,33528,24600,33828,25.0,5.0,25.0,37.0,27.0,37.0
OAL71H,SXDVY,LGIR,LGAV,55500,57758,56060,58063,9.333333333333334,5.083333333333333,61.0,64.0,62.0,64.0
RJA107,JYAYP,OJAI,LEBL,32400,49344,33021,49602,10.35,4.3,36.0,54.0,36.0,55.0
EZY45BU,GEZRJ,EGKK,LGKR,17700,28631,18660,28491,16.0,-2.3333333333333335,19.0,31.0,20.0,31.0
PIA785,APBHW,OPRN,EGLL,29400,57745,31200,60269,30.0,42.06666666666667,32.0,64.0,34.0,66.0
EZS51CL,HBJXJ,EHAM,LFSB,54600,59216,54660,57829,1.0,-23.116666666666667,60.0,65.0,60.0,64.0
EZY53TP,GEZOB,LFMN,LSZH,55800,60145,56880,59905,18.0,-4.0,62.0,66.0,63.0,66.0
AFR92ZD,FGRHR,EDDM,LFPG,27000,32122,27300,31623,5.0,-8.316666666666666,30.0,35.0,30.0,35.0
RYR511W,EIGDC,LEVC,EGSS,33300,41090,35820,43207,42.0,35.28333333333333,37.0,45.0,39.0,48.0
PGT6071,TCCPM,OEJN,LTCS,7200,19661,8431,20100,20.516666666666666,7.316666666666666,8.0,21.0,9.0,22.0
SVR2911,,USSS,UGTB,30000,41286,30900,41580,15.0,4.9,33.0,45.0,34.0,46.0
MEA266,ODMEB,LTBA,OLBA,30000,36336,30060,35307,1.0,-17.15,33.0,40.0,33.0,39.0
EZY42XG,GEZIH,LIMC,LIEO,49800,54183,50160,53679,6.0,-8.4,55.0,60.0,55.0,59.0
DLH506,DABYF,EDDF,SBGR,72300,113660,74760,114974,41.0,21.9,80.0,126.0,83.0,127.0
DAL118,N182DN,KBOS,LFPG,-3540,20037,-2640,19519,15.0,-8.633333333333333,-4.0,22.0,-3.0,21.0
SAS263,LNRRW,ENGM,ENBR,40800,43468,41520,43850,12.0,6.366666666666666,45.0,48.0,46.0,48.0
RYR913K,EIDPO,LIPH,LIEE,71640,76651,72180,76752,9.0,1.6833333333333333,79.0,85.0,80.0,85.0
AFR1611,FGUGB,EDDH,LFPG,14700,19492,15600,19903,15.0,6.85,16.0,21.0,17.0,22.0
WIF78E,LNWIP,ENEV,ENAN,74400,76214,73980,75153,-7.0,-17.683333333333334,82.0,84.0,82.0,83.0
PEV101,OELMK,LOWW,LSZR,23100,26770,23400,26424,5.0,-5.766666666666667,25.0,29.0,26.0,29.0
