callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
AFR137,FGZCG,KORD,LFPG,83400,112527,86400,114027,50.0,25.0,92.0,125.0,96.0,126.0
THY709K,TCJNB,OPKC,LTBA,4200,25519,4080,25020,-2.0,-8.316666666666666,4.0,28.0,4.0,27.0
SWR1487,HBIPX,LKPR,LSZH,49500,53629,50400,54074,15.0,7.416666666666667,55.0,59.0,56.0,60.0
ESW650,VPBBF,UBBB,EGGW,14400,33066,14040,32492,-6.0,-9.566666666666666,16.0,36.0,15.0,36.0
KLM1341,PHEXL,EHAM,EKBI,27900,31804,28800,31915,15.0,1.85,31.0,35.0,32.0,35.0
AOJ48L,OEFKO,LOWW,LKKV,27900,31149,28200,30644,5.0,-8.416666666666666,31.0,34.0,31.0,34.0
CSA3MZ,OKKFP,EDDL,LKPR,30600,35786,31440,36699,14.0,15.216666666666667,34.0,39.0,34.0,40.0
THY2VX,TCJIL,UGTB,LTBA,6000,14117,7380,15540,23.0,23.716666666666665,6.0,15.0,8.0,17.0
AFR1640,FGRXJ,LFPG,EHAM,39000,43385,40980,43551,33.0,2.7666666666666666,43.0,48.0,45.0,48.0
TAP077,CSTOM,LPPR,SBGL,36300,72069,37140,72056,14.0,-0.21666666666666667,40.0,80.0,41.0,80.0
FIN42,OHLWE,RKSI,EFHK,7500,39710,11400,43650,65.0,65.66666666666667,8.0,44.0,12.0,48.0
RYR6KD,EIFTK,EDDN,EYVI,24600,30855,25140,30918,9.0,1.05,27.0,34.0,27.0,34.0
RYR84NX,EIEFX,GCTS,EGNT,28500,45874,28920,45660,7.0,-3.566666666666667,31.0,50.0,32.0,50.0
EZY24DE,GEZUN,EGGP,LCLK,45900,62416,46500,62852,10.0,7.266666666666667,51.0,69.0,51.0,69.0
AFR1321,FHEPD,LLBG,LFPG,21060,38561,22140,39035,18.0,7.9,23.0,42.0,24.0,43.0
EZY5832,GEZUM,LLBG,EDDT,54900,70225,56040,70316,19.0,1.5166666666666666,61.0,78.0,62.0,78.0
EZY21EF,GEZAJ,LPFR,EGMC,50100,60945,49980,59534,-2.0,-23.516666666666666,55.0,67.0,55.0,66.0
RYR6BH,EIDAR,LIPH,EGSS,-8700,-1946,-7800,-1263,15.0,11.383333333333333,-10.0,-3.0,-9.0,-2.0
BAW116,GCIVF,KJFK,EGLL,4200,28746,5160,27861,16.0,-14.75,4.0,31.0,5.0,30.0
ELY1364,4XEKF,LOWW,LLBG,4500,16394,6315,17400,30.25,16.766666666666666,5.0,18.0,7.0,19.0
NPT11M,GJMCU,EGPH,EGSS,84900,89365,85200,88433,5.0,-15.533333333333333,94.0,99.0,94.0,98.0
RYR442,EIDPN,EIDW,EGGP,25500,28110,25800,28123,5.0,0.21666666666666667,28.0,31.0,28.0,31.0
THY3DW,TCJIS,LTBA,UUWW,23100,32639,26760,34582,61.0,32.38333333333333,25.0,36.0,29.0,38.0
RYR68CC,EIFOF,EIDW,LEZL,25800,35081,27660,36018,31.0,15.616666666666667,28.0,38.0,30.0,40.0
KAL957,HL7715,RKSI,LLBG,21600,63235,23520,65460,32.0,37.083333333333336,24.0,70.0,26.0,72.0
UPS208,N320UP,EDDK,KEWR,5580,34521,6720,34522,19.0,0.016666666666666666,6.0,38.0,7.0,38.0
BAW579V,GEUUG,LIPZ,EGLL,43020,50681,44160,51844,19.0,19.383333333333333,47.0,56.0,49.0,57.0
AFL2551,VPBJX,EHAM,UUEE,43200,54697,44220,54660,17.0,-0.6166666666666667,48.0,60.0,49.0,60.0
JAF2934,OOJAS,HESH,EBBR,45900,64877,46980,65404,18.0,8.783333333333333,51.0,72.0,52.0,72.0
RYR1163,EIDPF,EGAA,EGSS,39600,43692,39780,43229,3.0,-7.716666666666667,44.0,48.0,44.0,48.0
THY4155,TCJFO,OIIE,LTBJ,9000,22077,8970,21960,-0.5,-1.95,10.0,24.0,9.0,24.0
DAH1118,7TVKQ,DABC,LFPG,47400,55431,48480,56183,18.0,12.533333333333333,52.0,61.0,53.0,62.0
PPVDR,PPVDR,SBGL,EGGW,84600,123901,85200,123901,10.0,0.0,94.0,137.0,94.0,137.0
WIF11N,LNWFU,ENST,ENVA,47100,50759,48480,51042,23.0,4.716666666666667,52.0,56.0,53.0,56.0
WIF811,LNWIR,ENLK,ENBO,49800,51815,50100,51815,5.0,0.0,55.0,57.0,55.0,57.0
EZY4275,OEIVD,LFPO,LPFR,38100,46543,38640,46169,9.0,-6.233333333333333,42.0,51.0,42.0,51.0
WZZ1559,HALXN,EPWA,LLBG,55200,67982,57300,69240,35.0,20.966666666666665,61.0,75.0,63.0,76.0
UAL107,N782UA,EDDM,KIAD,40200,70688,41520,71979,22.0,21.516666666666666,44.0,78.0,46.0,79.0
VOE15CR,EIFCB,LIRN,LICJ,68100,70964,69060,71283,16.0,5.316666666666666,75.0,78.0,76.0,79.0
RAM777U,CNRGV,LFPO,GMMN,27000,37166,27660,36464,11.0,-11.7,30.0,41.0,30.0,40.0
BAW279,GZBKC,EGLL,KSJC,-33300,3050,-31680,3761,27.0,11.85,-37.0,3.0,-36.0,4.0
EZY95ZQ,OEIJP,LSZH,EGGW,54900,60984,55620,60578,12.0,-6.766666666666667,61.0,67.0,61.0,67.0
VIR20V,GVDIA,KSFO,EGLL,6300,41467,7140,42924,14.0,24.283333333333335,7.0,46.0,7.0,47.0
