callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
AFR92NQ,FGRHX,LFMT,LFPO,44100,48435,44220,47532,2.0,-15.05,49.0,53.0,49.0,52.0
DLH978,DAIRU,EDDF,EIDW,33900,40900,35880,41667,33.0,12.783333333333333,37.0,45.0,39.0,46.0
DCKUM,DCKUM,EDSN,EDDM,39000,41999,39540,41460,9.0,-8.983333333333333,43.0,46.0,43.0,46.0
SDR3012,DASEE,EDVK,GCTS,30000,48582,30540,48628,9.0,0.7666666666666667,33.0,53.0,33.0,54.0
XLR452,A9CTXL,LMML,OBBI,38700,54574,38280,53400,-7.0,-19.566666666666666,43.0,60.0,42.0,59.0
KKK1CF,TCATD,LTBA,EGSS,30300,44080,31440,44163,19.0,1.3833333333333333,33.0,48.0,34.0,49.0
FHLRX,FHLRX,LFLC,EPSY,42600,50693,42960,50280,6.0,-6.883333333333334,47.0,56.0,47.0,55.0
CRL924,FHSEA,LFPO,TFFF,43200,73948,44400,73515,20.0,-7.216666666666667,48.0,82.0,49.0,81.0
HOP300G,,EDDL,LFRS,41100,46064,41700,46131,10.0,1.1166666666666667,45.0,51.0,46.0,51.0
RAM830F,CNRNM,GMME,EBBR,50100,60046,50100,60469,0.0,7.05,55.0,66.0,55.0,67.0
ASL72G,YUAPJ,EDDS,LYBE,30000,35352,31620,36425,27.0,17.883333333333333,33.0,39.0,35.0,40.0
DLH9LX,DAIDF,EIDW,EDDM,40800,48629,42480,49703,28.0,17.9,45.0,54.0,47.0,55.0
RAM729,CNRGP,LFML,GMMN,37200,46700,37260,46294,1.0,-6.766666666666667,41.0,51.0,41.0,51.0
EZY12BV,GEZBC,LFPG,EGAA,-15300,-9527,-13620,-8940,28.0,9.783333333333333,-17.0,-11.0,-16.0,-10.0
TAP1691,CSTNI,LPPT,LPMA,69600,75123,71100,75869,25.0,12.433333333333334,77.0,83.0,79.0,84.0
AFL2344,RA89063,UUEE,EDDC,34500,43769,35280,44526,13.0,12.616666666666667,38.0,48.0,39.0,49.0
TCX2653,GMDBD,MUHG,EGCC,-2700,25319,-75,26888,43.75,26.15,-3.0,28.0,-1.0,29.0
RYR58WT,EIEBG,LZIB,EGPH,-10800,-2224,-9120,-935,28.0,21.483333333333334,-12.0,-3.0,-11.0,-2.0
IBK3092,EIFVT,EKCH,EKYT,60300,62808,60780,62641,8.0,-2.783333333333333,67.0,69.0,67.0,69.0
THY9AS,TCJFJ,LTAC,LTCG,60300,63981,61980,65361,28.0,23.0,67.0,71.0,68.0,72.0
SVA2639,TCOCL,DAAG,OEMA,83400,98858,83570,98512,2.8333333333333335,-5.766666666666667,92.0,109.0,92.0,109.0
SXS2VN,TCSOB,LTCC,LTBJ,22800,30009,23640,29760,14.0,-4.15,25.0,33.0,26.0,33.0
TVF74PX,FGZHK,LLBG,LFPO,42900,61402,43642,61634,12.366666666666667,3.8666666666666667,47.0,68.0,48.0,68.0
BEL285,OOSFN,EBBR,DIAP,36600,62084,37260,61380,11.0,-11.733333333333333,40.0,68.0,41.0,68.0
LOG83LP,,EGPB,EGPD,50100,53389,49680,52519,-7.0,-14.5,55.0,59.0,55.0,58.0
