callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
MPLUS,MPLUS,EPWA,LZTT,41400,45294,42900,45153,25.0,-2.35,46.0,50.0,47.0,50.0
RYR855N,EIDWL,LPFR,EGPK,35700,46744,36240,46753,9.0,0.15,39.0,51.0,40.0,51.0
THY5KY,TCSBJ,LTAT,LTAC,10800,14036,11040,13980,4.0,-0.9333333333333333,12.0,15.0,12.0,15.0
RYR553,EIEKZ,EGCC,EIDW,26400,30196,27360,29433,16.0,-12.716666666666667,29.0,33.0,30.0,32.0
NAX7YZ,LNDYV,ENAT,ENGM,64800,71948,64860,71279,1.0,-11.15,72.0,79.0,72.0,79.0
PGT5LR,TCCPS,LTFJ,LTAF,17700,22336,18900,22320,20.0,-0.26666666666666666,19.0,24.0,21.0,24.0
EZY93MG,GEZOX,EGKK,EDDM,19200,25020,19620,24224,7.0,-13.266666666666667,21.0,27.0,21.0,26.0
RYR18SZ,EIGDC,EGPH,EGSS,21600,26089,21900,26792,5.0,11.716666666666667,24.0,28.0,24.0,29.0
VLG51XP,ECMAO,EDDM,LEBL,51000,58222,51180,58129,3.0,-1.55,56.0,64.0,56.0,64.0
RYR1G,EIFRB,EGSS,EPWR,30600,37693,32580,38496,33.0,13.383333333333333,34.0,41.0,36.0,42.0
QTR77HH,A7AHY,OTHH,LIRP,18000,40592,20160,42411,36.0,30.316666666666666,20.0,45.0,22.0,47.0
BAW57VG,GGATP,EGKK,LIPZ,20700,28034,22200,28296,25.0,4.366666666666666,23.0,31.0,24.0,31.0
CMB164,N741CK,KNGU,EDDS,21600,49828,24673,51704,51.21666666666667,31.266666666666666,24.0,55.0,27.0,57.0
BAW490U,GEUYX,EGLL,LXGB,41100,50774,42660,51786,26.0,16.866666666666667,45.0,56.0,47.0,57.0
BAW309,GEUPE,LFPG,EGLL,36300,39780,37020,40455,12.0,11.25,40.0,44.0,41.0,44.0
RYR63EL,EIDPX,GCLP,EDDF,36900,53011,37500,52610,10.0,-6.683333333333334,41.0,58.0,41.0,58.0
TAP1272,CSTOK,LPPT,LOWW,25500,36792,26580,36678,18.0,-1.9,28.0,40.0,29.0,40.0
WZZ1RV,HALXT,ESKN,LHBP,49800,57320,50760,57312,16.0,-0.13333333333333333,55.0,63.0,56.0,63.0
GBNUO,,LFRC,EGHH,52200,54873,52200,55584,0.0,11.85,58.0,60.0,58.0,61.0
BHL213,,ENZV,ENWS,46800,51951,46680,51332,-2.0,-10.316666666666666,52.0,57.0,51.0,57.0
PGT30H,TCNBK,LTCK,LTFJ,20100,26238,20760,26562,11.0,5.4,22.0,29.0,23.0,29.0
AUI613,UREMC,UKBB,UDYZ,28200,38420,28680,38220,8.0,-3.3333333333333335,31.0,42.0,31.0,42.0
DLH422,DABYT,EDDF,KBOS,39900,67276,41760,68371,31.0,18.25,44.0,74.0,46.0,75.0
KLM1765,PHEXJ,EHAM,EDDF,28200,31975,29132,31732,15.533333333333333,-4.05,31.0,35.0,32.0,35.0
EZY864U,GEZUH,LFBD,LFLL,57300,61549,58080,60983,13.0,-9.433333333333334,63.0,68.0,64.0,67.0
BCS6824,DALEG,EDDP,LEMD,31500,41948,32340,42433,14.0,8.083333333333334,35.0,46.0,35.0,47.0
WZZ371,GWUKA,EGGW,LRCK,56700,68183,57420,67920,12.0,-4.383333333333334,63.0,75.0,63.0,75.0
BEE7DN,GPRPL,EGLL,EGPD,31500,37551,33180,38031,28.0,8.0,35.0,41.0,36.0,42.0
RYR7103,EIFIT,LIRF,LIBR,22500,27059,23880,26675,23.0,-6.4,25.0,30.0,26.0,29.0
DLH691,DAISO,LLBG,EDDF,6600,23612,9000,24115,40.0,8.383333333333333,7.0,26.0,10.0,26.0
UTA746,VPBFW,UBBB,UUWW,39600,49693,40680,50173,18.0,8.0,44.0,55.0,45.0,55.0
THY86Y,TCJVY,LTBA,UGSB,49200,55586,50700,55920,25.0,5.566666666666666,54.0,61.0,56.0,62.0
TAP1558,CSTNP,GVSV,LPPT,48600,63685,48785,64185,3.0833333333333335,8.333333333333334,54.0,70.0,54.0,71.0
PGT60B,TCCPJ,LLBG,LTFJ,30300,37835,31320,37824,17.0,-0.18333333333333332,33.0,42.0,34.0,42.0
VLG8748,ECKMI,LEBL,EGCC,36600,44173,38400,45399,30.0,20.433333333333334,40.0,49.0,42.0,50.0
TAP753A,CSTNU,EKCH,LPPT,14400,26952,15840,28638,24.0,28.1,16.0,29.0,17.0,31.0
KKK1CF,TCATH,LTBA,EGSS,28020,41735,29820,42907,30.0,19.533333333333335,31.0,46.0,33.0,47.0
EWG8PY,DAEWF,LOWW,EDDL,48300,53760,49440,54304,19.0,9.066666666666666,53.0,59.0,54.0,60.0
SHT19M,GEUPN,EGPD,EGLL,36300,40848,36240,41763,-1.0,15.25,40.0,45.0,40.0,46.0
RYR911J,EIDPD,EDDF,LPPT,16800,28620,18240,29093,24.0,7.883333333333334,18.0,31.0,20.0,32.0
UAE159,A6EPB,OMDB,ENGM,12300,35610,13620,36554,22.0,15.733333333333333,13.0,39.0,15.0,40.0
BEE794D,GPRPM,EGBB,LFRS,36000,41846,38040,42575,34.0,12.15,40.0,46.0,42.0,47.0
BEE6GD,GJECR,EGHI,EGCC,56100,59004,56220,58982,2.0,-0.36666666666666664,62.0,65.0,62.0,65.0
BAW904N,GEUPZ,EGLL,EDDF,36000,40975,37080,40891,18.0,-1.4,40.0,45.0,41.0,45.0
BAW242,GZBKN,MMMX,EGLL,14400,49443,16780,50960,39.666666666666664,25.283333333333335,16.0,54.0,18.0,56.0
RAM972C,CNROL,GMMN,LEMD,25200,30057,25560,29949,6.0,-1.8,28.0,33.0,28.0,33.0
IRM118,EPMNP,OIIE,LTAC,16200,24923,17552,26040,22.533333333333335,18.616666666666667,18.0,27.0,19.0,28.0
QTR5GN,A7BCD,LIRF,OTHH,22800,41509,23340,40997,9.0,-8.533333333333333,25.0,46.0,25.0,45.0
QTR239,A7AEH,OTHH,LTBA,18000,32718,19800,34860,30.0,35.7,20.0,36.0,22.0,38.0
BEE4JM,GPRPN,LFPG,EGTE,41400,46683,42480,46051,18.0,-10.533333333333333,46.0,51.0,47.0,51.0
RYR236J,EIDCR,LEMG,EDLV,18600,28801,19020,28334,7.0,-7.783333333333333,20.0,32.0,21.0,31.0
PGT101,TCCPP,UAAA,LTFJ,9000,30504,11040,34080,34.0,59.6,10.0,33.0,12.0,37.0
EZY63MY,OEIVN,EGCC,EGAA,56700,59999,57360,59643,11.0,-5.933333333333334,63.0,66.0,63.0,66.0
AFR71TP,FGUGI,LFPG,LFRB,26400,30737,26880,30491,8.0,-4.1,29.0,34.0,29.0,33.0
EXS89E,GJZHN,EGCC,LHBP,21600,30992,21900,29577,5.0,-23.583333333333332,24.0,34.0,24.0,32.0
BAW24MC,GGATL,EGKK,LFMN,44700,51046,46320,51975,27.0,15.483333333333333,49.0,56.0,51.0,57.0
ETD84E,A6ETN,OMAA,EDDM,18300,39949,19140,40581,14.0,10.533333333333333,20.0,44.0,21.0,45.0
DLH2HF,DAILB,EDDM,EPKK,32400,36607,33540,36827,19.0,3.6666666666666665,36.0,40.0,37.0,40.0
THY1VT,TCJUE,HEBA,LTBA,3600,11000,4440,11160,14.0,2.6666666666666665,4.0,12.0,4.0,12.0
DLH07W,DACKG,EDDM,LOWG,37200,40279,38400,40590,20.0,5.183333333333334,41.0,44.0,42.0,45.0
ICV001,LXOCV,ELLX,LIMC,30600,34205,31140,34540,9.0,5.583333333333333,34.0,38.0,34.0,38.0
EZY59ND,OELQJ,LFMN,EGKK,27600,33218,28200,34061,10.0,14.05,30.0,36.0,31.0,37.0
DLH307,DAIZI,LICC,EDDF,30600,39027,31020,39313,7.0,4.766666666666667,34.0,43.0,34.0,43.0
NAX7075,LNLNL,LEBL,KOAK,54900,96599,57240,97545,39.0,15.766666666666667,61.0,107.0,63.0,108.0
RYR7E,EIFRI,LEMG,EGGP,33000,43242,34440,43341,24.0,1.65,36.0,48.0,38.0,48.0
RAM571A,CNRNQ,DTTA,GMMN,37800,48068,37920,47619,2.0,-7.483333333333333,42.0,53.0,42.0,52.0
AHY851,4KAZ03,UUDD,UBBB,39000,49093,40187,49680,19.783333333333335,9.783333333333333,43.0,54.0,44.0,55.0
EZY84UV,GEZOP,EGKK,LFPG,62220,65416,63300,65867,18.0,7.516666666666667,69.0,72.0,70.0,73.0
KLM47W,PHBGG,EHAM,EGNT,23700,27493,23940,27399,4.0,-1.5666666666666667,26.0,30.0,26.0,30.0
BAW6,GZBKF,RJAA,EGLL,14100,56842,15480,58361,23.0,25.316666666666666,15.0,63.0,17.0,64.0
ETD612,A6AFA,GMMN,OMAA,38400,63122,39240,63533,14.0,6.85,42.0,70.0,43.0,70.0
KLM1473,PHBGB,EHAM,EGPF,27000,31544,27660,32589,11.0,17.416666666666668,30.0,35.0,30.0,36.0
UPS272,N353UP,EDDK,EPWA,8400,14194,8280,12604,-2.0,-26.5,9.0,15.0,9.0,14.0
BMS4110,YRAMD,LIEA,LIMF,48000,51963,48120,51105,2.0,-14.3,53.0,57.0,53.0,56.0
DLH03Y,DAIPD,EDDF,LFML,66000,71915,67260,71946,21.0,0.5166666666666667,73.0,79.0,74.0,79.0
RYR8713,EIDPY,LIMF,LIBD,38100,42976,39300,43967,20.0,16.516666666666666,42.0,47.0,43.0,48.0
AEE521,SXDVL,LFPG,LGTS,56100,65808,57540,66113,24.0,5.083333333333333,62.0,73.0,63.0,73.0
PGT49Y,TCIZG,LTCK,LTBJ,28800,36296,29220,35700,7.0,-9.933333333333334,32.0,40.0,32.0,39.0
ETD59V,A6APB,OMAA,EGLL,16200,41368,16080,43177,-2.0,30.15,18.0,45.0,17.0,47.0
KKK2EY,TCETF,LFPG,LTBA,48300,59931,50220,60480,32.0,9.15,53.0,66.0,55.0,67.0
THY46B,TCJJO,LTBJ,LTBA,24600,28247,25620,29100,17.0,14.216666666666667,27.0,31.0,28.0,32.0
DLH06Y,DAIDC,EDDM,LEMD,34800,44249,36600,46443,30.0,36.56666666666667,38.0,49.0,40.0,51.0
RYR63RX,EIDHT,EGGP,LPPR,40500,48356,41280,48440,13.0,1.4,45.0,53.0,45.0,53.0
WZZ8075,HALWA,LKPR,LIPH,49200,53763,50580,54384,23.0,10.35,54.0,59.0,56.0,60.0
IBS3954,ECLEA,LEMD,LEZL,19500,23024,21240,24049,29.0,17.083333333333332,21.0,25.0,23.0,26.0
AFL2002,RA89027,UUEE,EPWA,54300,61805,56220,62871,32.0,17.766666666666666,60.0,68.0,62.0,69.0
THY9FZ,TCJLU,LZKZ,LTBA,24900,31326,26189,32400,21.483333333333334,17.9,27.0,34.0,29.0,36.0
