callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
AFR137,FGZCG,KORD,LFPG,-3000,26127,0,27743,50.0,26.933333333333334,-4.0,29.0,0.0,30.0
EWG7465,DAEWS,EGLL,EDDH,31800,36934,32280,37020,8.0,1.4333333333333333,35.0,41.0,35.0,41.0
THY7NZ,TCJGZ,LUKK,LTBA,69900,74511,69600,74340,-5.0,-2.85,77.0,82.0,77.0,82.0
FIN156,OHLWG,VTSG,EFHK,19200,57531,18840,56466,-6.0,-17.75,21.0,63.0,20.0,62.0
ASL827,YUAPI,OLBA,LYBE,7200,16994,8678,17958,24.633333333333333,16.066666666666666,8.0,18.0,9.0,19.0
NAX7096,GCKOF,KLAX,EGKK,9300,44426,10920,45988,27.0,26.033333333333335,10.0,49.0,12.0,51.0
RYR4895,EIEVE,LIPE,GCRR,42300,57370,43140,57193,14.0,-2.95,47.0,63.0,47.0,63.0
LLC3342,LYSPD,OMDW,EYVI,31500,53029,32520,53169,17.0,2.3333333333333335,35.0,58.0,36.0,59.0
FIN7PR,OHLXB,LKPR,EFHK,37500,45462,38340,45437,14.0,-0.4166666666666667,41.0,50.0,42.0,50.0
EWG9GB,DABQM,EDDL,LFSB,67500,71562,68880,71951,23.0,6.483333333333333,75.0,79.0,76.0,79.0
FIN1RE,OHATN,EFHK,EYVI,51600,56810,52380,57230,13.0,7.0,57.0,63.0,58.0,63.0
ROT371F,YRBGI,LROP,EBBR,20700,29871,22080,30394,23.0,8.716666666666667,23.0,33.0,24.0,33.0
HOP40WT,,LFBA,LFPO,20400,25617,20400,25279,0.0,-5.633333333333334,22.0,28.0,22.0,28.0
NJE977E,CSDXX,EDDH,LEPA,50400,59500,52200,60690,30.0,19.833333333333332,56.0,66.0,58.0,67.0
EZY801C,DAIAE,EDDL,EDDT,36300,40705,37800,41151,25.0,7.433333333333334,40.0,45.0,42.0,45.0
EZY56WG,GEZRG,LFPO,LIRF,60900,67835,60840,67018,-1.0,-13.616666666666667,67.0,75.0,67.0,74.0
EZY65FB,GEZGE,EGAA,EGGP,55200,57771,55200,56958,0.0,-13.55,61.0,64.0,61.0,63.0
TVF3187,FGZHO,LEMD,LFPO,60000,66418,60780,66807,13.0,6.483333333333333,66.0,73.0,67.0,74.0
KLM37G,PHEXR,EHAM,EGPD,40500,45510,41880,46159,23.0,10.816666666666666,45.0,50.0,46.0,51.0
AHY8003,4KAZ79,UBBB,LTAC,23400,32293,24180,33060,13.0,12.783333333333333,26.0,35.0,26.0,36.0
EWG468,DAIQE,EDDK,EGLL,64200,68488,65820,69212,27.0,12.066666666666666,71.0,76.0,73.0,76.0
NPT11M,GJMCU,EGPH,EGSS,-1500,2965,-1200,1884,5.0,-18.016666666666666,-2.0,3.0,-2.0,2.0
THY3JN,TCJVU,LTBA,LFBO,17700,30600,19020,30654,22.0,0.9,19.0,34.0,21.0,34.0
ETD84E,A6ETR,OMAA,EDDM,18600,41256,19560,42096,16.0,14.0,20.0,45.0,21.0,46.0
OHY044,TCOBM,LTBA,LTAJ,40800,46601,42240,46155,24.0,-7.433333333333334,45.0,51.0,46.0,51.0
KLM73J,PHEZA,EHAM,EDDF,26400,30221,28260,31228,31.0,16.783333333333335,29.0,33.0,31.0,34.0
SAS61B,OYKAO,ENGM,EKCH,29700,33591,30905,33765,20.083333333333332,2.9,33.0,37.0,34.0,37.0
SWT7276,TFBBL,LGAV,LCLK,33060,38272,34140,38611,18.0,5.65,36.0,42.0,37.0,42.0
NJE316U,CSDRX,LSGG,LFBD,37800,41682,37980,41103,3.0,-9.65,42.0,46.0,42.0,45.0
AAL204,N187AN,KPHL,EHAM,3600,29622,9420,34417,97.0,79.91666666666667,4.0,32.0,10.0,38.0
RYR2LN,EIEPC,LEBL,LEST,65100,71277,66540,71704,24.0,7.116666666666666,72.0,79.0,73.0,79.0
WIF79B,LNWFT,ENEV,ENBO,70200,73389,71580,73455,23.0,1.1,78.0,81.0,79.0,81.0
SHT1469,GEUPN,EGPE,EGLL,44700,49082,46320,50801,27.0,28.65,49.0,54.0,51.0,56.0
SEV711,,GCLP,GCTS,7200,9989,7200,9310,0.0,-11.316666666666666,8.0,11.0,8.0,10.0
DLH1E,DAIBG,EDDH,EDDM,27900,31982,28380,31857,8.0,-2.0833333333333335,31.0,35.0,31.0,35.0
PPVDR,PPVDR,SBGL,EGGW,-1800,37501,-2620,36101,-13.666666666666666,-23.333333333333332,-2.0,41.0,-3.0,40.0
CFE3AC,GLCYS,EGLC,EDDT,47700,53168,48240,53616,9.0,7.466666666666667,53.0,59.0,53.0,59.0
BAW85GA,GEUPJ,LDZA,EGLL,41700,49444,43500,51155,30.0,28.516666666666666,46.0,54.0,48.0,56.0
TOM543,GOBYF,VTSP,ESPA,7200,51456,7320,49311,2.0,-35.75,8.0,57.0,8.0,54.0
DLH2K,DAILL,LSGG,EDDF,35700,40422,36360,40366,11.0,-0.9333333333333333,39.0,44.0,40.0,44.0
GIA088,PKGIK,WIII,EHAM,-540,52364,60,53101,10.0,12.283333333333333,-1.0,58.0,0.0,59.0
AFR93HT,FGTAP,LFBO,LFPO,18000,22420,18480,22365,8.0,-0.9166666666666666,20.0,24.0,20.0,24.0
OHY150,TCOBJ,LTBA,LTBJ,14400,18048,14580,17220,3.0,-13.8,16.0,20.0,16.0,19.0
HKS417,LNOQC,ENKB,ZZZZ,21600,25888,21480,25127,-2.0,-12.683333333333334,24.0,28.0,23.0,27.0
EZY34DX,GEZUO,LEBL,LSGG,50700,56739,51600,56289,15.0,-7.5,56.0,63.0,57.0,62.0
EWG78M,OELYX,LOWW,EDDN,21000,24656,21668,24270,11.133333333333333,-6.433333333333334,23.0,27.0,24.0,26.0
DLH4NF,DAILY,EDDK,EDDM,33300,36845,34020,36820,12.0,-0.4166666666666667,37.0,40.0,37.0,40.0
RYR122,EIEXF,EIDW,EGKK,46200,50619,46720,50423,8.666666666666666,-3.2666666666666666,51.0,56.0,51.0,56.0
HKS446,LNOQC,ENDR,ENKB,66900,69184,67200,69586,5.0,6.7,74.0,76.0,74.0,77.0
DLA7XL,IADJM,LIMC,EDDM,33600,37484,33960,36582,6.0,-15.033333333333333,37.0,41.0,37.0,40.0
VIR8E,GVOWS,KLAX,EGLL,4500,40161,5220,40843,12.0,11.366666666666667,5.0,44.0,5.0,45.0
AZA1283,EIDTH,LIML,LIRN,22500,26579,22980,26787,8.0,3.466666666666667,25.0,29.0,25.0,29.0
BAW780F,GBZHA,EGLL,ESSA,48300,56805,50160,58195,31.0,23.166666666666668,53.0,63.0,55.0,64.0
RYR3CD,EIFZO,LEGE,EHEH,24000,31483,24720,31671,12.0,3.1333333333333333,26.0,34.0,27.0,35.0
N228WS,N228WS,EDRT,EDWX,50400,57831,49920,56968,-8.0,-14.383333333333333,56.0,64.0,55.0,63.0
EZY29HB,OEIJB,LSGG,LPPR,54600,61734,55920,62394,22.0,11.0,60.0,68.0,62.0,69.0
AFR1435,FGKXV,EDDT,LFPG,31500,36949,31800,36571,5.0,-6.3,35.0,41.0,35.0,40.0
QTR725,A7BAN,OTHH,KORD,19200,68711,20820,69631,27.0,15.333333333333334,21.0,76.0,23.0,77.0
