callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
SAS945,LNRKU,ESSA,KORD,54000,83308,54540,83479,9.0,2.85,60.0,92.0,60.0,92.0
FIN6PX,OHLVC,LHBP,EFHK,38100,45937,39540,46572,24.0,10.583333333333334,42.0,51.0,43.0,51.0
SCW42Z,SEDJO,LOWI,ESGG,56400,63502,56940,63484,9.0,-0.3,62.0,70.0,63.0,70.0
SAZ64,HBJRB,LSGG,LSZH,61200,64610,61440,63300,4.0,-21.833333333333332,68.0,71.0,68.0,70.0
IBE6621,ECMJA,LEMD,MUHA,54300,91841,56340,92370,34.0,8.816666666666666,60.0,102.0,62.0,102.0
AFR1404,FGUGB,LFPG,LIRF,57600,66566,62640,68376,84.0,30.166666666666668,64.0,73.0,69.0,75.0
SAS2872,ECMQQ,EKCH,ENBR,57600,62245,58920,62610,22.0,6.083333333333333,64.0,69.0,65.0,69.0
IBE0406,ECKHM,LEMD,LEJR,74100,78142,74160,77459,1.0,-11.383333333333333,82.0,86.0,82.0,86.0
JAL45,JA738J,RJTT,LFPG,6600,50517,8220,51870,27.0,22.55,7.0,56.0,9.0,57.0
TAP687,CSTTV,ELLX,LPPR,55200,63411,55740,63712,9.0,5.016666666666667,61.0,70.0,61.0,70.0
UAE954,A6ECA,OLBA,OMDB,62700,74445,63196,74266,8.266666666666667,-2.9833333333333334,69.0,82.0,70.0,82.0
AUA567Z,OELXB,LOWW,LSZH,69000,73876,70800,74520,30.0,10.733333333333333,76.0,82.0,78.0,82.0
TAP1691,CSTNI,LPPT,LPMA,-16800,-11277,-15300,-10531,25.0,12.433333333333334,-19.0,-13.0,-17.0,-12.0
KLM856,PHBQL,RKSI,EHAM,57300,96288,57720,95874,7.0,-6.9,63.0,106.0,64.0,106.0
SVA2639,TCOCL,DAAG,OEMA,-3000,12458,-2830,12273,2.8333333333333335,-3.0833333333333335,-4.0,13.0,-4.0,13.0
SEH030,SXFOR,LGAV,LGPA,42600,44937,43242,44768,10.7,-2.816666666666667,47.0,49.0,48.0,49.0
RYR2EH,EIEBO,EGNM,GCTS,28800,44200,31020,45590,37.0,23.166666666666668,32.0,49.0,34.0,50.0
GTI8987,N649GT,EDDN,KIAH,-36900,216,-36180,318,12.0,1.7,-41.0,0.0,-41.0,0.0
EXS240,GJZHN,LMML,EGNM,55200,67221,56580,69432,23.0,36.85,61.0,74.0,62.0,77.0
EZY96QW,OEIVB,EGGW,LSGG,68400,75472,71160,76080,46.0,10.133333333333333,76.0,83.0,79.0,84.0
TAP035,CSTOU,LPPT,SBFZ,59700,89370,61500,89949,30.0,9.65,66.0,99.0,68.0,99.0
THY9HP,TCJRO,LTBA,EDDM,36000,45776,37860,46464,31.0,11.466666666666667,40.0,50.0,42.0,51.0
NAX5DP,LNDYW,ENVA,ENGM,23400,26370,23460,26020,1.0,-5.833333333333333,26.0,29.0,26.0,28.0
NAX605,LNNGB,ENBR,ENGM,23400,26555,23640,26103,4.0,-7.533333333333333,26.0,29.0,26.0,29.0
RYR27WJ,EIFTT,LEIB,LEBL,-10200,-7219,-9480,-7257,12.0,-0.6333333333333333,-12.0,-9.0,-11.0,-9.0
RAM272,CNROT,GMMN,HECA,79500,95607,79680,95089,3.0,-8.633333333333333,88.0,106.0,88.0,105.0
THY1WM,TCJRK,LTBA,EDDP,23400,33506,24960,34530,26.0,17.066666666666666,26.0,37.0,27.0,38.0
KLM99T,PHEZN,EHAM,ESGG,55200,60232,55740,59880,9.0,-5.866666666666666,61.0,66.0,61.0,66.0
TRA24B,PHHXI,LEMG,EHRD,68400,78168,69840,78497,24.0,5.483333333333333,76.0,86.0,77.0,87.0
THY5JS,TCSBE,LTAC,LTBS,33000,36595,34020,37140,17.0,9.083333333333334,36.0,40.0,37.0,41.0
THY761,TCLKC,OMDB,LTBA,81600,98897,82680,99377,18.0,8.0,90.0,109.0,91.0,110.0
BAW546,GEUYD,EGLL,LIRF,59160,68397,60780,68116,27.0,-4.683333333333334,65.0,75.0,67.0,75.0
QTR8577,A7AFJ,OTHH,LTBA,3000,19730,2820,17820,-3.0,-31.833333333333332,3.0,21.0,3.0,19.0
PGT3N,TCNBN,LTFJ,LTAI,56700,60457,57780,60660,18.0,3.3833333333333333,63.0,67.0,64.0,67.0
BAW98,GZBJH,CYYZ,EGLL,11100,35692,12240,36546,19.0,14.233333333333333,12.0,39.0,13.0,40.0
EZY89GQ,GEZOG,GCRR,LIMC,54300,67551,55080,67554,13.0,0.05,60.0,75.0,61.0,75.0
