callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
FAF7201,FUGZZ,LFSO,LFSO,47700,55200,47760,53086,1.0,-35.233333333333334,53.0,61.0,53.0,58.0
THY2JG,TCJHS,LTBA,LKPR,52500,61552,53100,60699,10.0,-14.216666666666667,58.0,68.0,59.0,67.0
ROT608R,YRBGJ,LRTR,LROP,63900,67486,63840,66603,-1.0,-14.716666666666667,71.0,74.0,70.0,74.0
BEL20B,OOSSB,LIML,EBBR,40200,45390,41040,45329,14.0,-1.0166666666666666,44.0,50.0,45.0,50.0
VLG189X,ECLOP,LEBL,EDDL,40800,48501,42360,49020,26.0,8.65,45.0,53.0,47.0,54.0
TAP1039,CSTTD,LEBL,LPPT,50700,57005,51420,57249,12.0,4.066666666666666,56.0,63.0,57.0,63.0
AFR25AL,FGRXM,LFPG,EHAM,26700,30454,28080,31112,23.0,10.966666666666667,29.0,33.0,31.0,34.0
HOP744S,,LFLL,LKPR,34500,39854,34918,40007,6.966666666666667,2.55,38.0,44.0,38.0,44.0
RYR2211,EIFZW,LROD,EGSS,36000,44714,36900,46250,15.0,25.6,40.0,49.0,41.0,51.0
KLM771,PHAOB,EHAM,TNCB,29700,65322,30600,65441,15.0,1.9833333333333334,33.0,72.0,34.0,72.0
THY4KD,TCJPO,LTAI,LTBA,7200,11991,7560,10800,6.0,-19.85,8.0,13.0,8.0,12.0
RYR46JB,EIGJF,EIDW,EGSS,23400,27956,23640,27244,4.0,-11.866666666666667,26.0,31.0,26.0,30.0
PRW328,YLPSG,GCLA,ENGM,60600,79708,60960,79379,6.0,-5.483333333333333,67.0,88.0,67.0,88.0
AFL2073,VQBEA,LCLK,UUEE,45600,58770,47400,60960,30.0,36.5,50.0,65.0,52.0,67.0
BAW465,GEUYR,LEMD,EGLL,71700,79196,71880,78623,3.0,-9.55,79.0,87.0,79.0,87.0
EZY95ZQ,OELKH,LSZH,EGGW,54900,61001,55500,60744,10.0,-4.283333333333333,61.0,67.0,61.0,67.0
KLM1868,PHEZG,EDDS,EHAM,31200,35519,31860,35481,11.0,-0.6333333333333333,34.0,39.0,35.0,39.0
ETD25T,A6BLF,EDDF,OMAA,43200,63792,46200,65647,50.0,30.916666666666668,48.0,70.0,51.0,72.0
RCH1114,88197A,EHVK,ETSB,40200,42076,40980,42480,13.0,6.733333333333333,44.0,46.0,45.0,47.0
SWR2058,HBIJM,LSZH,LEBB,39600,45877,39660,45816,1.0,-1.0166666666666666,44.0,50.0,44.0,50.0
KLM47V,PHBGN,EHAM,EDDM,30600,34756,31260,35961,11.0,20.083333333333332,34.0,38.0,34.0,39.0
BCS2110,GDHKG,EDDP,EGSS,4500,9843,5940,10704,24.0,14.35,5.0,10.0,6.0,11.0
LOG39GA,,EGPL,EGPF,44700,47969,45180,47697,8.0,-4.533333333333333,49.0,53.0,50.0,52.0
EIN12G,EIGAJ,KMCO,EIDW,6600,34588,6780,34111,3.0,-7.95,7.0,38.0,7.0,37.0
DLH3NH,DAILW,EDDM,EDDG,35700,39427,36060,39181,6.0,-4.1,39.0,43.0,40.0,43.0
CTN4AS,9ACTK,EHAM,LDZA,37200,43906,38820,44201,27.0,4.916666666666667,41.0,48.0,43.0,49.0
VLG81JH,ECKJD,LEVC,LFPO,41400,48080,42360,48527,16.0,7.45,46.0,53.0,47.0,53.0
EZY4727,OEICT,EDDB,LCLK,47700,60573,48000,60397,5.0,-2.933333333333333,53.0,67.0,53.0,67.0
THY6PQ,TCJFK,LTCG,LTFJ,23100,28600,24300,29500,20.0,15.0,25.0,31.0,27.0,32.0
AAL719,N284AY,LIRF,KPHL,34800,68097,36000,68212,20.0,1.9166666666666667,38.0,75.0,40.0,75.0
AFR7660,FGKXM,LFPG,LFML,22500,27170,23160,26649,11.0,-8.683333333333334,25.0,30.0,25.0,29.0
IBS3830,ECJDM,LEMD,GCLP,40800,50727,41820,51136,17.0,6.816666666666666,45.0,56.0,46.0,56.0
RYR8EP,EIEBC,EGSS,LFML,24600,31280,26160,32034,26.0,12.566666666666666,27.0,34.0,29.0,35.0
RYR58KK,EIEVE,EGPF,GCRR,44820,61220,47220,62120,40.0,15.0,49.0,68.0,52.0,69.0
SHT8S,GBNWX,EGLL,EGPH,75300,79880,76440,79489,19.0,-6.516666666666667,83.0,88.0,84.0,88.0
KLM64Y,PHEZT,LIRQ,EHAM,42000,48436,42300,48633,5.0,3.283333333333333,46.0,53.0,47.0,54.0
AEA051,ECMNS,LEMD,MUHA,-33900,2712,-32580,2962,22.0,4.166666666666667,-38.0,3.0,-37.0,3.0
SHT3F,GEUXJ,EGCC,EGLL,45600,48715,46680,48996,18.0,4.683333333333334,50.0,54.0,51.0,54.0
AFL2301,VPBWF,EDDF,UUEE,45900,55993,47580,57840,28.0,30.783333333333335,51.0,62.0,52.0,64.0
ABY951,A6AOI,OMSJ,UUEE,18600,37194,19200,37194,10.0,0.0,20.0,41.0,21.0,41.0
RYR89NQ,EIEFJ,EICK,GCRR,43500,57033,43920,56526,7.0,-8.45,48.0,63.0,48.0,62.0
THY1KC,TCJFH,LTCB,LTAC,25200,28003,26280,29160,18.0,19.283333333333335,28.0,31.0,29.0,32.0
KLM24P,PHBGF,LFPG,EHAM,28500,32208,29280,32006,13.0,-3.3666666666666667,31.0,35.0,32.0,35.0
EZE7681,GCGWV,LFPO,LFCR,27300,31104,28740,31550,24.0,7.433333333333334,30.0,34.0,31.0,35.0
DLH4LY,DAIUO,EDDF,EKCH,35700,40629,38220,41904,42.0,21.25,39.0,45.0,42.0,46.0
VLG7481,ECMBK,DAOO,LEBL,51900,56454,52454,56093,9.233333333333333,-6.016666666666667,57.0,62.0,58.0,62.0
UPS4,N257UP,EDDK,EPWA,11340,17076,12780,17081,24.0,0.08333333333333333,12.0,18.0,14.0,18.0
JTG768,OYJTT,GCTS,ESSV,49800,69778,50280,69636,8.0,-2.3666666666666667,55.0,77.0,55.0,77.0
LOT3860,SPEQI,EPWR,EPWA,-14100,-9959,-14460,-11905,-6.0,-32.43333333333333,-16.0,-12.0,-17.0,-14.0
EIN529,EIDEC,LFPG,EIDW,74100,79937,74760,79612,11.0,-5.416666666666667,82.0,88.0,83.0,88.0
NAX7068,LNLNI,KOAK,ESSA,4800,39949,7680,43121,48.0,52.86666666666667,5.0,44.0,8.0,47.0
ANE8771,ECMNR,LFBO,LEMD,43500,48192,43800,47363,5.0,-13.816666666666666,48.0,53.0,48.0,52.0
EWG9LR,DABAF,EDDH,GCLP,36000,53497,36240,53269,4.0,-3.8,40.0,59.0,40.0,59.0
THY21,TCJJY,ZBAA,LTBA,-25800,9747,-24840,10320,16.0,9.55,-29.0,10.0,-28.0,11.0
ASL78E,YUALN,LYBE,LBSF,44400,48340,45060,48368,11.0,0.4666666666666667,49.0,53.0,50.0,53.0
RYR86LG,EIDPX,EGNM,GCRR,43800,59096,43920,58112,2.0,-16.4,48.0,65.0,48.0,64.0
OHY171,TCOBL,LTFH,LTBA,18000,23210,18540,22500,9.0,-11.833333333333334,20.0,25.0,20.0,25.0
SXD3708,DASXF,LEPA,EDDH,39900,47756,39160,47316,-12.333333333333334,-7.333333333333333,44.0,53.0,43.0,52.0
DLH7C,DAIUG,LSZH,EDDF,36900,40134,37320,40343,7.0,3.4833333333333334,41.0,44.0,41.0,44.0
DLH5H,DAINJ,EGLL,EDDF,34200,39369,34920,38919,12.0,-7.5,38.0,43.0,38.0,43.0
UPS244,N428UP,EDDK,EGSS,7200,11008,7920,11118,12.0,1.8333333333333333,8.0,12.0,8.0,12.0
BCS2111,GDHKG,EGSS,EDDK,15000,19841,14760,17861,-4.0,-33.0,16.0,22.0,16.0,19.0
VJT449,9HVCO,EGWU,EGLF,52200,54263,52800,54043,10.0,-3.6666666666666665,58.0,60.0,58.0,60.0
