callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
IRC513,EPAPF,LTBA,OIIE,64800,74292,64800,73092,0.0,-20.0,72.0,82.0,72.0,81.0
EZY62CR,GEZBR,LSGG,EGKK,30600,35228,30960,35141,6.0,-1.45,34.0,39.0,34.0,39.0
DLH481,DAIHL,KDEN,EDDM,-2400,33485,-180,35139,37.0,27.566666666666666,-3.0,37.0,-1.0,39.0
BEE198H,GFBJK,LFPG,EGCN,45300,50045,47340,50747,34.0,11.7,50.0,55.0,52.0,56.0
EZY56YV,OELKM,EGGD,LIRF,54600,63618,55260,63496,11.0,-2.033333333333333,60.0,70.0,61.0,70.0
NJE697H,CSDXX,LPPI,LEMG,30600,40770,31980,41500,23.0,12.166666666666666,34.0,45.0,35.0,46.0
ANE98HV,ECMSL,LEMD,LEVC,64500,67297,65220,67365,12.0,1.1333333333333333,71.0,74.0,72.0,74.0
AHY9224,VPBRU,UGTB,UBBB,28200,32833,27780,30540,-7.0,-38.21666666666667,31.0,36.0,30.0,33.0
EWG4EH,DABKN,LOWW,EDDK,-9600,-4799,-9120,-4935,8.0,-2.2666666666666666,-11.0,-6.0,-11.0,-6.0
HBFWG,HBFWG,LHSM,LOWG,31500,33063,31920,33394,7.0,5.516666666666667,35.0,36.0,35.0,37.0
ACA836,CGHKR,CYYZ,LEMD,3600,28902,4440,28577,14.0,-5.416666666666667,4.0,32.0,4.0,31.0
SAS58D,LNRRU,ENBO,ENGM,18000,23231,19740,23696,29.0,7.75,20.0,25.0,21.0,26.0
WZZ8044,HALXO,LCLK,EYVI,30300,42731,32340,43948,34.0,20.283333333333335,33.0,47.0,35.0,48.0
AEE3SA,SXDVV,LGTS,EDDM,55800,62689,56202,62380,6.7,-5.15,62.0,69.0,62.0,69.0
HKY82,78614T,ETAR,ETAR,53700,68400,53160,67860,-9.0,-9.0,59.0,76.0,59.0,75.0
AEE908,SXDGA,LGAV,LCLK,60600,65722,62160,67256,26.0,25.566666666666666,67.0,73.0,69.0,74.0
AFL2012,VPBFA,UUEE,LKPR,30300,39382,30960,39912,11.0,8.833333333333334,33.0,43.0,34.0,44.0
AFR1083,FGTAU,LKPR,LFPG,51000,57094,52620,57479,27.0,6.416666666666667,56.0,63.0,58.0,63.0
RYR6BH,EIDAR,LIPH,EGSS,77700,84454,78600,85137,15.0,11.383333333333333,86.0,93.0,87.0,94.0
CRL979,FHSKY,GOBD,LFPO,9000,28412,8974,26565,-0.43333333333333335,-30.783333333333335,10.0,31.0,9.0,29.0
AZA93V,EIIKU,LEMD,LIRF,38400,46021,39540,46427,19.0,6.766666666666667,42.0,51.0,43.0,51.0
RAM721P,CNROR,LFLL,GMMN,57300,66794,57240,66083,-1.0,-11.85,63.0,74.0,63.0,73.0
HOP42ZX,FGVZJ,LFLL,LFJL,27300,32917,28560,32662,21.0,-4.25,30.0,36.0,31.0,36.0
DAL106,N171DZ,KSLC,LFPG,-480,35100,0,35390,8.0,4.833333333333333,-1.0,39.0,0.0,39.0
WIF107,LNWIJ,ENFL,ENBR,48000,50321,48000,49795,0.0,-8.766666666666667,53.0,55.0,53.0,55.0
AFR24XW,FHBND,LFPO,LFTH,27300,34231,30480,34028,53.0,-3.3833333333333333,30.0,38.0,33.0,37.0
NAX633,LNNGB,ENBR,ENGM,57600,60682,58227,60461,10.45,-3.683333333333333,64.0,67.0,64.0,67.0
