callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
BAW2702,DASTR,EGKK,GCTS,45000,61506,46440,61349,24.0,-2.6166666666666667,50.0,68.0,51.0,68.0
EZY64LT,GEZBO,EGGW,EDDB,31200,37266,32160,37427,16.0,2.683333333333333,34.0,41.0,35.0,41.0
SWR349,HBJCF,EGLL,LSGG,62400,68842,67320,71755,82.0,48.55,69.0,76.0,74.0,79.0
EZY12YQ,GEZFL,EGGW,EDDM,60300,66045,61680,66886,23.0,14.016666666666667,67.0,73.0,68.0,74.0
AZA1493,EIIMF,LIRF,LIPX,74280,77343,75960,78400,28.0,17.616666666666667,82.0,85.0,84.0,87.0
TAP752,CSTNQ,LPPT,EKCH,62100,74230,62940,74069,14.0,-2.683333333333333,69.0,82.0,69.0,82.0
SXS7917,TCSNP,LTBY,LTAI,44700,47711,45480,47580,13.0,-2.183333333333333,49.0,53.0,50.0,52.0
BAW297,GVIIH,EGLL,KORD,-29700,-823,-28080,-542,27.0,4.683333333333334,-33.0,-1.0,-32.0,-1.0
UAE79Y,A6EOC,EGLL,OMDB,-27900,-5009,-26340,-4279,26.0,12.166666666666666,-31.0,-6.0,-30.0,-5.0
BEE6NC,GKKEV,EGFF,EICK,47700,51560,48300,51242,10.0,-5.3,53.0,57.0,53.0,56.0
AFR292,FGZNP,LFPG,RJBB,46800,86960,47940,86884,19.0,-1.2666666666666666,52.0,96.0,53.0,96.0
SVR627,VQBTY,ULLI,UMKK,49200,54591,52915,57480,61.916666666666664,48.15,54.0,60.0,58.0,63.0
DUKE31,40157,EPWA,ETOU,61200,69560,63221,71340,33.68333333333333,29.666666666666668,68.0,77.0,70.0,79.0
RYR22KA,EIDYF,EPWR,EIDW,57300,66003,57840,66222,9.0,3.65,63.0,73.0,64.0,73.0
IBK3674,EIFVV,EKCH,GCTS,20700,41463,21540,40961,14.0,-8.366666666666667,23.0,46.0,23.0,45.0
SXS9GJ,TCSED,LTAI,EDDL,31200,45577,33420,46281,37.0,11.733333333333333,34.0,50.0,37.0,51.0
RYR2AQ,EIGDP,LEGE,EDFH,22500,28900,23220,28675,12.0,-3.75,25.0,32.0,25.0,31.0
SAS52H,EISIA,ESSA,EGLL,24900,34130,27120,36550,37.0,40.333333333333336,27.0,37.0,30.0,40.0
VAJ50S,T7XLS,UKKK,LFPB,31800,42915,32100,43182,5.0,4.45,35.0,47.0,35.0,47.0
AFR99NQ,FGRXB,LFPO,LFMN,70800,76280,74760,79292,66.0,50.2,78.0,84.0,83.0,88.0
AEA1045,ECIII,LEMD,LIRF,45300,52199,46620,52872,22.0,11.216666666666667,50.0,57.0,51.0,58.0
OKPCC,OKPCC,LOIJ,LKHK,45000,49727,45540,48666,9.0,-17.683333333333334,50.0,55.0,50.0,54.0
RYR42TJ,EIEKI,LOWS,EGSS,34200,40036,35201,40924,16.683333333333334,14.8,38.0,44.0,39.0,45.0
SVW42LX,LXLXX,EGLF,KMIA,45000,75063,45420,75191,7.0,2.1333333333333333,50.0,83.0,50.0,83.0
FDB18T,A6FMC,LROP,OMDB,44700,60994,46260,61357,26.0,6.05,49.0,67.0,51.0,68.0
DLH9C,DAIUK,LSZH,EDDF,49200,52346,49800,52182,10.0,-2.7333333333333334,54.0,58.0,55.0,57.0
GAC909Q,OEFHK,EHBK,LSGG,34200,39457,36540,41814,39.0,39.28333333333333,38.0,43.0,40.0,46.0
AFR1145,FGRXC,UUEE,LFPG,24300,37395,26820,39508,42.0,35.21666666666667,27.0,41.0,29.0,43.0
AIC161,VTANB,VIDP,EGLL,76500,107635,77640,108175,19.0,9.0,85.0,119.0,86.0,120.0
JZR482,9KCAK,OKBK,LTBA,25500,38033,27060,40080,26.0,34.11666666666667,28.0,42.0,30.0,44.0
DLH334,DAIUA,EDDF,LIRN,36900,43536,37920,43891,17.0,5.916666666666667,41.0,48.0,42.0,48.0
AEE910,SXDGO,LGAV,LCLK,72900,77978,73500,77973,10.0,-0.08333333333333333,81.0,86.0,81.0,86.0
DLH458,DAIHC,EDDM,KSFO,54900,96219,56400,96965,25.0,12.433333333333334,61.0,106.0,62.0,107.0
IBE31FF,ECJFN,LKPR,LEMD,67800,78293,67800,77410,0.0,-14.716666666666667,75.0,86.0,75.0,86.0
N500LU,N500LU,LEPA,LIPB,29700,39301,30180,37767,8.0,-25.566666666666666,33.0,43.0,33.0,41.0
IBB6800,ECMPA,GCLP,GVAC,42000,51228,42720,51340,12.0,1.8666666666666667,46.0,56.0,47.0,57.0
RYR30KJ,EIDCP,EPGD,EGSS,78900,86043,79080,86180,3.0,2.283333333333333,87.0,95.0,87.0,95.0
AUA602,OELXE,UUDD,LOWW,45600,54815,47408,56201,30.133333333333333,23.1,50.0,60.0,52.0,62.0
WZZ1450,HALWP,EVRA,ENTO,40800,46715,40980,46267,3.0,-7.466666666666667,45.0,51.0,45.0,51.0
KAC117,9KAOJ,OKBK,EINN,21600,46319,26541,50871,82.35,75.86666666666666,24.0,51.0,29.0,56.0
MEV209,CSTQU,DNMM,EGKK,37800,60645,38633,61821,13.883333333333333,19.6,42.0,67.0,42.0,68.0
BMR847B,GRJXG,EGGD,EDDM,61800,68215,62820,68789,17.0,9.566666666666666,68.0,75.0,69.0,76.0
VOE21SN,ECMTB,LFRS,LFMT,47100,51548,47700,51093,10.0,-7.583333333333333,52.0,57.0,53.0,56.0
UAE142,A6EOL,LEMD,OMDB,48300,71190,49200,70960,15.0,-3.8333333333333335,53.0,79.0,54.0,78.0
KLM1161,PHEZU,EHAM,ESGG,47700,52513,48000,51816,5.0,-11.616666666666667,53.0,58.0,53.0,57.0
BCI236,GISLI,EGJB,EGHI,30600,32542,30300,32166,-5.0,-6.266666666666667,34.0,36.0,33.0,35.0
CND794,PHCDE,GCFV,EHAM,48600,62947,49380,62823,13.0,-2.066666666666667,54.0,69.0,54.0,69.0
SXS9RJ,TCSNP,LTBJ,LTAF,56100,60837,56881,61020,13.016666666666667,3.05,62.0,67.0,63.0,67.0
RYR40SA,EIEVT,EBCI,LGAV,41400,52614,42420,52482,17.0,-2.2,46.0,58.0,47.0,58.0
UAE95,A6EPN,OMDB,LIRF,39900,62765,42000,64006,35.0,20.683333333333334,44.0,69.0,46.0,71.0
RBA98,V8DLC,EGLL,OMDB,77400,100866,80280,102122,48.0,20.933333333333334,86.0,112.0,89.0,113.0
SAS1904,EIFPN,EKBI,ENGM,57900,61085,58980,61824,18.0,12.316666666666666,64.0,67.0,65.0,68.0
IBS3925,ECLUC,LEPA,LEMD,60900,65053,61860,65892,16.0,13.983333333333333,67.0,72.0,68.0,73.0
N445QS,N445QS,EGSC,KHPN,39600,65000,39300,64164,-5.0,-13.933333333333334,44.0,72.0,43.0,71.0
CFG2VZ,DABOA,EDDH,GCLP,29100,46959,29820,47020,12.0,1.0166666666666666,32.0,52.0,33.0,52.0
PGT3ZU,TCIZK,LTBA,LTBJ,77400,81103,78060,80220,11.0,-14.716666666666667,86.0,90.0,86.0,89.0
AUI23K,URUIA,UKBB,UKHH,63000,66111,64860,67140,31.0,17.15,70.0,73.0,72.0,74.0
DAL44,N839MH,KJFK,EIDW,10080,33642,10860,32012,13.0,-27.166666666666668,11.0,37.0,12.0,35.0
MAC122,CNNMH,EHAM,GMMW,36600,47560,38520,48889,32.0,22.15,40.0,52.0,42.0,54.0
MGX161,4OAOM,EDDF,LYPG,49200,56572,50400,57094,20.0,8.7,54.0,62.0,56.0,63.0
RAM482B,CNRGJ,GMAD,GMMN,83100,86234,83160,85694,1.0,-9.0,92.0,95.0,92.0,95.0
RYR45HR,EIDHF,EPBY,EIDW,45000,53825,46440,55385,24.0,26.0,50.0,59.0,51.0,61.0
AVA011,N791AV,LEMD,SKBO,55500,92935,57300,93419,30.0,8.066666666666666,61.0,103.0,63.0,103.0
FHY9262,TCFHC,LTAU,OEJN,50700,62121,51000,60890,5.0,-20.516666666666666,56.0,69.0,56.0,67.0
BAW314,GEUPO,EGLL,LFPG,47100,50608,49680,52676,43.0,34.46666666666667,52.0,56.0,55.0,58.0
BAW28,GYMMP,VHHH,EGLL,56700,103287,58140,104146,24.0,14.316666666666666,63.0,114.0,64.0,115.0
EUW4188,SERHD,ESGG,LEIB,54000,66113,54120,66635,2.0,8.7,60.0,73.0,60.0,74.0
THY6DE,TCJYO,ESSA,LTBA,64500,76335,66252,76740,29.2,6.75,71.0,84.0,73.0,85.0
FDB941,A6FEF,OMDB,UUOO,24000,40366,27180,42946,53.0,43.0,26.0,44.0,30.0,47.0
DLH7MK,DACKB,EDDC,EDDM,69000,71935,69480,71994,8.0,0.9833333333333333,76.0,79.0,77.0,79.0
SAS492,LNRGH,ENGM,ESSA,70800,74625,74040,76263,54.0,27.3,78.0,82.0,82.0,84.0
SCW49F,SEDSZ,LIMF,ESGG,-11880,-3009,-11040,-3554,14.0,-9.083333333333334,-14.0,-4.0,-13.0,-4.0
SAS2677,EIFPT,ESSA,EDDT,30000,35726,31500,35997,25.0,4.516666666666667,33.0,39.0,35.0,39.0
QTR242,A7ADV,LTFJ,OTHH,63900,78464,64800,77564,15.0,-15.0,71.0,87.0,72.0,86.0
RYR6UV,EIEFK,EGBB,LBSF,-17700,-6503,-16740,-6569,16.0,-1.1,-20.0,-8.0,-19.0,-8.0
RAM209,CNRGT,CYUL,GMMN,9900,32369,12540,33863,44.0,24.9,11.0,35.0,13.0,37.0
IBE3477,ECKUB,LSZH,LEMD,39000,47052,39480,46497,8.0,-9.25,43.0,52.0,43.0,51.0
IBK3242,EIFHK,ENGM,EKCH,74700,79456,75360,78757,11.0,-11.65,83.0,88.0,83.0,87.0
SCW28Y,SEDSR,LOWS,ESGG,-15300,-8311,-14880,-8660,7.0,-5.816666666666666,-17.0,-10.0,-17.0,-10.0
THY27U,TCJFC,LTFH,LTFJ,64800,69318,66360,70407,26.0,18.15,72.0,77.0,73.0,78.0
BAW31T,GGATN,GCTS,EGKK,-16800,-3113,-15240,-2292,26.0,13.683333333333334,-19.0,-4.0,-17.0,-3.0
SPGMF,,EPML,EPML,52200,59700,52500,59700,5.0,0.0,58.0,66.0,58.0,66.0
FDB728,A6FME,UKKK,OMDB,45000,63265,47340,64578,39.0,21.883333333333333,50.0,70.0,52.0,71.0
N778JE,N778JE,LDDU,EDDG,29700,39272,31020,39933,22.0,11.016666666666667,33.0,43.0,34.0,44.0
DLH5MA,DAISC,EDDT,EDDM,54000,58153,54840,57903,14.0,-4.166666666666667,60.0,64.0,60.0,64.0
ABW723,VQBUU,UUEE,EHAM,45000,55959,46620,57651,27.0,28.2,50.0,62.0,51.0,64.0
SCW18X,SEDSX,LIMF,ESGG,-16200,-7146,-14820,-7080,23.0,1.1,-18.0,-8.0,-17.0,-8.0
VIR138,GVWEB,KJFK,EGLL,0,25158,1560,25317,26.0,2.65,0.0,27.0,1.0,28.0
WZZ3XS,HALWC,EGGW,EPPO,77700,84802,78960,84633,21.0,-2.816666666666667,86.0,94.0,87.0,94.0
FDB743,A6FED,OMDB,UKKK,50400,71183,51360,71400,16.0,3.6166666666666667,56.0,79.0,57.0,79.0
SAS42B,EIFPJ,EKCH,EGCC,27000,33734,27480,33472,8.0,-4.366666666666666,30.0,37.0,30.0,37.0
RYR9QP,EIEMK,LMML,EGBB,40500,52209,42180,53027,28.0,13.633333333333333,45.0,58.0,46.0,58.0
RAM985A,CNCOE,LEMG,GMMN,41400,46687,42180,47292,13.0,10.083333333333334,46.0,51.0,46.0,52.0
RYR554,EIEME,EIDW,EGCC,37500,40607,38760,40709,21.0,1.7,41.0,45.0,43.0,45.0
KLM589,PHBVR,EHAM,DGAA,48300,71513,50160,72417,31.0,15.066666666666666,53.0,79.0,55.0,80.0
EWG5199,OEIQC,HEMA,EDDM,-28200,-10673,-27758,-10906,7.366666666666666,-3.8833333333333333,-32.0,-12.0,-31.0,-13.0
GEC8340,DALCE,EDDF,LLBG,54000,67227,54420,66852,7.0,-6.25,60.0,74.0,60.0,74.0
EWG82J,DABQH,EDDL,EDDM,65100,76173,73080,77023,133.0,14.166666666666666,72.0,84.0,81.0,85.0
GMI2354,DASTP,EDDN,LPFR,50700,62282,51600,62321,15.0,0.65,56.0,69.0,57.0,69.0
