callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
BCS917,LZCGT,UKBB,EDDP,-13800,-5741,-13560,-6355,4.0,-10.233333333333333,-16.0,-7.0,-16.0,-8.0
KLM23M,PHBXI,EHAM,LHBP,-14100,-7220,-12000,-6145,35.0,17.916666666666668,-16.0,-9.0,-14.0,-7.0
IBK9ZC,EIFJP,EKYT,LEMG,40500,53309,41220,53871,12.0,9.366666666666667,45.0,59.0,45.0,59.0
TBZ6604,EPTAD,LTBA,OIIE,76200,86013,77880,86493,28.0,8.0,84.0,95.0,86.0,96.0
N313AQ,N313AQ,LSZR,EDSB,19800,21719,19740,22036,-1.0,5.283333333333333,22.0,24.0,21.0,24.0
BAW250,GZBKA,SCEL,EGLL,-12600,34240,-9629,37722,49.516666666666666,58.03333333333333,-14.0,38.0,-11.0,41.0
OLIVE55,6414848,EGUN,OTBH,47700,75945,49920,73773,37.0,-36.2,53.0,84.0,55.0,81.0
N696PG,N696PG,LFRC,EGHH,58500,60669,59100,61738,10.0,17.816666666666666,65.0,67.0,65.0,68.0
UTN4421,URAZB,UKBB,HEGN,7200,21513,8760,21787,26.0,4.566666666666666,8.0,23.0,9.0,24.0
DCAWM,DCAWM,EDVE,EDDH,45600,47479,43920,45206,-28.0,-37.88333333333333,50.0,52.0,48.0,50.0
PNX656,PHHCI,ESSA,ESND,67500,71570,68344,71454,14.066666666666666,-1.9333333333333333,75.0,79.0,75.0,79.0
BAW472,GEUYY,EGLL,LEBL,22500,29035,22980,28955,8.0,-1.3333333333333333,25.0,32.0,25.0,32.0
ABR1RG,EISOP,LKPR,LFPG,-10800,-2813,-10260,-2927,9.0,-1.9,-12.0,-4.0,-12.0,-4.0
UAE144,A6EGL,LEMD,OMDB,-12000,11385,-11100,10838,15.0,-9.116666666666667,-14.0,12.0,-13.0,12.0
SAS1018,LNRRY,ESSA,ESNS,77400,81496,78960,82262,26.0,12.766666666666667,86.0,90.0,87.0,91.0
EWG789,DAGWY,LHBP,EDDK,-15600,-9481,-15066,-9653,8.9,-2.8666666666666667,-18.0,-11.0,-17.0,-11.0
BAW2714,GGATS,EGKK,LEMG,30000,38934,30720,39228,12.0,4.9,33.0,43.0,34.0,43.0
ABR6262,EISLT,EDDK,LFSB,10800,16399,11940,15113,19.0,-21.433333333333334,12.0,18.0,13.0,16.0
SWR127H,HBJCB,LSZH,ENGM,31200,38983,32100,39124,15.0,2.35,34.0,43.0,35.0,43.0
UAL14,N674UA,KEWR,EGLL,11700,36191,16680,40960,83.0,79.48333333333333,13.0,40.0,18.0,45.0
TCW9406,OOTCX,LOWW,EDDV,68700,73644,69840,74216,19.0,9.533333333333333,76.0,81.0,77.0,82.0
SAS005,SERJR,ESPA,ESSA,35400,39779,35580,39641,3.0,-2.3,39.0,44.0,39.0,44.0
AUA848M,OELBI,LATI,LOWW,50400,55119,52020,56797,27.0,27.966666666666665,56.0,61.0,57.0,63.0
ACA874,CFIUV,CYUL,EDDF,-5700,18556,-3480,19775,37.0,20.316666666666666,-7.0,20.0,-4.0,21.0
EZY28JA,GEZIX,EGGD,LFPG,66600,70654,66780,70023,3.0,-10.516666666666667,74.0,78.0,74.0,77.0
AUA134B,OELBD,EDDF,LOWW,35400,39459,36240,40071,14.0,10.2,39.0,43.0,40.0,44.0
AUI080,URDNG,UKLI,UKBB,53100,57590,52980,56358,-2.0,-20.533333333333335,59.0,63.0,58.0,62.0
BHL941,LNONC,ENBR,ENOA,30600,33115,30536,32473,-1.0666666666666667,-10.7,34.0,36.0,33.0,36.0
LOG31AZ,GRJXD,EGPE,EGCC,65100,68874,65760,68664,11.0,-3.5,72.0,76.0,73.0,76.0
SWR174B,HBIOL,LIRF,LSZH,31200,36328,32220,37028,17.0,11.666666666666666,34.0,40.0,35.0,41.0
TFL394,PHTFK,TNCA,EHAM,2400,32923,3556,33914,19.266666666666666,16.516666666666666,2.0,36.0,3.0,37.0
AAC516,,EGAA,EGAA,73800,81600,74760,81477,16.0,-2.05,82.0,90.0,83.0,90.0
AAL57,N788AN,EGLL,KMIA,45300,79530,46380,79687,18.0,2.6166666666666667,50.0,88.0,51.0,88.0
EZY61QT,GEZEG,EGGW,EGPH,65700,70194,66720,69903,17.0,-4.85,73.0,77.0,74.0,77.0
AEA072,ECMHL,SVMI,LEMD,9600,36456,10680,36970,18.0,8.566666666666666,10.0,40.0,11.0,41.0
SAS4556,LNRRM,ENVA,ENBO,28800,32239,28920,31678,2.0,-9.35,32.0,35.0,32.0,35.0
TRA97E,PHHZV,EHAM,LEZL,28800,38830,29280,38823,8.0,-0.11666666666666667,32.0,43.0,32.0,43.0
MEA202,T7MRC,EGLL,OLBA,43800,59021,45360,59520,26.0,8.316666666666666,48.0,65.0,50.0,66.0
SVR628,,UMKK,UUDD,43800,49798,44880,50343,18.0,9.083333333333334,48.0,55.0,49.0,55.0
NAX543,LNDYE,ENZV,ENGM,59400,63016,60000,62644,10.0,-6.2,66.0,70.0,66.0,69.0
DLH2551,DACKC,UKLL,EDDM,43500,49130,44460,49505,16.0,6.25,48.0,54.0,49.0,55.0
AFL2317,VPBTH,EDDB,UUEE,-4800,3450,-5040,2640,-4.0,-13.5,-6.0,3.0,-6.0,2.0
KKK6RS,TCATF,LTBA,LTBJ,70200,73818,72240,74658,34.0,14.0,78.0,82.0,80.0,82.0
SWR199A,HBJLP,LSZH,LIMC,58800,61499,59760,61825,16.0,5.433333333333334,65.0,68.0,66.0,68.0
EWG9RU,DAEWJ,LEPA,EDDH,44100,53804,45360,53744,21.0,-1.0,49.0,59.0,50.0,59.0
PGT1722,TCCPV,LTAC,UKKK,-11700,-4710,-10140,-3514,26.0,19.933333333333334,-13.0,-6.0,-12.0,-4.0
BMR188D,GRJXH,LFPG,EGGD,-11700,-7633,-11520,-8094,3.0,-7.683333333333334,-13.0,-9.0,-13.0,-9.0
MDI05,GCWCD,EGNX,EGPC,54000,59720,54780,59979,13.0,4.316666666666666,60.0,66.0,60.0,66.0
MDI05,GCWCD,EGPC,EGNX,63000,68924,63060,68759,1.0,-2.75,70.0,76.0,70.0,76.0
EZY34QY,GEZWG,LSZH,LPPT,-16800,-6837,-14700,-4891,35.0,32.43333333333333,-19.0,-8.0,-17.0,-6.0
