callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
RSC147,ECMJG,GCLP,GCXO,46800,48927,47078,48156,4.633333333333334,-12.85,52.0,54.0,52.0,53.0
AZA1630,EIRNA,LIBD,LIML,61200,65870,61200,65366,0.0,-8.4,68.0,73.0,68.0,72.0
AUI100,URDNG,UKWW,UKBB,12000,14900,11640,13920,-6.0,-16.333333333333332,13.0,16.0,12.0,15.0
AUA384,S5AAN,UKLL,LOWW,8400,12453,9360,12879,16.0,7.1,9.0,13.0,10.0,14.0
DLH8KA,DAIBA,EDDM,LROP,49500,56258,50700,56473,20.0,3.5833333333333335,55.0,62.0,56.0,62.0
THY720,TCLKA,LTBA,VABB,62100,83527,64920,85147,47.0,27.0,69.0,92.0,72.0,94.0
AFR1583,FGRHL,LKPR,LFPG,66900,71866,66840,71913,-1.0,0.7833333333333333,74.0,79.0,74.0,79.0
PGT43R,TCNBN,LEBL,LTFJ,43200,56376,45720,56700,42.0,5.4,48.0,62.0,50.0,63.0
KLM1486,PHEXT,EGNJ,EHAM,32400,35537,33144,35656,12.4,1.9833333333333334,36.0,39.0,36.0,39.0
EZY47AH,GEZUW,LIPZ,LFSB,19800,23700,20040,23018,4.0,-11.366666666666667,22.0,26.0,22.0,25.0
THY81N,TCJGT,LTBA,LTAF,26100,31341,26760,30600,11.0,-12.35,29.0,34.0,29.0,34.0
BEE8PE,GJEDW,EGJJ,EGPH,58800,65294,60660,65643,31.0,5.816666666666666,65.0,72.0,67.0,72.0
THY1RW,TCJRT,LKPR,LTBA,28200,36419,28440,36360,4.0,-0.9833333333333333,31.0,40.0,31.0,40.0
THY1VQ,TCJYE,LTAU,LTBA,30000,34490,30420,34080,7.0,-6.833333333333333,33.0,38.0,33.0,37.0
SXD1017,DASXP,EDDL,EDDF,18000,20495,18480,20240,8.0,-4.25,20.0,22.0,20.0,22.0
THY4DN,TCSCF,LTFJ,LTFE,30900,34756,31860,34800,16.0,0.7333333333333333,34.0,38.0,35.0,38.0
THY6DT,TCJND,OAKB,LTBA,14100,33645,14100,33480,0.0,-2.75,15.0,37.0,15.0,37.0
SDM6603,VQBAQ,ULLI,LOWW,21600,29879,22217,30463,10.283333333333333,9.733333333333333,24.0,33.0,24.0,33.0
KLM1945,PHEZV,EHAM,LDSP,30000,37473,31080,37787,18.0,5.233333333333333,33.0,41.0,34.0,41.0
SUS9114,OYJJH,EKCH,EKBI,19500,21508,19680,21231,3.0,-4.616666666666666,21.0,23.0,21.0,23.0
SAS37L,EISIF,ESSA,LFPG,60300,69507,60960,69031,11.0,-7.933333333333334,67.0,77.0,67.0,76.0
BAW157,GVIIL,EGLL,OKBK,75300,96897,76980,97549,28.0,10.866666666666667,83.0,107.0,85.0,108.0
AEA1675,ECLLR,LEMD,LSZH,19800,26796,22560,28869,46.0,34.55,22.0,29.0,25.0,32.0
BAW910N,GEUPY,EGLL,EDDF,50700,56449,51660,55977,16.0,-7.866666666666666,56.0,62.0,57.0,62.0
EVE801,ECMII,LEMD,MDPC,50400,80497,51600,80949,20.0,7.533333333333333,56.0,89.0,57.0,89.0
HAT5250,9HZAZ,LPPT,GMFO,56520,61334,57840,61896,22.0,9.366666666666667,62.0,68.0,64.0,68.0
PBD836,VQBWG,LTFG,UUWW,36300,48292,37980,49773,28.0,24.683333333333334,40.0,53.0,42.0,55.0
QTR8101,A7BFF,OTHH,EHAM,41100,64080,40800,62380,-5.0,-28.333333333333332,45.0,71.0,45.0,69.0
DAH1215,EET,LFPG,DAAG,57600,65597,60120,66902,42.0,21.75,64.0,72.0,66.0,74.0
RYR1605,EIFZH,LIPH,EDDK,42900,47565,47100,51177,70.0,60.2,47.0,52.0,52.0,56.0
EXS88GV,GGDFO,LIRN,EGPH,43200,54664,47400,57949,70.0,54.75,48.0,60.0,52.0,64.0
SVA9323,TCOCL,OEMA,DABC,51000,68370,52076,68796,17.933333333333334,7.1,56.0,75.0,57.0,76.0
AUI34L,URPSX,UKLL,UKBB,14400,17947,15420,18360,17.0,6.883333333333334,16.0,19.0,17.0,20.0
TRA49Y,PHXRA,LIPZ,EHRD,50100,57211,51900,56966,30.0,-4.083333333333333,55.0,63.0,57.0,63.0
AUA35UF,OELWI,EBBR,LOWW,64800,70607,65580,70912,13.0,5.083333333333333,72.0,78.0,72.0,78.0
ABW526,VQBHE,EBLG,LHBP,3000,9473,4020,9702,17.0,3.816666666666667,3.0,10.0,4.0,10.0
THY40M,TCJFR,LTCI,LTAC,27900,32875,28860,33000,16.0,2.0833333333333335,31.0,36.0,32.0,36.0
BAW72J,GDBCD,EGKK,EGJJ,46200,49315,47460,49335,21.0,0.3333333333333333,51.0,54.0,52.0,54.0
DLH7MH,DAILK,EDDF,LIMC,53700,57748,55920,58881,37.0,18.883333333333333,59.0,64.0,62.0,65.0
BAW604,GEUPZ,EGLL,LIRP,46200,54111,47880,54707,28.0,9.933333333333334,51.0,60.0,53.0,60.0
KLM66G,PHBGT,EGNT,EHAM,18000,21922,19500,22825,25.0,15.05,20.0,24.0,21.0,25.0
BVL227,LZBOO,LBBG,UUWW,70200,79324,70860,79212,11.0,-1.8666666666666667,78.0,88.0,78.0,88.0
WZZ6YZ,HALPK,EYVI,EPGD,51000,54968,50820,53525,-3.0,-24.05,56.0,61.0,56.0,59.0
EZY96TZ,OEIVT,EHAM,EGCC,29400,34894,32215,35183,46.916666666666664,4.816666666666666,32.0,38.0,35.0,39.0
IBS39RK,ECLVQ,GCXO,LEMD,59100,68883,60000,69693,15.0,13.5,65.0,76.0,66.0,77.0
KLM26W,PHEZS,EDDN,EHAM,35700,39491,35700,39062,0.0,-7.15,39.0,43.0,39.0,43.0
PGT1LA,TCAAU,LTAI,LTFJ,28200,32338,29580,32160,23.0,-2.966666666666667,31.0,35.0,32.0,35.0
RYR70KC,EIDAF,EGSS,LERS,41100,48856,44160,50971,51.0,35.25,45.0,54.0,49.0,56.0
JAF87V,OOJAV,EBLG,GCTS,23400,38794,24900,39095,25.0,5.016666666666667,26.0,43.0,27.0,43.0
