callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
WAN966,SXABE,UGTB,OKBK,48300,56885,48660,56392,6.0,-8.216666666666667,53.0,63.0,54.0,62.0
DTR541,OYRUO,ENSO,ENGM,17700,20622,18172,21259,7.866666666666666,10.616666666666667,19.0,22.0,20.0,23.0
VLG650B,ECMAH,LEBL,LIRN,65400,72262,67200,72385,30.0,2.05,72.0,80.0,74.0,80.0
OKJKT,OKJKT,LKHK,LKPR,30000,32520,29940,31280,-1.0,-20.666666666666668,33.0,36.0,33.0,34.0
MSC425,SUBTM,LKPR,HEGN,20700,35748,21720,36143,17.0,6.583333333333333,23.0,39.0,24.0,40.0
VOE1534,EIFBM,LICJ,LGKR,70500,74836,71340,74644,14.0,-3.2,78.0,83.0,79.0,82.0
DLH7XC,DACKH,EDDM,LRSB,46500,51890,47400,52479,15.0,9.816666666666666,51.0,57.0,52.0,58.0
AEE997,SXOBH,LTBJ,LGAV,10200,13657,10440,12788,4.0,-14.483333333333333,11.0,15.0,11.0,14.0
BAW8CF,GEUUW,LIRF,EGLL,47580,56161,50220,58522,44.0,39.35,52.0,62.0,55.0,65.0
RYR488K,EIENV,LEPA,EGCC,40500,50609,43560,51623,51.0,16.9,45.0,56.0,48.0,57.0
SWR574,OELGQ,LSZH,LFML,38100,42794,38760,42729,11.0,-1.0833333333333333,42.0,47.0,43.0,47.0
EWG6815,DABHN,EDDN,LEPA,7200,13886,7500,13337,5.0,-9.15,8.0,15.0,8.0,14.0
AZA801,EIRDK,DAAG,LIRF,36000,41093,35861,41114,-2.316666666666667,0.35,40.0,45.0,39.0,45.0
PGT7RR,TCAZP,LTBJ,LTCR,17100,23354,17640,23294,9.0,-1.0,19.0,25.0,19.0,25.0
NAX1087,LNDYV,EYPA,ENGM,28500,33402,28320,32374,-3.0,-17.133333333333333,31.0,37.0,31.0,35.0
QTR8TL,A7BCE,LSZH,OTHH,26700,47236,27360,47054,11.0,-3.033333333333333,29.0,52.0,30.0,52.0
BEL49U,OOSSN,LEAL,EBBR,39600,47617,41760,49056,36.0,23.983333333333334,44.0,52.0,46.0,54.0
THY6LV,TCJUF,LTBA,LTCB,24600,29888,26640,30900,34.0,16.866666666666667,27.0,33.0,29.0,34.0
LOT3826,SPEQK,EPGD,EPWA,71100,74654,72300,74718,20.0,1.0666666666666667,79.0,82.0,80.0,83.0
WIF39T,LNWFT,ENST,ENBO,68700,70879,70200,71625,25.0,12.433333333333334,76.0,78.0,78.0,79.0
NWG461A,LNAWD,ENGM,LHDC,41400,53036,41280,52328,-2.0,-11.8,46.0,58.0,45.0,58.0
SDM6718,VPBWH,LYTV,ULLI,58200,68301,58260,68036,1.0,-4.416666666666667,64.0,75.0,64.0,75.0
QTR290,A7AHU,LKPR,OTHH,26100,45786,26520,46058,7.0,4.533333333333333,29.0,50.0,29.0,51.0
OAL570,SXDGR,LGTS,LGIR,12900,16990,13358,16771,7.633333333333334,-3.65,14.0,18.0,14.0,18.0
HAF380,,LGEL,LGEL,20400,32400,21300,33000,15.0,10.0,22.0,36.0,23.0,36.0
TSC350,CGTSY,CYYZ,EHAM,10200,36508,11880,37898,28.0,23.166666666666668,11.0,40.0,13.0,42.0
BAW377,GEUXJ,LFBO,EGLL,23400,28731,23766,29110,6.1,6.316666666666666,26.0,31.0,26.0,32.0
N918TB,N918TB,LGMK,LFPB,32400,43101,32520,43260,2.0,2.65,36.0,47.0,36.0,48.0
KLM1839,PHBXG,EHAM,LOWW,17400,23418,18840,24413,24.0,16.583333333333332,19.0,26.0,20.0,27.0
BCS7121,ECKLR,LIMC,EBBR,75900,81007,76440,80744,9.0,-4.383333333333334,84.0,90.0,84.0,89.0
KLM92V,PHBGN,ESSA,EHAM,34200,40655,35460,41456,21.0,13.35,38.0,45.0,39.0,46.0
SWN022B,SEMAI,EGJB,EGNX,72900,76944,72300,76247,-10.0,-11.616666666666667,81.0,85.0,80.0,84.0
CFG4DE,DABOI,EDDH,LEPA,14100,22078,15300,22720,20.0,10.7,15.0,24.0,17.0,25.0
THY8JE,TCJTO,LTBA,LIPZ,55980,64384,57960,65179,33.0,13.25,62.0,71.0,64.0,72.0
BCI234,GISLI,EGJB,EGHI,22500,24599,22860,24603,6.0,0.06666666666666667,25.0,27.0,25.0,27.0
AFR58CR,FGTAZ,LFML,LFPG,27300,32002,29069,33060,29.483333333333334,17.633333333333333,30.0,35.0,32.0,36.0
THY9MA,TCJFT,LTAF,LTAC,25500,28313,25980,28440,8.0,2.1166666666666667,28.0,31.0,28.0,31.0
DLA73NG,IADJQ,LIPX,EDDF,31200,36407,31440,35568,4.0,-13.983333333333333,34.0,40.0,34.0,39.0
ICE306,TFLLX,BIKF,ESSA,28800,38542,29820,39142,17.0,10.0,32.0,42.0,33.0,43.0
ABR2SL,EISLZ,ENGM,EKCH,64200,69417,64800,68651,10.0,-12.766666666666667,71.0,77.0,72.0,76.0
VLG6339,ECLAA,LIMC,LEBL,45300,50264,47820,51667,42.0,23.383333333333333,50.0,55.0,53.0,57.0
