callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
RYR7103,EIGJA,LIRF,LIBR,22500,26267,23700,26633,20.0,6.1,25.0,29.0,26.0,29.0
THY1AU,TCLOD,OIIE,LTBA,-5400,5586,-3684,7200,28.6,26.9,-6.0,6.0,-5.0,8.0
BMR2YM,GRJXK,EDDM,LIME,53100,57055,54600,57476,25.0,7.016666666666667,59.0,63.0,60.0,63.0
TAR789,TSIMW,EBBR,DTTA,39600,48695,40680,48765,18.0,1.1666666666666667,44.0,54.0,45.0,54.0
WIF914,LNWFC,ENTC,ENKR,29700,34292,30240,33886,9.0,-6.766666666666667,33.0,38.0,33.0,37.0
EZY639R,OELKG,EGAA,EGKK,41100,44789,43260,47493,36.0,45.06666666666667,45.0,49.0,48.0,52.0
IBE6650,ECLEU,SPJC,LEMD,3000,42671,4402,43563,23.366666666666667,14.866666666666667,3.0,47.0,4.0,48.0
AZA1317,EIRDN,LIRF,LIPE,57300,60227,58140,60590,14.0,6.05,63.0,66.0,64.0,67.0
FLI7802,OYRCJ,EKBI,LBBG,47400,57159,48840,58081,24.0,15.366666666666667,52.0,63.0,54.0,64.0
AFR38JR,FGTAJ,LFPG,EDDT,27900,33708,32100,37048,70.0,55.666666666666664,31.0,37.0,35.0,41.0
BTI15L,YLBAX,ENGM,EVRA,62700,68473,63840,68951,19.0,7.966666666666667,69.0,76.0,70.0,76.0
SIA325,9VSNC,EDDF,WSSS,-14400,28152,-10860,30217,59.0,34.416666666666664,-16.0,31.0,-13.0,33.0
TAP1936,CSDJG,LPPT,LPPR,39600,43870,40260,43173,11.0,-11.616666666666667,44.0,48.0,44.0,47.0
EWG5WP,DAEWL,EDDH,LIEO,16800,25644,17880,25393,18.0,-4.183333333333334,18.0,28.0,19.0,28.0
AZA4ZW,EIDTD,LIMF,LIRF,19200,23177,19500,22864,5.0,-5.216666666666667,21.0,25.0,21.0,25.0
WZZ431,HALYC,LFOB,LROP,25800,35609,27173,36557,22.883333333333333,15.8,28.0,39.0,30.0,40.0
EZY62XM,OEICB,EGGP,EGAA,56400,58786,56885,58860,8.083333333333334,1.2333333333333334,62.0,65.0,63.0,65.0
TUI3C,DAHXE,EDDH,GCLP,37200,54587,38280,54723,18.0,2.2666666666666666,41.0,60.0,42.0,60.0
GMI46AK,DASTL,GCTS,EDNY,54900,70261,55168,69419,4.466666666666667,-14.033333333333333,61.0,78.0,61.0,77.0
SIX333,MRENT,LOWW,EDMO,47400,50101,47580,50268,3.0,2.783333333333333,52.0,55.0,52.0,55.0
BGH5596,LZBHI,EGPH,LBBG,33000,47281,34140,46261,19.0,-17.0,36.0,52.0,37.0,51.0
BEL5ED,OOSSM,EBBR,EGPH,69300,74366,70200,74281,15.0,-1.4166666666666667,77.0,82.0,78.0,82.0
SDM6680,VQBVU,LEBL,UUWW,49200,66019,51840,66528,44.0,8.483333333333333,54.0,73.0,57.0,73.0
AHY9718,4KAZ65,URMM,UBBB,52800,58273,52666,57540,-2.2333333333333334,-12.216666666666667,58.0,64.0,58.0,63.0
AIZ825,4XEME,LLSD,LLET,45600,48600,46260,48660,11.0,1.0,50.0,54.0,51.0,54.0
AUA511X,OELBY,LOWW,LIMC,16800,21348,17280,21011,8.0,-5.616666666666666,18.0,23.0,19.0,23.0
UAE20,A6EUZ,EGCC,OMDB,-13500,12439,-11880,13151,27.0,11.866666666666667,-15.0,13.0,-14.0,14.0
N119AL,,LFEA,LFQQ,45000,52584,44477,52088,-8.716666666666667,-8.266666666666667,50.0,58.0,49.0,57.0
THY7LY,TCJPS,LTFJ,EDDF,25800,36639,26280,35407,8.0,-20.533333333333335,28.0,40.0,29.0,39.0
VIR76X,GVLIP,KMCO,EGCC,-5400,23575,-2940,25138,41.0,26.05,-6.0,26.0,-4.0,27.0
NAX768,LNDYV,ENGM,ENVA,61200,64059,62400,64547,20.0,8.133333333333333,68.0,71.0,69.0,71.0
DLH4PN,DAIBD,EDDF,EDDN,18300,21041,18960,20501,11.0,-9.0,20.0,23.0,21.0,22.0
WIF864,LNWIP,ENBO,ENAN,38400,41816,38438,41027,0.6333333333333333,-13.15,42.0,46.0,42.0,45.0
RYR739D,EIFZC,EDDH,LEPA,27600,37038,28980,37452,23.0,6.9,30.0,41.0,32.0,41.0
BEE1PM,GPRPN,EGAC,EGLC,44700,50560,44940,49556,4.0,-16.733333333333334,49.0,56.0,49.0,55.0
LLC3529,LYSPC,EYVI,LTAI,59700,69811,60720,70560,17.0,12.483333333333333,66.0,77.0,67.0,78.0
UPS208,N323UP,EDDK,KEWR,3720,29883,4380,29479,11.0,-6.733333333333333,4.0,33.0,4.0,32.0
NAX9461,LNNGS,LGSA,ENVA,36000,53107,36720,52028,12.0,-17.983333333333334,40.0,59.0,40.0,57.0
FPO7708,FGZTO,LGPZ,EGCC,-2400,8689,-2100,8600,5.0,-1.4833333333333334,-3.0,9.0,-3.0,9.0
EIN73J,EIDVJ,LEPA,EIDW,-5100,3375,-4124,3785,16.266666666666666,6.833333333333333,-6.0,3.0,-5.0,4.0
BAW57AA,GDBCB,EGKK,LIMF,44700,51235,46140,51199,24.0,-0.6,49.0,56.0,51.0,56.0
NOBLE01,N338MM,KHEF,LPPD,5400,26403,6000,26403,10.0,0.0,6.0,29.0,6.0,29.0
PHHRM,,EHRD,EKOD,24600,28707,26340,29460,29.0,12.55,27.0,31.0,29.0,32.0
TFL598,CFLSW,LEIB,EHAM,31740,39965,35820,43367,68.0,56.7,35.0,44.0,39.0,48.0
UAE102,A6ENM,LIMC,OMDB,33600,54537,33960,54091,6.0,-7.433333333333334,37.0,60.0,37.0,60.0
TOM7HE,GFDZU,EGCC,LERS,23400,31656,24600,33023,20.0,22.783333333333335,26.0,35.0,27.0,36.0
RYR8Z,EIFOE,LRTR,LIME,25800,31295,26280,31334,8.0,0.65,28.0,34.0,29.0,34.0
AEE976,SXDVQ,LGAV,LYBE,19500,25442,20520,25104,17.0,-5.633333333333334,21.0,28.0,22.0,27.0
AMC684,9HAHR,LMML,DTTA,2100,5338,2880,5360,13.0,0.36666666666666664,2.0,5.0,3.0,5.0
UAE96,A6ECB,LIRF,OMDB,-14100,4635,-14040,4302,1.0,-5.55,-16.0,5.0,-16.0,4.0
VOE3830,EIEWJ,LEZL,LEAS,54600,58477,55740,59343,19.0,14.433333333333334,60.0,64.0,61.0,65.0
QTR8QV,A7BCQ,OTHH,LEMD,-5100,20097,-4680,19767,7.0,-5.5,-6.0,22.0,-6.0,21.0
