callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
AFL2536,VPBLR,UUEE,EDDL,16800,27633,17640,28136,14.0,8.383333333333333,18.0,30.0,19.0,31.0
ISS904,EIGGP,KMIA,LIMC,85500,118584,86100,118584,10.0,0.0,95.0,131.0,95.0,131.0
VLG6864,ECMKX,LIRQ,LICC,43200,47826,44460,48717,21.0,14.85,48.0,53.0,49.0,54.0
SWR134N,HBJBG,LSZH,LIRQ,18300,22351,19080,22194,13.0,-2.6166666666666667,20.0,24.0,21.0,24.0
DTR32R,OYRUD,EKCH,EKRN,19800,22242,20580,22083,13.0,-2.65,22.0,24.0,22.0,24.0
CSA630,OKREQ,LKPR,EBBR,17700,22036,18300,22323,10.0,4.783333333333333,19.0,24.0,20.0,24.0
FPO774,FGZTK,LFKJ,LFML,66600,69104,67620,70010,17.0,15.1,74.0,76.0,75.0,77.0
OHY963,TCOBK,LTAI,EPKT,16200,26388,17040,26100,14.0,-4.8,18.0,29.0,18.0,29.0
THY1RJ,TCSBM,LTAC,LTCG,60000,63861,61320,64140,22.0,4.65,66.0,70.0,68.0,71.0
THY9JM,TCJPO,LTFJ,UGTB,59400,66473,60420,66840,17.0,6.116666666666666,66.0,73.0,67.0,74.0
VIR104L,GVINE,KATL,EGLL,84600,113132,85200,113132,10.0,0.0,94.0,125.0,94.0,125.0
AUI72N,UREME,UKDD,UKBB,14400,17935,14400,17340,0.0,-9.916666666666666,16.0,19.0,16.0,19.0
AZI308,SXDIR,LGAV,LGSM,22200,26161,23520,26438,22.0,4.616666666666666,24.0,29.0,26.0,29.0
EXS356,GGDFR,LGKO,EGNM,70200,84676,73260,86733,51.0,34.28333333333333,78.0,94.0,81.0,96.0
LOG32MW,GLGNO,EGPF,EGPO,21600,24235,22440,24574,14.0,5.65,24.0,26.0,24.0,27.0
DLH598,DAIGO,EDDF,OEJN,32400,53476,35340,53732,49.0,4.266666666666667,36.0,59.0,39.0,59.0
SAT621,CSTRC,LPPI,LPLA,39900,41809,40320,41580,7.0,-3.816666666666667,44.0,46.0,44.0,46.0
