callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
TCARD,TCARD,LTAI,LTBJ,39600,43284,39420,41700,-3.0,-26.4,44.0,48.0,43.0,46.0
BEL4CP,EIFWF,EBBR,EKCH,63000,68109,63420,67757,7.0,-5.866666666666666,70.0,75.0,70.0,75.0
THY714E,TCLOG,LTBA,OPLA,-23700,-4150,-22620,-4270,18.0,-2.0,-27.0,-5.0,-26.0,-5.0
THY6550,TCJDP,OPKC,LTBA,-18300,1688,-18720,420,-7.0,-21.133333333333333,-21.0,1.0,-21.0,0.0
VLG395X,ECMXG,LEVC,LEPA,-10800,-7502,-10320,-8334,8.0,-13.866666666666667,-12.0,-9.0,-12.0,-10.0
WZZ7317,HALYX,UKKK,EDDH,35400,43624,36360,44265,16.0,10.683333333333334,39.0,48.0,40.0,49.0
TAR745,TSIMF,EDDF,DTTA,44700,53788,47340,55238,44.0,24.166666666666668,49.0,59.0,52.0,61.0
KLM1686,PHEXY,LEBB,EHAM,35940,42570,35940,41883,0.0,-11.45,39.0,47.0,39.0,46.0
DLH772,DAIGT,EDDF,VTBS,-14400,25118,-13080,25169,22.0,0.85,-16.0,27.0,-15.0,27.0
RYR97VR,EIDLD,LIPX,LICJ,66600,71857,67140,71858,9.0,0.016666666666666666,74.0,79.0,74.0,79.0
EZY376P,ESSAP,EDDT,EDDF,16800,20915,16860,20127,1.0,-13.133333333333333,18.0,23.0,18.0,22.0
RYR64NW,EIDPO,EGSS,LFMN,62400,69613,63360,69783,16.0,2.8333333333333335,69.0,77.0,70.0,77.0
LOG858,GLGNP,EGPD,EGPB,19800,22483,20640,23677,14.0,19.9,22.0,24.0,22.0,26.0
EZY96JG,GEZBW,EGKK,LIRN,65100,74376,66360,74631,21.0,4.25,72.0,82.0,73.0,82.0
SDM5886,VPBGR,LTAI,USSS,63000,78983,65520,80640,42.0,27.616666666666667,70.0,87.0,72.0,89.0
BAW6VK,GEUYR,EGLL,ENGM,66300,74008,67320,73526,17.0,-8.033333333333333,73.0,82.0,74.0,81.0
AHY9020,4KAZ67,ULLI,UBBB,72600,84789,74307,85860,28.45,17.85,80.0,94.0,82.0,95.0
TUA3274,EZA020,LTBA,UTAK,32400,42558,34620,43578,37.0,17.0,36.0,47.0,38.0,48.0
RYR7103,EIFOM,LIRF,LIBR,22500,26457,23100,26108,10.0,-5.816666666666666,25.0,29.0,25.0,29.0
DAH1150,,DABB,LFML,27000,31317,28140,31906,19.0,9.816666666666666,30.0,34.0,31.0,35.0
BRU827,,UMMS,UKLL,36600,40716,36780,40080,3.0,-10.6,40.0,45.0,40.0,44.0
AFR1353,,ESGG,LFPG,36900,43434,38040,44097,19.0,11.05,41.0,48.0,42.0,48.0
AFL2071,VPBGI,LCLK,UUEE,82800,95666,82860,94703,1.0,-16.05,92.0,106.0,92.0,105.0
FIN99,OHLWD,EFHK,VHHH,74700,105139,75960,105422,21.0,4.716666666666667,83.0,116.0,84.0,117.0
BTI479,YLBAX,EVRA,LKPR,15300,23144,15480,22579,3.0,-9.416666666666666,17.0,25.0,17.0,25.0
BTI434,YLCSF,LOWW,EVRA,60300,66436,60900,66088,10.0,-5.8,67.0,73.0,67.0,73.0
THY3SY,TCJJY,LTAI,LTBA,62700,67091,63720,66360,17.0,-12.183333333333334,69.0,74.0,70.0,73.0
VLG8405,ECMES,EGGW,EHAM,31200,33778,34620,37147,57.0,56.15,34.0,37.0,38.0,41.0
JZR267,9KCAO,OLBA,OKBK,71400,81437,72660,81962,21.0,8.75,79.0,90.0,80.0,91.0
CNF766L,ECIZO,GCRR,GCLP,67800,70740,67740,69913,-1.0,-13.783333333333333,75.0,78.0,75.0,77.0
XCH358H,MJJTL,EGLD,LFPB,65700,69600,66360,70584,11.0,16.4,73.0,77.0,73.0,78.0
FDB23L,A6FDZ,OMDB,UBBB,15000,24691,15840,24720,14.0,0.48333333333333334,16.0,27.0,17.0,27.0
THY7370,TCSBP,LTFJ,LTCJ,13500,19530,13620,18727,2.0,-13.383333333333333,15.0,21.0,15.0,20.0
WZZ961,HALPQ,LIRA,LROP,-12900,-6280,-12300,-6581,10.0,-5.016666666666667,-15.0,-7.0,-14.0,-8.0
AZG045,VQBBH,UBBB,ZSPD,82800,108190,82320,107110,-8.0,-18.0,92.0,120.0,91.0,119.0
GMA177B,GSASC,EGPF,EGPI,68400,70153,68700,70321,5.0,2.8,76.0,77.0,76.0,78.0
GMA177B,GSASC,EGPI,EGPF,71700,73301,72360,74112,11.0,13.516666666666667,79.0,81.0,80.0,82.0
TVS3056,OMJEX,LHBP,BIKF,50400,65597,51174,65970,12.9,6.216666666666667,56.0,72.0,56.0,73.0
AFL2469,VPBIJ,LHBP,UUEE,66300,74480,66652,74820,5.866666666666666,5.666666666666667,73.0,82.0,74.0,83.0
NJE169G,CSLTC,ESSB,EGLC,61800,69796,63180,71028,23.0,20.533333333333335,68.0,77.0,70.0,78.0
DLH3LF,DACND,EDDN,EDDF,64800,66889,65880,67350,18.0,7.683333333333334,72.0,74.0,73.0,74.0
DLH755,DABYM,VOBL,EDDF,77700,110795,78600,111093,15.0,4.966666666666667,86.0,123.0,87.0,123.0
BAW244,GYMMT,SAEZ,EGLL,60300,105045,61517,105013,20.283333333333335,-0.5333333333333333,67.0,116.0,68.0,116.0
RYR83UM,EIEGD,LEMD,LEPA,72000,77453,73200,77229,20.0,-3.7333333333333334,80.0,86.0,81.0,85.0
CFE99P,GLCYY,EGPH,EGLC,60600,65761,62520,66570,32.0,13.483333333333333,67.0,73.0,69.0,73.0
MAC310,CNNMI,LFST,GMFF,68400,78137,68160,77424,-4.0,-11.883333333333333,76.0,86.0,75.0,86.0
THY54,TCLJF,LTBA,WSSS,82800,118415,83460,117875,11.0,-9.0,92.0,131.0,92.0,130.0
WZZ369,HALPO,EPGD,EDDK,67500,72669,67860,72818,6.0,2.4833333333333334,75.0,80.0,75.0,80.0
LOT769,SPLNF,EPWA,UKOO,47400,53195,48660,53520,21.0,5.416666666666667,52.0,59.0,54.0,59.0
TAP1045,CSTNJ,LEBL,LPPT,65100,71123,66420,71719,22.0,9.933333333333334,72.0,79.0,73.0,79.0
VLG20JM,ECMJC,LEGR,LEBL,75300,79141,75540,79284,4.0,2.3833333333333333,83.0,87.0,83.0,88.0
THA923,HSTKU,EDDF,VTBS,67200,107124,70200,107025,50.0,-1.65,74.0,119.0,78.0,118.0
