callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
THY8TB,TCJYE,LHBP,LTBA,42600,49240,44580,51000,33.0,29.333333333333332,47.0,54.0,49.0,56.0
QTR1L,A7BAX,OTHH,EDDT,44100,64312,44400,64019,5.0,-4.883333333333334,49.0,71.0,49.0,71.0
NAX39C,LNNHB,ESSA,ESPA,41400,46033,42960,46511,26.0,7.966666666666667,46.0,51.0,47.0,51.0
RYR65CJ,EIDAH,EIDW,EDJA,37500,45340,42322,49074,80.36666666666666,62.233333333333334,41.0,50.0,47.0,54.0
RYR604W,EIDLH,EGNX,LIRP,37200,44768,40440,47737,54.0,49.483333333333334,41.0,49.0,44.0,53.0
KUP8002,URSQA,LTAI,UKKK,52500,61808,54960,62760,41.0,15.866666666666667,58.0,68.0,61.0,69.0
CFG198,DABUB,EDDF,MUVR,50100,87352,51720,87976,27.0,10.4,55.0,97.0,57.0,97.0
PGT90N,TCNBL,EDDF,LTFJ,56100,69284,59520,69179,57.0,-1.75,62.0,76.0,66.0,76.0
KLM1963,PHEXV,EHAM,LSZH,55200,59520,56880,60645,28.0,18.75,61.0,66.0,63.0,67.0
SWR31J,HBION,LSZH,EGLL,18300,23411,19320,25191,17.0,29.666666666666668,20.0,26.0,21.0,27.0
TVF3110,FHTVC,LFPO,LEPA,28200,34431,29040,34548,14.0,1.95,31.0,38.0,32.0,38.0
TOM99K,GBYAW,EGCC,LGKV,20700,32112,21960,33077,21.0,16.083333333333332,23.0,35.0,24.0,36.0
KLM1562,PHEXY,LIMJ,EHAM,31500,37750,32100,37872,10.0,2.033333333333333,35.0,41.0,35.0,42.0
IBE31BV,ECJDL,LEMD,LOWW,24000,35432,25680,35631,28.0,3.316666666666667,26.0,39.0,28.0,39.0
AUA524C,OELWL,LIPZ,LOWW,46800,51284,48420,51312,27.0,0.4666666666666667,52.0,56.0,53.0,57.0
ANE8269,SEMDC,GEML,LEMG,47100,50253,47520,49418,7.0,-13.916666666666666,52.0,55.0,52.0,54.0
PGT4E,TCIZG,LTBJ,LTAF,9600,14196,9720,13560,2.0,-10.6,10.0,15.0,10.0,15.0
EXS961,GLSAE,EGCC,LDDU,25500,36716,27900,37262,40.0,9.1,28.0,40.0,31.0,41.0
RYR19SZ,EIEXD,EDDB,EGSS,57600,67120,62940,68569,89.0,24.15,64.0,74.0,69.0,76.0
EZY2093,GEZWM,EGGW,LEIB,77400,86552,78480,86243,18.0,-5.15,86.0,96.0,87.0,95.0
EIN5MX,EIFNJ,LFRS,EIDW,52800,57970,54420,59018,27.0,17.466666666666665,58.0,64.0,60.0,65.0
RYR54BP,EIDAD,EGCC,LIRA,22500,32188,23100,31558,10.0,-10.5,25.0,35.0,25.0,35.0
NAX4404,LNNIE,LGIR,ESSA,-5400,8841,-4948,7893,7.533333333333333,-15.8,-6.0,9.0,-6.0,8.0
